tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xe17ea5c094e2b7b12da55b17d7435174831034ca27d302a8b6429b9a16fc2b51,0x60806040,2025/07/08 13:12:55,2025/07/08 05:12:55,0x0000000000000000000000000000000000000000,0x2ddcc1e5a9ffe81f96dfb44f47d6494c1b1160fd,5000000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x8697233bd12cb4f69871f36c39739c14cb48c094ff9069634bee553c6b19dab1,0xf305d719,2025/07/08 13:13:42,2025/07/08 05:13:42,0x2ddcc1e5a9ffe81f96dfb44f47d6494c1b1160fd,0x53f9b58a134337b3e6cdd96bc367d88dc896c41a,4950000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0xfc52713814022ad65e9c2c28a72a3f3a7f2979c309e884ba515b3c0f0c670c48,0xa3d4e927,2025/07/08 13:13:58,2025/07/08 05:13:58,0x53f9b58a134337b3e6cdd96bc367d88dc896c41a,0x328da0a825b5cb3a00955d9f5d6719f01be2e1b2,172373903.9240287244,SUCCESS,
0x3dcd416d5ec7d8a70d04ed975b384396f7fb2c62f00ef7160750416c40675c6f,0x38ed1739,2025/07/08 13:14:03,2025/07/08 05:14:03,0x53f9b58a134337b3e6cdd96bc367d88dc896c41a,0x7bd2ccf570afcc0ad7b301b5263a9c902bdce7f9,1945435.1695040038,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x63fb6c2b06fde780c74d529956a0b2ffcf65e488cc9d348aeff19567372c78c8,0x7ff36ab5,2025/07/08 13:14:06,2025/07/08 05:14:06,0x53f9b58a134337b3e6cdd96bc367d88dc896c41a,0x661c534b50177190a2247e57c479dc7d0d8ac933,239014895.3934497535,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x38e7cf24b5eca61cf08340a3e78cde48977ff02c6d7276a7d0e61cc8ac728249,0xa3d4e927,2025/07/08 13:14:20,2025/07/08 05:14:20,0x53f9b58a134337b3e6cdd96bc367d88dc896c41a,0xe1cadcaab195f95bf9a6653ffa31f09e42ec2b02,127252399.1648864001,SUCCESS,
0xe9a95faf39acfe817fb7200d069de8feaceb395f81a0eeceed7561bf1e329a8f,0x18cbafe5,2025/07/08 13:14:39,2025/07/08 05:14:39,0x328da0a825b5cb3a00955d9f5d6719f01be2e1b2,0x53f9b58a134337b3e6cdd96bc367d88dc896c41a,43093475.9810071811,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x43a99609a1a85a8bb050e0ce2b1fcfd921fbbaf2c23da40da56d788f8ca5eda7,0x7ff36ab5,2025/07/08 13:14:53,2025/07/08 05:14:53,0x53f9b58a134337b3e6cdd96bc367d88dc896c41a,0x0405258ca6f8a23c1c7a795d6cfbfca8d06065df,195107805.0770342350,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x5112bbe4ee105bf2a43b3bb8872149618db1718768bcfc6f6d6901f29ad80d30,0x18cbafe5,2025/07/08 13:15:15,2025/07/08 05:15:15,0x661c534b50177190a2247e57c479dc7d0d8ac933,0x53f9b58a134337b3e6cdd96bc367d88dc896c41a,59753723.8483624384,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xa2aaab8697c11ea0cf0644edca832b206b4ede01bb6b41d4f0fa9bb80572c703,0xa3d4e927,2025/07/08 13:15:27,2025/07/08 05:15:27,0x53f9b58a134337b3e6cdd96bc367d88dc896c41a,0x328da0a825b5cb3a00955d9f5d6719f01be2e1b2,130655210.0825679600,SUCCESS,
