tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x4bfe8330a0efe75f16cf075b8f11c5e3492ffa16161a88b82423bc9a48ed990f,0x60806040,2025/07/07 23:41:11,2025/07/07 15:41:11,0x0000000000000000000000000000000000000000,0xaabcdf7c09598d6063d39e230bbe7b6d5f4acd67,1000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0xcba5130c1732fbb0a38c6da1911576d8474b1b7d1beb31cac237d3adad42d033,0xf305d719,2025/07/07 23:41:24,2025/07/07 15:41:24,0xaabcdf7c09598d6063d39e230bbe7b6d5f4acd67,0xff9bd69a148efa9e98ff577082a72708a11e246e,1000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x7817dc683a2a8996cc27c3f96c2cee07da5fa5fdf24d6c0a3900b973d2c90f0f,0x38ed1739,2025/07/07 23:45:32,2025/07/07 15:45:32,0xff9bd69a148efa9e98ff577082a72708a11e246e,0x0271f43a69ab8a3c81f316b1201f0f6aa6dd8292,60185.2656785768,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xb1959f5b0e1d0eb2207382763785cfeae55a5f11783e74bf71d32797ab07016f,0x38ed1739,2025/07/07 23:45:42,2025/07/07 15:45:42,0xff9bd69a148efa9e98ff577082a72708a11e246e,0xa8dd260a0326c7cca644eb7c345d19345d74ae6e,54244.7991675882,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x556744d6abda57ce1fe3217cf2463be0a38d156fd67cd73392d58f9001209c09,0x38ed1739,2025/07/07 23:45:57,2025/07/07 15:45:57,0xff9bd69a148efa9e98ff577082a72708a11e246e,0x3cd2ba370fafa917c1ffe8676f663b1f61d3b83d,23300.8459512851,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x4aa9d3875fc77eed8304ef294a0daedd0bb9a69f7ecfcc4a0ab02bdbe1679ab8,0x38ed1739,2025/07/07 23:46:12,2025/07/07 15:46:12,0xff9bd69a148efa9e98ff577082a72708a11e246e,0xf13762d1ba27399a5d77831d76e0919965592da8,17646.8640022298,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x1a473d9c72b35ba133a1ac10ce3deec6c4b0059d66d7fb871cc1a6594b4a2d92,0x5c11d795,2025/07/07 23:46:32,2025/07/07 15:46:32,0xa8dd260a0326c7cca644eb7c345d19345d74ae6e,0xff9bd69a148efa9e98ff577082a72708a11e246e,31908.7053926989,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe3c1e89aacfccc05e634f1875844b555ca91f6586e1f3466bab6e53fbbab8a4e,0x5c11d795,2025/07/07 23:46:53,2025/07/07 15:46:53,0x0271f43a69ab8a3c81f316b1201f0f6aa6dd8292,0xff9bd69a148efa9e98ff577082a72708a11e246e,35403.0974579863,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x46f397f5270966d661d8c491d8c06b426e7b309b379c7808a64d70001caf1801,0x38ed1739,2025/07/07 23:47:00,2025/07/07 15:47:00,0xff9bd69a148efa9e98ff577082a72708a11e246e,0xb4c19942f5a7fec3a2fd69cb48745c27a7ef5d29,25975.1865356084,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xa5cea52b77e65cdc7936e5e122005c5f73bc4ef64d40b5fe967d6dfe9da46c7a,0x38ed1739,2025/07/07 23:47:17,2025/07/07 15:47:17,0xff9bd69a148efa9e98ff577082a72708a11e246e,0xa8dd260a0326c7cca644eb7c345d19345d74ae6e,12610.7141911889,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x2d96315e6e8d38385f5904c0310eb1f68dc8ccfb5248791499bdf9dabb6dd268,0x5c11d795,2025/07/07 23:47:38,2025/07/07 15:47:38,0xa8dd260a0326c7cca644eb7c345d19345d74ae6e,0xff9bd69a148efa9e98ff577082a72708a11e246e,20556.9458623989,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x713e8d9d7f968b5fbc3bcb77cef16fb51fbb40e3503b7c43dbf2b65286cfbfe5,0x38ed1739,2025/07/07 23:48:00,2025/07/07 15:48:00,0xff9bd69a148efa9e98ff577082a72708a11e246e,0xaac0a7dfe1cdef71f3e4db255f42c1cbc6156c51,21606.3767934033,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x44cd9358776f51a9d9d89cfd6d2954b96351aabeb2605c11cf85f3dc160a6384,0x5c11d795,2025/07/07 23:48:24,2025/07/07 15:48:24,0x3cd2ba370fafa917c1ffe8676f663b1f61d3b83d,0xff9bd69a148efa9e98ff577082a72708a11e246e,13706.3799713441,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xab203b6ed86e51dbd7d10d5d2cda41c5cf45b86e64ffa71c8cd451ac57bd053e,0x5c11d795,2025/07/07 23:48:31,2025/07/07 15:48:31,0x0271f43a69ab8a3c81f316b1201f0f6aa6dd8292,0xff9bd69a148efa9e98ff577082a72708a11e246e,14577.7460121120,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
