tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xe74433e263b4ae25ae3a4b8ad8395f68a6bde5d72338a4081e26a5fe9a801ff0,0x4d0309a5,2025/07/07 17:17:05,2025/07/07 09:17:05,0x0000000000000000000000000000000000000000,0x97c22bb9d78b9d68d4b141fd6addf589b2548384,10000000.0000000000,SUCCESS,"CreateContract(bytes32 salt,string[] stringParams,address[] addressParams,uint256[] numberParams,bool[] boolParams)"
0x0f5331a52a979efaa26a957d3069a45d4f7da40677500af1382266586a119fd1,0xa9059cbb,2025/07/07 20:12:48,2025/07/07 12:12:48,0x97c22bb9d78b9d68d4b141fd6addf589b2548384,0x5d17d163642fde61bdab20045cecea3778533c4f,8000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x954cbd106bab738a5731c5602f19293892e649d58ba894e3b2c1feb86dd1a88b,0xe8e33700,2025/07/07 20:40:14,2025/07/07 12:40:14,0x5d17d163642fde61bdab20045cecea3778533c4f,0x97c22bb9d78b9d68d4b141fd6addf589b2548384,40000.0000000000,SUCCESS,"addLiquidity(address tokenA, address tokenB, uint256 amountADesired, uint256 amountBDesired, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)"
0x954cbd106bab738a5731c5602f19293892e649d58ba894e3b2c1feb86dd1a88b,0xe8e33700,2025/07/07 20:40:14,2025/07/07 12:40:14,0x5d17d163642fde61bdab20045cecea3778533c4f,0x96aa2b82c236fa103d7ea6429d558bbe49705962,7840000.0000000000,SUCCESS,"addLiquidity(address tokenA, address tokenB, uint256 amountADesired, uint256 amountBDesired, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)"
0xb9597846a7495790d97c608dcc5376046bd11eb771024029d87375c94c17fe0f,0x7e7c8b25,2025/07/07 20:41:57,2025/07/07 12:41:57,0x96aa2b82c236fa103d7ea6429d558bbe49705962,0x97c22bb9d78b9d68d4b141fd6addf589b2548384,26.2353330437,SUCCESS,
0xb9597846a7495790d97c608dcc5376046bd11eb771024029d87375c94c17fe0f,0x7e7c8b25,2025/07/07 20:41:57,2025/07/07 12:41:57,0x96aa2b82c236fa103d7ea6429d558bbe49705962,0x2c069ca1783edf2111a0d464fc74beff18483fd6,5142.1252765653,SUCCESS,
0x3a3783bfc8d92ceae6a5e1a02daa171304b109b57cf71c90b04a19e6b5d20266,0x13bf21fa,2025/07/07 20:42:14,2025/07/07 12:42:14,0x96aa2b82c236fa103d7ea6429d558bbe49705962,0x97c22bb9d78b9d68d4b141fd6addf589b2548384,2.6348146660,SUCCESS,
0x3a3783bfc8d92ceae6a5e1a02daa171304b109b57cf71c90b04a19e6b5d20266,0x13bf21fa,2025/07/07 20:42:14,2025/07/07 12:42:14,0x96aa2b82c236fa103d7ea6429d558bbe49705962,0x5868fba87c5aa958aa6261fb173600587aa62317,516.4236745264,SUCCESS,
0xae692264873eb619c6b8c26a07c05896c275c938b6d7150a8b69d17757c20197,0x0dc4bdae,2025/07/07 20:44:02,2025/07/07 12:44:02,0x96aa2b82c236fa103d7ea6429d558bbe49705962,0x97c22bb9d78b9d68d4b141fd6addf589b2548384,6.3969415768,SUCCESS,"exactInputV2Swap(tuple exactInput,uint256 deadline)"
0xae692264873eb619c6b8c26a07c05896c275c938b6d7150a8b69d17757c20197,0x0dc4bdae,2025/07/07 20:44:02,2025/07/07 12:44:02,0x96aa2b82c236fa103d7ea6429d558bbe49705962,0x6f77ecd1b83d96d667c1d4b729e80bda135506cf,1253.8005490533,SUCCESS,"exactInputV2Swap(tuple exactInput,uint256 deadline)"
0x400b26a0ade11278fe20942bf5a968a83cc45784958fc89f3876903c428badde,0xa9059cbb,2025/07/07 20:48:23,2025/07/07 12:48:23,0x97c22bb9d78b9d68d4b141fd6addf589b2548384,0xf0ddd870abd08005e13ed5bbbb161e941ae02497,5000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x5b13d14351cbdac390c25beb208a1c9b0185c2601c236f292f3465343c28fa13,0xa9059cbb,2025/07/07 20:48:58,2025/07/07 12:48:58,0x97c22bb9d78b9d68d4b141fd6addf589b2548384,0x1ce2e08fbf0fb9beb589e9617f7e880801438b41,10000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
