tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xbc9ad1370c8e6ad4300732cd7cba9d3945d2d887fcddcf5f01c1503d56e6332d,0x60806040,2025/07/08 15:34:09,2025/07/08 07:34:09,0x0000000000000000000000000000000000000000,0xd784558080b12e65fd51fbeccdc92d6b3258a054,1000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0xda57894409bbcd2af45f1443bd396988eb0bb9d109673a491963714b057cec76,0xf305d719,2025/07/08 15:34:16,2025/07/08 07:34:16,0xd784558080b12e65fd51fbeccdc92d6b3258a054,0x5e33479d40ffc7d31cd92bf1885dab78b0055b4e,1000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x1f2de1a4def89ad9e9a32b7eac31217584332768d56c8262e0a53d5d4ffac1ef,0x38ed1739,2025/07/08 15:34:30,2025/07/08 07:34:30,0x5e33479d40ffc7d31cd92bf1885dab78b0055b4e,0xc4d05f8d65107e5689fba98c7df0de1cf7344554,4789.8840872558,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xb604972ba352a211bd84718fd24b3b95509d24558c8c314a6c7b2d19d70914ab,0x38ed1739,2025/07/08 15:34:40,2025/07/08 07:34:40,0x5e33479d40ffc7d31cd92bf1885dab78b0055b4e,0x7e19b4d5f94250e7b5f441455d090ea806a2da70,14625.8751738454,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x68a3dd562b025321d7d97268dd3e7b1d78b61ff131c209fa4e970fa10eae0ec4,0x38ed1739,2025/07/08 15:34:55,2025/07/08 07:34:55,0x5e33479d40ffc7d31cd92bf1885dab78b0055b4e,0xb4c19942f5a7fec3a2fd69cb48745c27a7ef5d29,23838.9503906865,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe33a74a89e863bff7acb85098321f1133a4f866e0bb8e276a1df4bab5f65bc42,0x38ed1739,2025/07/08 15:35:09,2025/07/08 07:35:09,0x5e33479d40ffc7d31cd92bf1885dab78b0055b4e,0xdf47a9d06f98b3caf309ea6677d187ac8b7b1953,5040.3058924927,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xa811926c89f117dd7213a1e504e95aea20047b90e1d463aa32ca1e708db6e784,0x5c11d795,2025/07/08 15:35:23,2025/07/08 07:35:23,0xdf47a9d06f98b3caf309ea6677d187ac8b7b1953,0x5e33479d40ffc7d31cd92bf1885dab78b0055b4e,2964.8858191133,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x5b581ebfc61ca01034a20baed344ce4f23888d62be0b12e5a480a83613623cf8,0x5c11d795,2025/07/08 15:35:42,2025/07/08 07:35:42,0xb4c19942f5a7fec3a2fd69cb48745c27a7ef5d29,0x5e33479d40ffc7d31cd92bf1885dab78b0055b4e,14022.9119945215,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x728e9562a2016ee930fb17002676f9e46556f61f43a73cf70c8e2ea89590f8ff,0x38ed1739,2025/07/08 15:35:51,2025/07/08 07:35:51,0x5e33479d40ffc7d31cd92bf1885dab78b0055b4e,0xd40a5731d0840af23f7f3c7eb34a46172d336878,5490.3000430337,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xb9095daa2743427cd9e702d9505a0782426647ac0eb4d88e44b24f51ad8e94b0,0x38ed1739,2025/07/08 15:36:12,2025/07/08 07:36:12,0x5e33479d40ffc7d31cd92bf1885dab78b0055b4e,0x7e19b4d5f94250e7b5f441455d090ea806a2da70,28638.5825348856,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
