tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x6fdb8f42ddf729de7c830824ff4179bc2bac6a501c137f3a9277d9c0bf18d5b6,0x60806040,2025/04/08 21:11:52,2025/04/08 13:11:52,0x0000000000000000000000000000000000000000,0x7ff0745654bdf9a1f8a2c3260bcbff066c021949,10000000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x0bbb2774514593c9ba50504cb953a62ad593738d8f33bb4db5bce7deff801f1d,0xf305d719,2025/04/08 21:15:28,2025/04/08 13:15:28,0x7ff0745654bdf9a1f8a2c3260bcbff066c021949,0x03d4729cedc33016f7683e80981eae82b883d7e2,28000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x0a346e7a279c62b280839376509ab21eb7faed74be7203fdbc4770eafb8520d1,0x3593564c,2025/04/08 21:16:52,2025/04/08 13:16:52,0x03d4729cedc33016f7683e80981eae82b883d7e2,0x9ed0a9f0f3ade5817108afe0791d93a507b3b043,18607.6259287570,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x9f03456ed2b6f96c67004b7f74371908cb3d2bc30d89590624ebd561264a99e2,0x3593564c,2025/04/08 21:18:01,2025/04/08 13:18:01,0x03d4729cedc33016f7683e80981eae82b883d7e2,0x9ed0a9f0f3ade5817108afe0791d93a507b3b043,30957.7598575150,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x69c01534774aa3c1462c8a5963a5bb6a6a6a1407de68ee3e2f5ccf3848736430,0x3593564c,2025/04/08 21:23:55,2025/04/08 13:23:55,0x03d4729cedc33016f7683e80981eae82b883d7e2,0x9ed0a9f0f3ade5817108afe0791d93a507b3b043,30889.2485606020,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x848851c3a05b07a3cbb33da12164a29fb3d2c789c0e9178b67f246719d31f264,0x3593564c,2025/04/08 21:26:22,2025/04/08 13:26:22,0x03d4729cedc33016f7683e80981eae82b883d7e2,0x9ed0a9f0f3ade5817108afe0791d93a507b3b043,36976.9935092570,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xac135b17101252fee254be1bfe45927db3f43c7341ffc7f49af064a2c13529ce,0x3593564c,2025/04/08 21:27:55,2025/04/08 13:27:55,0x03d4729cedc33016f7683e80981eae82b883d7e2,0x9ed0a9f0f3ade5817108afe0791d93a507b3b043,36879.0552249960,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xf5cf76e8f845fdf964d3070d2d2c38441e042c69abe6e7e80f68ac26ab1ff695,0x3593564c,2025/04/08 21:32:13,2025/04/08 13:32:13,0x03d4729cedc33016f7683e80981eae82b883d7e2,0x9ed0a9f0f3ade5817108afe0791d93a507b3b043,36781.5056906520,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xfe2a15de1def5bf8889618ed41a2d359d9c7285b2f4ae095ed98f1be0988aaf5,0x3593564c,2025/04/08 21:36:01,2025/04/08 13:36:01,0x03d4729cedc33016f7683e80981eae82b883d7e2,0x9ed0a9f0f3ade5817108afe0791d93a507b3b043,36684.3428510780,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x596d04840898e95fffc78a68a563c8532e600375a1fc962a5fe88a5b9e0d4a5d,0x3593564c,2025/04/08 21:37:31,2025/04/08 13:37:31,0x03d4729cedc33016f7683e80981eae82b883d7e2,0x9ed0a9f0f3ade5817108afe0791d93a507b3b043,42676.1217429740,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xbaa9cae785d999658e2f79d9f14ead0c78cd0bd39c49e7c35365e46cbda2df2b,0x3593564c,2025/04/08 21:39:55,2025/04/08 13:39:55,0x03d4729cedc33016f7683e80981eae82b883d7e2,0x9ed0a9f0f3ade5817108afe0791d93a507b3b043,48612.2056393350,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x94962bb7d7c86224fc46505bba9d986bff351743d3bcd10ce51513cbf94dc300,0x3593564c,2025/04/08 21:43:16,2025/04/08 13:43:16,0x03d4729cedc33016f7683e80981eae82b883d7e2,0x9ed0a9f0f3ade5817108afe0791d93a507b3b043,54485.1613997830,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
