tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x3defa991387c5344e01a89928d76d8c1b27acfbfa4f5e784190557408db226f1,0xa9059cbb,2025/07/08 14:25:14,2025/07/08 06:25:14,0xe300510afb5e90fbca84290ec29540ba4a139cf3,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,1000000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0xdd4a828e596db72758c0959c03bbb81c6abd84856f9fd867c26b0d15c016f58f,0xf305d719,2025/07/08 14:25:27,2025/07/08 06:25:27,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,0xe6c8badea7b745f4ee90bfa0d4806304eaea21ca,1000000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x1faa16576cdb8257121a245e17445e43cf3922d5f826371b279c243ba1c22d75,0xb6f9de95,2025/07/08 14:25:34,2025/07/08 06:25:34,0xe6c8badea7b745f4ee90bfa0d4806304eaea21ca,0xf973a80e948b1c183111401ac2bffed80f03d7fe,1991027.8993408100,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xac0214bf6338808b6f73435e452233b29b2f852d0c52b9d1b1ff0f73bd039544,0x7ff36ab5,2025/07/08 14:27:26,2025/07/08 06:27:26,0xe6c8badea7b745f4ee90bfa0d4806304eaea21ca,0xb2e01592574723c9b2d6542ea0a089459b1a0bdb,7885415.1541250898,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x4ebf2e639e77cf4759e1201bdf1369a1be9a6422ca15ca53e989ca6987931bed,0x7ff36ab5,2025/07/08 14:29:03,2025/07/08 06:29:03,0xe6c8badea7b745f4ee90bfa0d4806304eaea21ca,0xec9c81ad45a5508c25439eb60bd19ccb18665daf,12360474.2963148504,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xcef4c8af32d351a59c3235b96a6043e6aebb3b7b415c38f021bca67770320e70,0x7ff36ab5,2025/07/08 14:30:26,2025/07/08 06:30:26,0xe6c8badea7b745f4ee90bfa0d4806304eaea21ca,0x072c4773ca110cd767c836063e762248ff6bfebb,13170256.9523569103,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x27dbc76baf768757c7e39c8dfbc373a685a7bb18fe890bdd4ac6514b82a5fc0d,0x7ff36ab5,2025/07/08 14:31:39,2025/07/08 06:31:39,0xe6c8badea7b745f4ee90bfa0d4806304eaea21ca,0xda5eeef71ce9892b79b0215e771153f84930a653,20349321.8083594218,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xf4ccde3c1309b6a54a61bc981d742368bc050b0b587f48b320fd9f20154df582,0x7ff36ab5,2025/07/08 14:33:14,2025/07/08 06:33:14,0xe6c8badea7b745f4ee90bfa0d4806304eaea21ca,0xe948af1c4eb6f7c3b65d26a6c7b353cca5c7905a,55255410.7903891206,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x4bd09c1b7de818430fb194ead655ebef7f4ac48a555f7411df0814b42cb34af1,0x7ff36ab5,2025/07/08 14:35:03,2025/07/08 06:35:03,0xe6c8badea7b745f4ee90bfa0d4806304eaea21ca,0xc80f68042099aa38b561a3f0d064c4e1834f9345,12433181.9953922797,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x212c1d421f89edf72faa3ae84300dd3cf5bef854c5eb1006020d6ea852a0a153,0x18cbafe5,2025/07/08 14:36:56,2025/07/08 06:36:56,0xec9c81ad45a5508c25439eb60bd19ccb18665daf,0xe6c8badea7b745f4ee90bfa0d4806304eaea21ca,12360474.2963148504,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
