tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x488841127923cc43465f4aa022c67651bc781dc42c4aa667066304f7a622acd6,0xa9059cbb,2025/07/08 09:05:01,2025/07/08 01:05:01,0x8bdb796f06ca1a0a0bc3722c674259c00c0f208e,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,100000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x0866c3f012f763d7836721caa25fad2dbf591df08a60a15417f5b1028cb3bcce,0xf305d719,2025/07/08 09:05:50,2025/07/08 01:05:50,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,100000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0xbe405e84bf16842e7184676b9d5ce879772bcfb8d5b82f300185dfa3adaf6d2d,0x7ff36ab5,2025/07/08 09:06:57,2025/07/08 01:06:57,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,0x072c4773ca110cd767c836063e762248ff6bfebb,397414.3168756600,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x5376f9961d7c2e81e1c9435b4365dc35c76b390aec8799d58a72d2fba3c6afde,0x7ff36ab5,2025/07/08 09:08:49,2025/07/08 01:08:49,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,0xb2e01592574723c9b2d6542ea0a089459b1a0bdb,3807015.2014145600,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xc4a5881c0b0c21acdf1ef5bb5457caebf451998aeb8fb45b90e907f427bd3250,0x7ff36ab5,2025/07/08 09:09:23,2025/07/08 01:09:23,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,0xfea61866bf6a646427f28f6a2d4bb91d2b8d2d4c,42084.7575905200,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x3a8448fa0fddf157ecbfe03e27597b3846325fd02b3ace51aee2b7571cf66cd3,0x7ff36ab5,2025/07/08 09:10:15,2025/07/08 01:10:15,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,0x562e9ece3c2941ddc2934c445c31abf212810cfa,1500258.4148899300,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xca6d150b531569a0962c099e3b2c79aaaeb9dac073bbe3fa87288e65d62ee40b,0x7ff36ab5,2025/07/08 09:11:39,2025/07/08 01:11:39,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,0x41d91c20a61464c72b68f1b941d23ac39355609e,528628.4304320500,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x8020411467462654d5470e28db7dab7f4e5966f8c825dd0aa683a9bcac6fe0e0,0x7ff36ab5,2025/07/08 09:13:26,2025/07/08 01:13:26,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,0x2f4d3e17b82f4cacaf76b8868d1ba59e62d79f41,40282.9857881600,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x015cb4cc77bfdc3060c6c4c5e76fb576d5babac4a7c28aa98e51d30221919594,0xe5e8894b,2025/07/08 09:13:52,2025/07/08 01:13:52,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,0xb300000b72deaeb607a12d5f54773d1c19c7028d,9638.4062982800,SUCCESS,"proxySwapV2(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,uint256 minReturnAmt,bytes callData)"
0x015cb4cc77bfdc3060c6c4c5e76fb576d5babac4a7c28aa98e51d30221919594,0xe5e8894b,2025/07/08 09:13:52,2025/07/08 01:13:52,0xb300000b72deaeb607a12d5f54773d1c19c7028d,0x32e9218165cc1a3c7c52aa0c19f7fe862000d91c,9638.4062982800,SUCCESS,"proxySwapV2(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,uint256 minReturnAmt,bytes callData)"
0x3ff7271475bf5c939b1267f73b614634ed7990980ea824ab025c6aa41c32455a,0x18cbafe5,2025/07/08 09:14:28,2025/07/08 01:14:28,0xb2e01592574723c9b2d6542ea0a089459b1a0bdb,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,3807015.2014145600,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x3258dea1c77ac0ece238c00731e0482cc9767a6bbd86a4e6344673c345dbef02,0x7ff36ab5,2025/07/08 09:17:39,2025/07/08 01:17:39,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,0x424fca1b4fa56c9617193458f6b4394cadc6f0c2,75752.8274362800,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x47de29500bf1d85e098d1f55119bf42a25bcca3e3ce6e72bd9635e9cf8ea00c9,0x18cbafe5,2025/07/08 09:20:06,2025/07/08 01:20:06,0x2f4d3e17b82f4cacaf76b8868d1ba59e62d79f41,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,40282.9857881600,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x7ec85331a40f9c702635d962aa79702888f811a920312b1c6fbb11d66a966eb4,0x7ff36ab5,2025/07/08 09:22:37,2025/07/08 01:22:37,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,0x82e1eaac54e9207d5c0c437156c3c2f6a13ca3e6,138688.9820284800,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x222f30ea3b8753c8f1763a0cdc9f90c773f9d05a58a0733360d6c9e398a42714,0x7ff36ab5,2025/07/08 09:23:12,2025/07/08 01:23:12,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,0xc690a49aac9f39ccd97b4b7d89d3e81bcd1bf791,282454.9817147700,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xd2187c5d7ef2e644401eb2f1b429f59bdb32d6b49e563db491f5d45ded0203fd,0x7ff36ab5,2025/07/08 09:24:01,2025/07/08 01:24:01,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,0xb7d9666844133b26e991ccd5fef74e576a21148f,343001.2979041300,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x664e1db902dd4e75ff90a3c52cf98ca98dabd655a196a9cb3e41350c00cbf033,0x7ff36ab5,2025/07/08 09:26:51,2025/07/08 01:26:51,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,0xe49fbb8ef0728cd8ae3be5fea655ada3b8170c98,5838982.1260773102,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x910ccef9b4473eb76e3f1653b7ee894ebb4a532c459b0ab637b2275824f3b7de,0x7ff36ab5,2025/07/08 09:28:14,2025/07/08 01:28:14,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,0xc80f68042099aa38b561a3f0d064c4e1834f9345,65778.5095948500,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x9f7958ed438220824265ee87fa7ed811e337d8badb0b158fa6d6f82122192c5a,0x7ff36ab5,2025/07/08 09:30:01,2025/07/08 01:30:01,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,0xe7edc5d3f9416c296fc5bc8e8094830cfd3f19f8,436099.9074115100,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x59c4c55a92cd88761b12eba62944a4ba3c562ba279b281d9ab30fb8546fd09d9,0x7ff36ab5,2025/07/08 09:31:12,2025/07/08 01:31:12,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,0x41d91c20a61464c72b68f1b941d23ac39355609e,297392.5319736600,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x37c1e871490c5e4f0081566bad7704607a021b358d747e3409d1eb9e8e13f348,0x18cbafe5,2025/07/08 09:32:30,2025/07/08 01:32:30,0xb7d9666844133b26e991ccd5fef74e576a21148f,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,343001.2979041300,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x60036dbc99ce41a520c147a732b95c81cca48cfa185aaa2fedf7c1800f1d096f,0x7ff36ab5,2025/07/08 09:36:37,2025/07/08 01:36:37,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,0x24815d90f2426c875db55a265e500e4130b63d96,173438.6556366500,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x05d730855149c7700fccd2d4963c46a5f0b14959edbd9c98e0a38619b2ecbc01,0x7ff36ab5,2025/07/08 09:38:27,2025/07/08 01:38:27,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,0x0395f37fee3c6d9532d6a5935302bbd6d249e52e,301919.9481049300,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x6bbcfb68a348f815b864bb8fffaf98be44d8c67a18879dab676a2a9c5b2d9cb9,0x7ff36ab5,2025/07/08 09:39:38,2025/07/08 01:39:38,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,0x3cf8dabcaa1da7f24b20cc2dccadc8c16285953c,369237.7902397500,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x31019c3a34e536f0426312110d101012c3a1304e0ae9e61e2c19ff1192a3513e,0x7ff36ab5,2025/07/08 09:40:49,2025/07/08 01:40:49,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,0x562e9ece3c2941ddc2934c445c31abf212810cfa,634974.0069729300,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x5649398606aa7c2a79d5e659d62cdaec3af892e6243181c64c12a1dd64bf9fd0,0x7ff36ab5,2025/07/08 09:42:38,2025/07/08 01:42:38,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,0xda5eeef71ce9892b79b0215e771153f84930a653,157336.0712619200,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x8b04ce97b5ad8eb7748c7f5f28a36b277a5d45e7ef4676000d38b6bc0aec9bb9,0xa9059cbb,2025/07/08 09:43:18,2025/07/08 01:43:18,0x8bdb796f06ca1a0a0bc3722c674259c00c0f208e,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,0.0000000100,SUCCESS,"transfer(address dst, uint256 amount)"
0x2d847c0cc269fdd71a8d0c24b08ad7569c66b69ffd7b1f1e206e77a20d0a9db6,0x18cbafe5,2025/07/08 09:46:31,2025/07/08 01:46:31,0x8bdb796f06ca1a0a0bc3722c674259c00c0f208e,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,10000000000000.0000000000,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x924132a67e357a3c6cf97d451d2a9bd2bde488f278d0b1f26fe437632a27f665,0x4729d25e,2025/07/08 09:46:32,2025/07/08 01:46:32,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,0x70066a6646d8592e4d5dd8695b89fb0df4c029fc,1994008607324.6452636719,SUCCESS,
0x924132a67e357a3c6cf97d451d2a9bd2bde488f278d0b1f26fe437632a27f665,0x4729d25e,2025/07/08 09:46:32,2025/07/08 01:46:32,0x70066a6646d8592e4d5dd8695b89fb0df4c029fc,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,1599606719928.8332519531,SUCCESS,
0x2b1e495759ee7436a1b98159c726dc7c5ee32484b13ac4491e397e8428d4c66e,0xb6f9de95,2025/07/08 09:46:36,2025/07/08 01:46:36,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,0xb21a7d6b07ad608202c5c057031a034bf4166b38,406765605429.5564575195,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x3ba700601a977ebc25ae494323a4a70e190488ebfc8fd45f1b7dd7a8fb36628f,0x7ff36ab5,2025/07/08 09:48:15,2025/07/08 01:48:15,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,0x29a4b61a493ca34ab367594594a730fddd131bfa,373677062298.1833496094,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x3eddf498a6adec1baa227b20c8da4c40aced3a5b24847229fd2654546542490f,0xe5e8894b,2025/07/08 10:16:53,2025/07/08 02:16:53,0x11b6c45a097da6a4c99c06d5be9e06d7c6eeda55,0xb300000b72deaeb607a12d5f54773d1c19c7028d,5900437028631.5791015625,SUCCESS,"proxySwapV2(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,uint256 minReturnAmt,bytes callData)"
0x3eddf498a6adec1baa227b20c8da4c40aced3a5b24847229fd2654546542490f,0xe5e8894b,2025/07/08 10:16:53,2025/07/08 02:16:53,0xb300000b72deaeb607a12d5f54773d1c19c7028d,0x32e9218165cc1a3c7c52aa0c19f7fe862000d91c,5900437028631.5791015625,SUCCESS,"proxySwapV2(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,uint256 minReturnAmt,bytes callData)"
