tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x6ac6b9378493ad63add8d96694828a64b90a2531f6b94b9152cdc8b43e63aaf9,0xa9059cbb,2025/07/08 11:15:27,2025/07/08 03:15:27,0x0919646418eaeb86cba8a3e1f45dd7ef268a47df,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,1000000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x7c41148be012e79c12086060393bb04a5e5bea1796115825f3b21e0111b55031,0xf305d719,2025/07/08 11:15:49,2025/07/08 03:15:49,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,0x638444399906efdf87be747e5851468f35e9b31e,1000000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0xa363511f9b6f44ff898d5703108de868a298630923b91098c2eaaddb95acb84e,0x7ff36ab5,2025/07/08 11:19:13,2025/07/08 03:19:13,0x638444399906efdf87be747e5851468f35e9b31e,0xec9c81ad45a5508c25439eb60bd19ccb18665daf,2652943.1711646998,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xd6157428c17ba0194cde16467b77d2dc99b329bcc2103dfd44c33d75922bbaaa,0x7ff36ab5,2025/07/08 11:21:27,2025/07/08 03:21:27,0x638444399906efdf87be747e5851468f35e9b31e,0xb7d9666844133b26e991ccd5fef74e576a21148f,2638886.7013355801,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x3f6bb10cc1c93e7cdb04cf4bae3265d28d61cd831e5e99456841191a7bc6d6ef,0x7ff36ab5,2025/07/08 11:23:27,2025/07/08 03:23:27,0x638444399906efdf87be747e5851468f35e9b31e,0x0395f37fee3c6d9532d6a5935302bbd6d249e52e,19355067.3739391901,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xd1ff9c671cad881a7dd386d432a2d0ee23af8ebcbf557f3142a71f9593366f51,0x7ff36ab5,2025/07/08 11:27:38,2025/07/08 03:27:38,0x638444399906efdf87be747e5851468f35e9b31e,0xb2e01592574723c9b2d6542ea0a089459b1a0bdb,36533393.7477238700,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xf42b81c2e6287d3e9dfcbafffcaf864975633e1196dca69f86e433a9b7087e99,0x7ff36ab5,2025/07/08 11:31:51,2025/07/08 03:31:51,0x638444399906efdf87be747e5851468f35e9b31e,0xc80f68042099aa38b561a3f0d064c4e1834f9345,10431297.8240110595,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xb7945e15ab5bc03a22dab04abf786fc11c19a6ecf412f6d680497c9c51ff5c3f,0x7ff36ab5,2025/07/08 11:33:13,2025/07/08 03:33:13,0x638444399906efdf87be747e5851468f35e9b31e,0xfea61866bf6a646427f28f6a2d4bb91d2b8d2d4c,1144709.8911354700,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xc40a94ff1d34b9805716b8abbca3f9c8daf6d1f951e28b8e27d733738f640d66,0x7ff36ab5,2025/07/08 11:36:01,2025/07/08 03:36:01,0x638444399906efdf87be747e5851468f35e9b31e,0x3cf8dabcaa1da7f24b20cc2dccadc8c16285953c,11293697.5125915091,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x133f8dae8582361c4285b43cc18aab861a1568841ab269551ef58cf64c4f3343,0xa9059cbb,2025/07/08 11:37:57,2025/07/08 03:37:57,0x0919646418eaeb86cba8a3e1f45dd7ef268a47df,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,0.0000000100,SUCCESS,"transfer(address dst, uint256 amount)"
