tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x7c4690a376a92c319bf12f6eeb79ad996e0ecf271f650d10becb90b174a274e1,0x60806040,2025/07/07 19:51:53,2025/07/07 11:51:53,0x0000000000000000000000000000000000000000,0x0b4baa8eb6981e697cb5286d1eeb2f720c08a4a3,9999999999999999455752309870428160.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x2d4d90d3efbaee233b7c0120a3a76e16cc174ee05e00c72330449cc30df70fca,0xa9059cbb,2025/07/07 19:54:23,2025/07/07 11:54:23,0x0b4baa8eb6981e697cb5286d1eeb2f720c08a4a3,0x000000000000000000000000000000000000dead,9899999999999999864717313384120320.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x66d2677f90914889416cb93e7f2167ff2baf31d8dd2a8bf4f30f2996b82513e7,0xf305d719,2025/07/07 19:55:47,2025/07/07 11:55:47,0x0b4baa8eb6981e697cb5286d1eeb2f720c08a4a3,0xc8dc68d834661f88381556090ecb7689b86e4230,100000000000000545798117488852992.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x6c450f89f372a5db8a8249a133cd62b3f1720013886f074509427de5768a0ad7,0x262d6152,2025/07/07 19:55:56,2025/07/07 11:55:56,0xc8dc68d834661f88381556090ecb7689b86e4230,0xb5cb0555f07fd97c42b6dd5a46f82df2bde40777,5220478409701903982523150499840.0000000000,SUCCESS,zap()
0x12a1173dc63a9a7ec70bede4452d0e132530c3c24a1f5e23f97ee76a1aee0a41,0xac9650d8,2025/07/07 19:55:56,2025/07/07 11:55:56,0xc8dc68d834661f88381556090ecb7689b86e4230,0x25f88f9cb20ba79effca2fe8b5536155f192e66c,8163286836859267244473295306752.0000000000,SUCCESS,multicall(bytes[] data)
0x47bff4e2fee69742cb036344529258e3dc6f8ecc57386e4b3d735948713773ef,0x1249c58b,2025/07/07 19:55:56,2025/07/07 11:55:56,0xb5cb0555f07fd97c42b6dd5a46f82df2bde40777,0xc8dc68d834661f88381556090ecb7689b86e4230,5220478409701903982523150499840.0000000000,SUCCESS,mint()
0xde2d3a2154235a25d4f220a4e060ad63af08a7cd8815e905915918f4605697f1,0x262d6152,2025/07/07 19:56:20,2025/07/07 11:56:20,0xc8dc68d834661f88381556090ecb7689b86e4230,0xb5cb0555f07fd97c42b6dd5a46f82df2bde40777,353257602163562731993999343616.0000000000,SUCCESS,zap()
0x361937c659b85569ce6bfa3f9e643638880e8f778280120cb0f47d5d4807ad56,0xac9650d8,2025/07/07 19:56:20,2025/07/07 11:56:20,0xc8dc68d834661f88381556090ecb7689b86e4230,0xb0f1b5b246c9941592fe575b53e8922dd28b2944,9000742550032259938232064540672.0000000000,SUCCESS,multicall(bytes[] data)
0x97906c6998f58a6eb146fd8ff851a68849d885733fbc3a3304b7f50ade5c11c5,0x1249c58b,2025/07/07 19:56:20,2025/07/07 11:56:20,0xb5cb0555f07fd97c42b6dd5a46f82df2bde40777,0xc8dc68d834661f88381556090ecb7689b86e4230,353257602163562731993999343616.0000000000,SUCCESS,mint()
0xce4dc0ccd6ba591754620f906cda83021955db0da83904505c9892f3eb642d2e,0x262d6152,2025/07/07 19:56:42,2025/07/07 11:56:42,0xc8dc68d834661f88381556090ecb7689b86e4230,0xb5cb0555f07fd97c42b6dd5a46f82df2bde40777,311868981621421270463231819776.0000000000,SUCCESS,zap()
