tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xb12387e1aa70a9421f7e2ff7e5a0dcb7ec5dcd8f0d2da73551837deb865a1040,0x61010060,2025/07/06 03:22:18,2025/07/05 19:22:18,0x0000000000000000000000000000000000000000,0x7ed0107d732fbaaaf00076e1c6a7c895e8fdeabe,1000000000.0000000000,SUCCESS,
0xc2a74f3a478e4f1dfba07298ff6b1bf3e09a5a3fa44b71ed7c2c06d690f8ea46,0xa9059cbb,2025/07/06 14:27:07,2025/07/06 06:27:07,0x7ed0107d732fbaaaf00076e1c6a7c895e8fdeabe,0xad3a3b8c4aaf94437690d1db06fa60d3e405d3ad,1000000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x19d0541b6d88778652075519e72bcdac9b0e7cfa03d471eda15cbc6bf40b3d65,0xe8e33700,2025/07/06 23:18:58,2025/07/06 15:18:58,0xad3a3b8c4aaf94437690d1db06fa60d3e405d3ad,0x09d2171c96349f1c2b9310226dd70cbdb7055d8b,1.0000000000,SUCCESS,"addLiquidity(address tokenA, address tokenB, uint256 amountADesired, uint256 amountBDesired, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)"
0x62a95abc4b713bc89812e545a333906a9e9e314fe68e548b2ca4154ebba6d775,0xe8e33700,2025/07/06 23:23:32,2025/07/06 15:23:32,0xad3a3b8c4aaf94437690d1db06fa60d3e405d3ad,0x09d2171c96349f1c2b9310226dd70cbdb7055d8b,1999999.0000000000,SUCCESS,"addLiquidity(address tokenA, address tokenB, uint256 amountADesired, uint256 amountBDesired, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)"
0xe7a991a9b5412dd8adfacc29c41c1a3350c09a58549bb49606898880c57e8eac,0xa9059cbb,2025/07/07 03:23:37,2025/07/06 19:23:37,0xad3a3b8c4aaf94437690d1db06fa60d3e405d3ad,0xe31fd8dbf13c6f0076134d1f21c08879a5f70371,100.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x98ea25f73b01fee0b9e30b5cf22c7ff3212474a8bc0a3b66b6bccf5045fde5a2,0xa9059cbb,2025/07/07 03:36:10,2025/07/06 19:36:10,0xad3a3b8c4aaf94437690d1db06fa60d3e405d3ad,0xe31fd8dbf13c6f0076134d1f21c08879a5f70371,997999900.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x0403b860d74044930778f429ca84afc3eb3ca8f44a525b991e540cb9ca393a79,0x0efe6a8b,2025/07/07 17:03:40,2025/07/07 09:03:40,0x09d2171c96349f1c2b9310226dd70cbdb7055d8b,0xe31fd8dbf13c6f0076134d1f21c08879a5f70371,4970.1306310022,SUCCESS,"deposit(address _input, uint256 _amount, uint256 _min_mint_amount)"
0x0403b860d74044930778f429ca84afc3eb3ca8f44a525b991e540cb9ca393a79,0x0efe6a8b,2025/07/07 17:03:40,2025/07/07 09:03:40,0xe31fd8dbf13c6f0076134d1f21c08879a5f70371,0x3be87b57ba96a8434d9a450e64e136d4ab16cb02,149.1039189301,SUCCESS,"deposit(address _input, uint256 _amount, uint256 _min_mint_amount)"
0x0403b860d74044930778f429ca84afc3eb3ca8f44a525b991e540cb9ca393a79,0x0efe6a8b,2025/07/07 17:03:40,2025/07/07 09:03:40,0xe31fd8dbf13c6f0076134d1f21c08879a5f70371,0xff5831bbf11cb6cb2ddfb7a4b40df02edc55de92,149.1039189301,SUCCESS,"deposit(address _input, uint256 _amount, uint256 _min_mint_amount)"
0x0403b860d74044930778f429ca84afc3eb3ca8f44a525b991e540cb9ca393a79,0x0efe6a8b,2025/07/07 17:03:40,2025/07/07 09:03:40,0xe31fd8dbf13c6f0076134d1f21c08879a5f70371,0xf0d332cb1eb885700af00d1f3580e72e8ba30ece,198.8052252401,SUCCESS,"deposit(address _input, uint256 _amount, uint256 _min_mint_amount)"
