tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x2ad8a81cc071ae1d65f44887b3b170b8ed884bff6bff39058113c462e69fdfca,0x60806040,2025/07/08 06:56:54,2025/07/07 22:56:54,0x0000000000000000000000000000000000000000,0x828fc793315505adcd3dcce43f3f78a4c985f2c5,1000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0xbf4b50fff2be6e658aafe3aedd868a4b692691b4d7b26647c00558d82211d67b,0xf305d719,2025/07/08 07:20:03,2025/07/07 23:20:03,0x828fc793315505adcd3dcce43f3f78a4c985f2c5,0x60dee420d189322771d6b9de1cc2d67b8f7c9ab4,1000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x852f37c9c459121103d5af464b2492aa5b91c3d1b8edd02a28e8882afd7bc8f1,0x088890dc,2025/07/08 07:20:21,2025/07/07 23:20:21,0x60dee420d189322771d6b9de1cc2d67b8f7c9ab4,0x1f2d955cc70c8ae5f9e0656c51ce321d69a32873,89.8851092588,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline, address referrer)"
0xdfc4c7e21d7eb06778c6dd701e47247debfdada12e46679b7d5311d2cb399057,0x5b9e9006,2025/07/08 07:22:47,2025/07/07 23:22:47,0x60dee420d189322771d6b9de1cc2d67b8f7c9ab4,0x564c1a13d4991f0128db4f83134204632608a09b,10.6640832495,SUCCESS,"swapV2ExactIn(address token_in,address token_out,uint256 amount_in,uint256 amount_out_min,address pool_address)"
0x2986f140094d65e450d6671ee3a60a5f321e993e859b41ffccee2a3dafe022f6,0xe5e8894b,2025/07/08 09:35:51,2025/07/08 01:35:51,0x60dee420d189322771d6b9de1cc2d67b8f7c9ab4,0xb300000b72deaeb607a12d5f54773d1c19c7028d,487.6363826691,SUCCESS,"proxySwapV2(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,uint256 minReturnAmt,bytes callData)"
0x2986f140094d65e450d6671ee3a60a5f321e993e859b41ffccee2a3dafe022f6,0xe5e8894b,2025/07/08 09:35:51,2025/07/08 01:35:51,0xb300000b72deaeb607a12d5f54773d1c19c7028d,0x14334b562f2fb3cea5dbf098994b3dade6a29d59,487.6363826691,SUCCESS,"proxySwapV2(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,uint256 minReturnAmt,bytes callData)"
0x5351017ee2da8c9b9f7e32039c6bf97169cdea8e248552f6b9623588ecf9187e,0x262d6152,2025/07/08 09:37:15,2025/07/08 01:37:15,0x60dee420d189322771d6b9de1cc2d67b8f7c9ab4,0xb5cb0555f07fd97c42b6dd5a46f82df2bde40777,37.3525700169,SUCCESS,zap()
0x0c3f39f7fa5c53485ec19a5c18acbe79352cd0c97be46b40a90e6b0286d0c0ad,0xe5e8894b,2025/07/08 09:37:15,2025/07/08 01:37:15,0x60dee420d189322771d6b9de1cc2d67b8f7c9ab4,0xb300000b72deaeb607a12d5f54773d1c19c7028d,114.9549581799,SUCCESS,"proxySwapV2(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,uint256 minReturnAmt,bytes callData)"
0x0c3f39f7fa5c53485ec19a5c18acbe79352cd0c97be46b40a90e6b0286d0c0ad,0xe5e8894b,2025/07/08 09:37:15,2025/07/08 01:37:15,0xb300000b72deaeb607a12d5f54773d1c19c7028d,0x14334b562f2fb3cea5dbf098994b3dade6a29d59,114.9549581799,SUCCESS,"proxySwapV2(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,uint256 minReturnAmt,bytes callData)"
0xb7df16a6ea717d7ace6d94f2cb8ffca27c662ed5ca6234c2c8c5b3b405844f66,0x1249c58b,2025/07/08 09:37:15,2025/07/08 01:37:15,0xb5cb0555f07fd97c42b6dd5a46f82df2bde40777,0x60dee420d189322771d6b9de1cc2d67b8f7c9ab4,37.3525700169,SUCCESS,mint()
