tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xc36c3b2972fb78da1366d931f2d74fc8d2944e28dd074624f2950c6a4c4127e7,0x60806040,2025/07/08 16:07:58,2025/07/08 08:07:58,0x0000000000000000000000000000000000000000,0xa05d68826f592417085dcf3a1f70374ed4038793,200000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x5f060ff5fb3a83190281eb2f8efa682092e59047c736b279695b05b85aa2af92,0xe8e33700,2025/07/08 16:17:28,2025/07/08 08:17:28,0xa05d68826f592417085dcf3a1f70374ed4038793,0x572e16965567223f0fbc2490c8056d7f266b81e6,1000000.0000000000,SUCCESS,"addLiquidity(address tokenA, address tokenB, uint256 amountADesired, uint256 amountBDesired, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)"
0xfb86ef832a0c57f0c94972e50adb9ed02cd725c2c5c849a87f2d90f3ce9479aa,0x38ed1739,2025/07/08 16:18:35,2025/07/08 08:18:35,0x572e16965567223f0fbc2490c8056d7f266b81e6,0xa05d68826f592417085dcf3a1f70374ed4038793,73868.2670223013,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x1cd69827dda52c688a85255a41fd59d685868eec74f44911cfcee6fd1df83050,0x38ed1739,2025/07/08 16:24:09,2025/07/08 08:24:09,0x572e16965567223f0fbc2490c8056d7f266b81e6,0xa05d68826f592417085dcf3a1f70374ed4038793,8471.3646960812,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x577769fd9327c8ad2f7f11635d20d4fbb05b87c9cd5f8d138b40172b91545e61,0x38ed1739,2025/07/08 16:25:00,2025/07/08 08:25:00,0x572e16965567223f0fbc2490c8056d7f266b81e6,0x5bd84d6ae5e4a8539367a99e9422321813e94cda,9963.0193419397,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x3a56f6e604420ebc3fdf6b5499e6b0aae1c6acea5fa42a5925ad1e2aa0382816,0x5c11d795,2025/07/08 16:27:31,2025/07/08 08:27:31,0x5bd84d6ae5e4a8539367a99e9422321813e94cda,0x371203a3fefe17e6aac72fef07e400b59b739e93,498.1505000000,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x3a56f6e604420ebc3fdf6b5499e6b0aae1c6acea5fa42a5925ad1e2aa0382816,0x5c11d795,2025/07/08 16:27:31,2025/07/08 08:27:31,0x5bd84d6ae5e4a8539367a99e9422321813e94cda,0x000000000000000000000000000000000000dead,498.1505000000,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x3a56f6e604420ebc3fdf6b5499e6b0aae1c6acea5fa42a5925ad1e2aa0382816,0x5c11d795,2025/07/08 16:27:31,2025/07/08 08:27:31,0x5bd84d6ae5e4a8539367a99e9422321813e94cda,0x572e16965567223f0fbc2490c8056d7f266b81e6,8966.7090000000,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x538371b966d7586d9857af00a3e6987ba8b38b1a6b703efd6993181fc7c18f02,0x38ed1739,2025/07/08 16:28:06,2025/07/08 08:28:06,0x572e16965567223f0fbc2490c8056d7f266b81e6,0x5bd84d6ae5e4a8539367a99e9422321813e94cda,8299.0873028687,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xfe9b1b6c86b5c2fbe44da4d06e690ce6912d2005644b067488e6a2bd97e7d78e,0x38ed1739,2025/07/08 17:15:33,2025/07/08 09:15:33,0x572e16965567223f0fbc2490c8056d7f266b81e6,0xa853607b9501b6b4793abc10e40664ef9cb0d4bf,11369.1178870667,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xd53f61149b383dfcb66ef358ada5fed06b44086dd276a5fad0c33c708e299078,0xa9059cbb,2025/07/08 17:17:12,2025/07/08 09:17:12,0xa853607b9501b6b4793abc10e40664ef9cb0d4bf,0x7e3e62ed85420873136cb5eafb3a07c4d583ed3e,11369.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x1d5aec4cba388a106032ca10d1389b02af6de35ec266de2941b7624c96e18f02,0x5c11d795,2025/07/08 17:20:54,2025/07/08 09:20:54,0x7e3e62ed85420873136cb5eafb3a07c4d583ed3e,0x371203a3fefe17e6aac72fef07e400b59b739e93,568.4500000000,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x1d5aec4cba388a106032ca10d1389b02af6de35ec266de2941b7624c96e18f02,0x5c11d795,2025/07/08 17:20:54,2025/07/08 09:20:54,0x7e3e62ed85420873136cb5eafb3a07c4d583ed3e,0x000000000000000000000000000000000000dead,568.4500000000,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x1d5aec4cba388a106032ca10d1389b02af6de35ec266de2941b7624c96e18f02,0x5c11d795,2025/07/08 17:20:54,2025/07/08 09:20:54,0x7e3e62ed85420873136cb5eafb3a07c4d583ed3e,0x572e16965567223f0fbc2490c8056d7f266b81e6,10232.1000000000,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x7f806bd0c134f48536750b84bdbfa028b46e3a91def79945991a85e8562f4c09,0xbaa2abde,2025/07/08 19:35:46,2025/07/08 11:35:46,0x572e16965567223f0fbc2490c8056d7f266b81e6,0xa05d68826f592417085dcf3a1f70374ed4038793,907196.9194383986,SUCCESS,"removeLiquidity(address tokenA, address tokenB, uint256 liquidity, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)"
