tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x758fc112689cf4a499eebf9eed8e9bd2738195b55a01471c67bc4161c6f7c185,0x60806040,2025/07/07 18:17:34,2025/07/07 10:17:34,0x0000000000000000000000000000000000000000,0x9d4d7c9aad9b2c4b57705c82312ced50dd7f12ad,210000000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x9917dd28ebaa21fe3d9f79b8350ed48fe0007ed753f174172485032f45899428,0xe8e33700,2025/07/07 18:36:24,2025/07/07 10:36:24,0x9d4d7c9aad9b2c4b57705c82312ced50dd7f12ad,0x5d2814bd8f33cedd76f0ec4715acbf95966e56ab,20000000000.0000000000,SUCCESS,"addLiquidity(address tokenA, address tokenB, uint256 amountADesired, uint256 amountBDesired, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)"
0x5ad611814b2f14b12eb57bcc17b5543f21905baa7c76400cefc0eb11561a53a8,0x3593564c,2025/07/07 18:39:06,2025/07/07 10:39:06,0x5d2814bd8f33cedd76f0ec4715acbf95966e56ab,0x9d4d7c9aad9b2c4b57705c82312ced50dd7f12ad,1814048647.4198682308,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x9d80bde326a7bfae451515fff14cf798630f81cc09ee922184e2512151fe60b1,0x3593564c,2025/07/07 18:40:26,2025/07/07 10:40:26,0x5d2814bd8f33cedd76f0ec4715acbf95966e56ab,0x9d4d7c9aad9b2c4b57705c82312ced50dd7f12ad,1649510022.6595754623,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xa31e94fbb71590a9688dd71826e74b72b619d133d072beef81edce874c7301a0,0x3593564c,2025/07/07 18:42:20,2025/07/07 10:42:20,0x5d2814bd8f33cedd76f0ec4715acbf95966e56ab,0x9d4d7c9aad9b2c4b57705c82312ced50dd7f12ad,1488615497.6246449947,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x45af9fa762f562f8fc99183ffbab7910bef0eb744a9b93f6a1f97bd24f5a6eb4,0x3593564c,2025/07/07 18:44:39,2025/07/07 10:44:39,0x5d2814bd8f33cedd76f0ec4715acbf95966e56ab,0x9d4d7c9aad9b2c4b57705c82312ced50dd7f12ad,1367984166.5723555088,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xc1dd4f80cf7c668b0e3f6ae6e6835ee89ee607f434f3119c84623ab4445182fa,0x3593564c,2025/07/07 18:45:08,2025/07/07 10:45:08,0x5d2814bd8f33cedd76f0ec4715acbf95966e56ab,0x9d4d7c9aad9b2c4b57705c82312ced50dd7f12ad,1243364432.2901837826,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x3943bc69b56468c85f7c462f4f9541359c69f580a19e85cf2a959b0cac1f42cb,0x3593564c,2025/07/07 18:45:29,2025/07/07 10:45:29,0x5d2814bd8f33cedd76f0ec4715acbf95966e56ab,0x9d4d7c9aad9b2c4b57705c82312ced50dd7f12ad,1121644307.4457314014,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x856c23c497792d03d4169b0d5a114c93dfb3b5a76663d75a1f4fc9b4475ee653,0x3593564c,2025/07/07 18:46:57,2025/07/07 10:46:57,0x5d2814bd8f33cedd76f0ec4715acbf95966e56ab,0x9d4d7c9aad9b2c4b57705c82312ced50dd7f12ad,971512446.1951944828,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x9fe34cf29a084f0e7cf50d079a122b3b656237732025f244e944720a6ecedbf2,0x3593564c,2025/07/07 18:58:03,2025/07/07 10:58:03,0x5d2814bd8f33cedd76f0ec4715acbf95966e56ab,0x9d4d7c9aad9b2c4b57705c82312ced50dd7f12ad,936695817.2956179380,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x9f30d9b260719154086a8f2dfd3c1cf0681183ee00297cf7dcd1359d430542b5,0x3593564c,2025/07/07 19:08:47,2025/07/07 11:08:47,0x5d2814bd8f33cedd76f0ec4715acbf95966e56ab,0x9d4d7c9aad9b2c4b57705c82312ced50dd7f12ad,805589877.7283182144,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
