tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x5f6383345882d2e7bee68198f08ac045dd5af678b8e5e255717d383071d64306,0x60806040,2025/07/08 07:09:54,2025/07/07 23:09:54,0x0000000000000000000000000000000000000000,0x7fe9770033b5f4aaa6feb88bf742119aebe027fe,1000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x444aed7095518a8c6032b7be0d91ba3b8fa5c38c6663dfb6ae92de6610d578ca,0xf305d719,2025/07/08 07:10:00,2025/07/07 23:10:00,0x7fe9770033b5f4aaa6feb88bf742119aebe027fe,0x708c54cb2849a01b200c8e5cfec3211037b39c8d,1000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x4b4b50b44828b5d9df85eb0c28ae790b1bfeaf72702a67abaf269590a778f411,0x088890dc,2025/07/08 07:10:17,2025/07/07 23:10:17,0x708c54cb2849a01b200c8e5cfec3211037b39c8d,0x1f2d955cc70c8ae5f9e0656c51ce321d69a32873,1866.8209614206,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline, address referrer)"
0x470990e92aae759626a9ecf9f705f7e3405fb99180e50e6dcb26cd45289f7797,0x38ed1739,2025/07/08 07:10:48,2025/07/07 23:10:48,0x708c54cb2849a01b200c8e5cfec3211037b39c8d,0x3cd2ba370fafa917c1ffe8676f663b1f61d3b83d,3651.1387570598,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x69deecc61cf10903a987cb61777248932e1947aaffd0a5f19b203d24a1b3e886,0x5c11d795,2025/07/08 07:11:36,2025/07/07 23:11:36,0x3cd2ba370fafa917c1ffe8676f663b1f61d3b83d,0x708c54cb2849a01b200c8e5cfec3211037b39c8d,2147.7286806234,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x1b86ad72baf65631f84a95818650dd71dc38a53c8ee6984cfd3750ad9a0e739f,0xe5e8894b,2025/07/08 07:11:43,2025/07/07 23:11:43,0x708c54cb2849a01b200c8e5cfec3211037b39c8d,0xb300000b72deaeb607a12d5f54773d1c19c7028d,311.5392676564,SUCCESS,"proxySwapV2(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,uint256 minReturnAmt,bytes callData)"
0x1b86ad72baf65631f84a95818650dd71dc38a53c8ee6984cfd3750ad9a0e739f,0xe5e8894b,2025/07/08 07:11:43,2025/07/07 23:11:43,0xb300000b72deaeb607a12d5f54773d1c19c7028d,0x32e9218165cc1a3c7c52aa0c19f7fe862000d91c,311.5392676564,SUCCESS,"proxySwapV2(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,uint256 minReturnAmt,bytes callData)"
0xc51b523362010b93da843cb323bf4092758901236ee75e5f5ed871d7473f2f64,0x38ed1739,2025/07/08 07:13:12,2025/07/07 23:13:12,0x708c54cb2849a01b200c8e5cfec3211037b39c8d,0xaac0a7dfe1cdef71f3e4db255f42c1cbc6156c51,35773.5071418257,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x4c5eeb8c781c34321b7567b014b16508ea8a4070124894c2b7e107a7bdfd682c,0x38ed1739,2025/07/08 07:14:22,2025/07/07 23:14:22,0x708c54cb2849a01b200c8e5cfec3211037b39c8d,0xd40a5731d0840af23f7f3c7eb34a46172d336878,9160.1980930539,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x13021ca99ad650c80b2ad78ee6777c32f6ae84c65f979a2314ef7c10b303ad1b,0x5c11d795,2025/07/08 07:15:30,2025/07/07 23:15:30,0xd40a5731d0840af23f7f3c7eb34a46172d336878,0x708c54cb2849a01b200c8e5cfec3211037b39c8d,5388.3518194435,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
