tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xc3feed7967c7b008d8c420f72909f6de63e74b5b33d3996691d7df9d0e107612,0xa9059cbb,2025/07/08 09:51:18,2025/07/08 01:51:18,0x12cf3929d0916837f0a78aa69567171e4a47106b,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,10000000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x6706019fbb627481fa529c8e4267f3a722a44c82045b0b0a565e35e499f5cc7f,0xf305d719,2025/07/08 09:52:03,2025/07/08 01:52:03,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,0x9d5e8fa3d773312535130e552415e92df5d70f5e,10000000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0xfe9be2e57ddbe434dd49f41802adb774d533a64f340a7a61b347f047243c2fe5,0x7ff36ab5,2025/07/08 09:53:27,2025/07/08 01:53:27,0x9d5e8fa3d773312535130e552415e92df5d70f5e,0x41d91c20a61464c72b68f1b941d23ac39355609e,475056554.3517085314,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x8f67559a499fc058aa20c409661566737eea9c09601759331d98181fe32133b1,0x7ff36ab5,2025/07/08 09:55:02,2025/07/08 01:55:02,0x9d5e8fa3d773312535130e552415e92df5d70f5e,0x24815d90f2426c875db55a265e500e4130b63d96,321743857.5982301235,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe8209ba0508ca03a9a70984a5dc667a998d073edcad28f7b124d7b64a493cb13,0x7e7c8b25,2025/07/08 09:55:30,2025/07/08 01:55:30,0x9d5e8fa3d773312535130e552415e92df5d70f5e,0x2e2d39e4cb2f9696441a1f369698df9f95402f48,2352730.5342911598,SUCCESS,
0x8a6a98d5ecb4c5f954a2ad6414425ec417088cb885853c4fd646273bc1a0d785,0x7e7c8b25,2025/07/08 09:55:57,2025/07/08 01:55:57,0x9d5e8fa3d773312535130e552415e92df5d70f5e,0x2e2d39e4cb2f9696441a1f369698df9f95402f48,2351526.4188307002,SUCCESS,
0x12187956f6b646caabaca3cb7cc4ef50356ec9e7d5f63c0f736023816f22b01b,0x7ff36ab5,2025/07/08 09:56:37,2025/07/08 01:56:37,0x9d5e8fa3d773312535130e552415e92df5d70f5e,0x2f4d3e17b82f4cacaf76b8868d1ba59e62d79f41,262326411.1594645977,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x3374648d17b7fd4db56ace2ab53a50028bd5f3b2808f48d7cd9cd2efa4294fbe,0x7ff36ab5,2025/07/08 09:57:41,2025/07/08 01:57:41,0x9d5e8fa3d773312535130e552415e92df5d70f5e,0x562e9ece3c2941ddc2934c445c31abf212810cfa,88308094.2743818164,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x4cac07982fd818ddb5399927dcebfd2ace35bffc5abe46553b70d3e6172f0b62,0x7ff36ab5,2025/07/08 09:59:15,2025/07/08 01:59:15,0x9d5e8fa3d773312535130e552415e92df5d70f5e,0xfea61866bf6a646427f28f6a2d4bb91d2b8d2d4c,37313371.8566607609,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x1eb40dd9d0d2f613e2a91e04842a40f93b2f8ae1ac67674876955fa9ec2433f8,0x7ff36ab5,2025/07/08 10:00:37,2025/07/08 02:00:37,0x9d5e8fa3d773312535130e552415e92df5d70f5e,0xe948af1c4eb6f7c3b65d26a6c7b353cca5c7905a,152141717.5478853583,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xb08625e1bd7d29cd49ab8f68f8fbfc7195aa0c7568a0ed40abfaea5094781d85,0x18cbafe5,2025/07/08 10:03:28,2025/07/08 02:03:28,0x24815d90f2426c875db55a265e500e4130b63d96,0x9d5e8fa3d773312535130e552415e92df5d70f5e,321743857.5982301235,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe548dd3204be6c398057d935c1d1292eb5569e69c615fd39cd8faafd437ab663,0x7ff36ab5,2025/07/08 10:07:38,2025/07/08 02:07:38,0x9d5e8fa3d773312535130e552415e92df5d70f5e,0xb7d9666844133b26e991ccd5fef74e576a21148f,219629802.9510191679,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x3a9999dd39eb063a56ef80802c25b811f6feb5f2313d10df13ad0316cc2e2f0c,0x7ff36ab5,2025/07/08 10:09:01,2025/07/08 02:09:01,0x9d5e8fa3d773312535130e552415e92df5d70f5e,0x1de4986946f0d8787340d9c97e34aff314ead72b,767900356.5600843430,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x78b4dfcd29edb775e8bf55fe3bef79760fdfeb18595915d6cb78c12fcfdd49fc,0x18cbafe5,2025/07/08 10:12:51,2025/07/08 02:12:51,0xe948af1c4eb6f7c3b65d26a6c7b353cca5c7905a,0x9d5e8fa3d773312535130e552415e92df5d70f5e,152141717.5478853583,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
