tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xcd063b8a77c6027a57e32a2466ca1cf5192910b844329318347a67c07f9720d9,0xbf93b9bf,2025/07/06 00:43:01,2025/07/05 16:43:01,0x0000000000000000000000000000000000000000,0xf1fd44fd4f4360c1c92f736f1472c1bbdd95460c,100000000000000005366162204393472.0000000000,SUCCESS,
0xcd063b8a77c6027a57e32a2466ca1cf5192910b844329318347a67c07f9720d9,0xbf93b9bf,2025/07/06 00:43:01,2025/07/05 16:43:01,0xf1fd44fd4f4360c1c92f736f1472c1bbdd95460c,0xb44ea272f317e379567ce54acd94a2891597024e,1000000000000000019884624838656.0000000000,SUCCESS,
0xcd063b8a77c6027a57e32a2466ca1cf5192910b844329318347a67c07f9720d9,0xbf93b9bf,2025/07/06 00:43:01,2025/07/05 16:43:01,0xf1fd44fd4f4360c1c92f736f1472c1bbdd95460c,0x3da66d8a968cf6dad134df20923e6fffb42084af,99000000000000002250052835737600.0000000000,SUCCESS,
0x57af1884ada5c156b0bc4299d28963a177739cc97eb6da78fe0e6a9ec6f47eed,0xa9059cbb,2025/07/06 00:48:47,2025/07/05 16:48:47,0x3da66d8a968cf6dad134df20923e6fffb42084af,0x000000000000000000000000000000000000dead,90000000000000010233865536798720.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x422181470bda41d1299d33d59772a95a619532bf7d686ccbb2a38b8deb2bdd91,0xa9059cbb,2025/07/06 00:49:51,2025/07/05 16:49:51,0x3da66d8a968cf6dad134df20923e6fffb42084af,0x400b450b9bd78d3b5c4b204fc3f78fcfeebf7456,1000000000000000019884624838656.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x7687dccfa459f650b2488604934fe9fb22c21c1dbc10650ee693528a5d5ad16e,0xa9059cbb,2025/07/06 00:52:16,2025/07/05 16:52:16,0x3da66d8a968cf6dad134df20923e6fffb42084af,0x73d8bd54f7cf5fab43fe4ef40a62d390644946db,2000000000000000039769249677312.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0xbd13237d4bcab87da0d576629c2c67c9da88214abf68099a6218b8bbd43e373c,0xa9059cbb,2025/07/06 00:52:49,2025/07/05 16:52:49,0x3da66d8a968cf6dad134df20923e6fffb42084af,0x0d0707963952f2fba59dd06f2b425ace40b492fe,2000000000000000039769249677312.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x59f28fc292b718d86ca2076cb28af40d160c56f11bc189624fcad733e56f16a4,0xa9059cbb,2025/07/06 00:54:39,2025/07/05 16:54:39,0x3da66d8a968cf6dad134df20923e6fffb42084af,0x2d6c39af88a8c7f5de6d74b30afeeec5663e7547,1000000000000000019884624838656.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0xc93ba9f81f3425f5cfdd4f47064091ab7829c25f1f2eff05ef59abe355afee14,0xa9059cbb,2025/07/06 00:55:51,2025/07/05 16:55:51,0x3da66d8a968cf6dad134df20923e6fffb42084af,0x400b450b9bd78d3b5c4b204fc3f78fcfeebf7456,1000000000000000019884624838656.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x89e24fc24e3d6bd19f439e7d7d5456be03b55b2dedfa5920caf3dfe096093c26,0xa9059cbb,2025/07/06 00:57:00,2025/07/05 16:57:00,0x3da66d8a968cf6dad134df20923e6fffb42084af,0x28816c4c4792467390c90e5b426f198570e29307,1000000000000000019884624838656.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0xa9589ce4f545824ef539257737d66effa0892f68b22ae7270304c85f291bc857,0xf305d719,2025/07/06 01:00:38,2025/07/05 17:00:38,0x3da66d8a968cf6dad134df20923e6fffb42084af,0xe563062bb050961dc8e121003af83e41051f293c,1000000000000000019884624838656.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
