tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x917b346c3b029922129b63494c18c4e7cb54196193f6a526e6aac4f42e1b6084,0x60806040,2025/07/07 16:24:02,2025/07/07 08:24:02,0x0000000000000000000000000000000000000000,0x8a7ef10bdb476dea057d1c67addd1654887b388c,1000000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x04c66c8bf7a53c9a1e035fe914edcd0f482a2437c6fc4baabce71a6779037b1b,0xf305d719,2025/07/08 02:55:27,2025/07/07 18:55:27,0x8a7ef10bdb476dea057d1c67addd1654887b388c,0x8dd99f87d1740e14ed782cdb0a10a9cf9d48e574,1000000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x6f003e5bebbf2e1352126f66e48aacce95084f3115d5d0f1380b0cd8c08a4109,0xb6f9de95,2025/07/08 02:55:33,2025/07/07 18:55:33,0x8dd99f87d1740e14ed782cdb0a10a9cf9d48e574,0xdb484c87f362514bdf1742ca425cd99911cdf6d4,27520591.0784306265,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x96ccfec74b595784383f76631aeada7c1ae6ce7c8e1cb2db37dd11e013bdfb72,0xb6f9de95,2025/07/08 02:55:33,2025/07/07 18:55:33,0x8dd99f87d1740e14ed782cdb0a10a9cf9d48e574,0xed2c1a87a01d3db36137cf17fce5fe952fdf9412,16230953.4999627899,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x9f7d81a86ec0233237e2d4bd7194a9f16fa288c27985ffc6e925ad9fe884336b,0xb6f9de95,2025/07/08 02:55:33,2025/07/07 18:55:33,0x8dd99f87d1740e14ed782cdb0a10a9cf9d48e574,0x356e3725d442a649fdbbb8f089f40b5ab5c78113,26637907.6500336528,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x8c48c0f83f0f6c31ae49d005499aa0ca502e8519064ad4a2ebaa29839a355967,0xb6f9de95,2025/07/08 02:55:33,2025/07/07 18:55:33,0x8dd99f87d1740e14ed782cdb0a10a9cf9d48e574,0x3e69a9f28ff693df3f135083d43325a4c83958fe,18101004.5107332952,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x83ce41fafc12975da9eca49a34e0ade631f7c423c695c762a707487a81990655,0xb6f9de95,2025/07/08 02:55:33,2025/07/07 18:55:33,0x8dd99f87d1740e14ed782cdb0a10a9cf9d48e574,0x70c590e056cb3a4c0c63d6c0fc611ad22b6c9e95,16705275.3543310538,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x39d925eaf66f632a2a73035ec4f0f00e8406d6768758c4485752788b1401713f,0xb6f9de95,2025/07/08 02:55:33,2025/07/07 18:55:33,0x8dd99f87d1740e14ed782cdb0a10a9cf9d48e574,0x257b2355e096515b521aa73e91dd944a567cdc58,15146212.4777414240,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xd001a1dc634143467bbc3a1cd9425664878d301acdf61c56467d8d73f8121105,0xb6f9de95,2025/07/08 02:55:33,2025/07/07 18:55:33,0x8dd99f87d1740e14ed782cdb0a10a9cf9d48e574,0xaac4e61eea698cb7fea883f5cdcc39575c6b8017,14106511.8117960412,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x5ac0f0945593ea1a3012452e4342e786a5af9a4941a8e54861f7a6e046a2649f,0xb6f9de95,2025/07/08 02:55:33,2025/07/07 18:55:33,0x8dd99f87d1740e14ed782cdb0a10a9cf9d48e574,0x230e3e4f3f4ca580fe7b0775b15f9065a7758089,14519116.1776187420,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
