tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x3649bd734fdb0a100b0ac3796595b37fd03cc8e0c49b0eb4fcbfd5a374e5a645,0xa9059cbb,2025/07/08 06:10:06,2025/07/07 22:10:06,0xa5e2103a61cd5b772d514ec81264203f71193e69,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,10000000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x5ce7921efe94cb1fe914899ba002a4f70cd39b62d4737ca87bc682b53065659b,0xf305d719,2025/07/08 06:10:38,2025/07/07 22:10:38,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,10000000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x40680ec68ad085b08bffdb865ae7f8c3510f3b1bccbc765f457607604ff40b4a,0xb6f9de95,2025/07/08 06:10:45,2025/07/07 22:10:45,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,0xf973a80e948b1c183111401ac2bffed80f03d7fe,3323894.8049773402,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x5a6e945babf85604f61206698b14d08c45bfa16eececd0f481d5c4d295f6566f,0x088890dc,2025/07/08 06:11:09,2025/07/07 22:11:09,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,0x1f2d955cc70c8ae5f9e0656c51ce321d69a32873,996736.7714097800,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline, address referrer)"
0x0da3cbf67cc20196e3c13df2765702ba79d9e699ea2457fdefc14bdad6363789,0x5b9e9006,2025/07/08 06:11:43,2025/07/07 22:11:43,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,0x564c1a13d4991f0128db4f83134204632608a09b,131488.4300002000,SUCCESS,"swapV2ExactIn(address token_in,address token_out,uint256 amount_in,uint256 amount_out_min,address pool_address)"
0xc066cd0670f56d21f170f84c988fdb3ec6a9b520065273a327fa2f9b4903b993,0x7ff36ab5,2025/07/08 06:12:13,2025/07/07 22:12:13,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,0xe7edc5d3f9416c296fc5bc8e8094830cfd3f19f8,84653271.6444308758,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x8e809bc9d69adaf17021e171be1cc44d80a4e5f12d6bda8b0a975f58f2666861,0x7ff36ab5,2025/07/08 06:13:25,2025/07/07 22:13:25,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,0xfea61866bf6a646427f28f6a2d4bb91d2b8d2d4c,4504942.9462073902,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe9b3c4c027528714516f44c20ea29dad3a6c6a7ca90c785ae45e56c568d4521f,0x18cbafe5,2025/07/08 06:14:07,2025/07/07 22:14:07,0xe7edc5d3f9416c296fc5bc8e8094830cfd3f19f8,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,84653271.6444308758,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xdd8757480eaf8d205ec56f507bb766a1c3eba06d02c8b3b1181d1ac9abe4a533,0x7ff36ab5,2025/07/08 06:16:38,2025/07/07 22:16:38,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,0xe49fbb8ef0728cd8ae3be5fea655ada3b8170c98,40985510.3803836629,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xed93e5a55caac71b15549831ea084f33978da3a713589bd09b31669cb2ce808c,0x18cbafe5,2025/07/08 06:19:05,2025/07/07 22:19:05,0xfea61866bf6a646427f28f6a2d4bb91d2b8d2d4c,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,4504942.9462073902,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x8871622f1be3eccb22a11ec274ddf1ba689b35a561847b2adfeb35665261aecd,0x7ff36ab5,2025/07/08 06:21:49,2025/07/07 22:21:49,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,0xc80f68042099aa38b561a3f0d064c4e1834f9345,65460049.8100906685,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x0bac9875f5b47e756802afb589c4c6b5daa656d5d080f6ba2bc0cf1fd30c2f8d,0x7ff36ab5,2025/07/08 06:22:23,2025/07/07 22:22:23,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,0x764ad4f30a5d124fa53a7cbb33c82e687450939b,109326345.2083286792,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x259675f3222f5557aa797157d824ef41bf578ed0e6cf0a3553f350e32e4226b3,0x18cbafe5,2025/07/08 06:23:15,2025/07/07 22:23:15,0xe49fbb8ef0728cd8ae3be5fea655ada3b8170c98,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,40985510.3803836629,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xd80d49b35621871f5cb5be48b777d140090bc7876a05833a48fe87d15800948f,0x7ff36ab5,2025/07/08 06:26:30,2025/07/07 22:26:30,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,0xc4a32e4444da8bf4b356dee1af3468464c94fb4b,20478932.1092988104,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe72513de4576a063b123cb338ba0168b5f43a327edff2e740c8634c730bfc1b6,0x18cbafe5,2025/07/08 06:27:27,2025/07/07 22:27:27,0xc80f68042099aa38b561a3f0d064c4e1834f9345,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,65460049.8100906685,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xc95c354427af027635a93133d17fa2a90c3ef38172d0ea39158a1cb0e493fcb4,0x7ff36ab5,2025/07/08 06:30:25,2025/07/07 22:30:25,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,0xda5eeef71ce9892b79b0215e771153f84930a653,6467536.0390097797,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xd30020b8a75ecba38d28e26c9651b0d5737859c23087a8c88a2e5bfd97bf5ad8,0x7ff36ab5,2025/07/08 06:31:00,2025/07/07 22:31:00,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,0xc690a49aac9f39ccd97b4b7d89d3e81bcd1bf791,36062012.0252119005,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe181d18fd629944f86bad9a3862d00ae9009e6bd22db9585fa4ab2c8063f1d8f,0x7ff36ab5,2025/07/08 06:33:13,2025/07/07 22:33:13,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,0x2f4d3e17b82f4cacaf76b8868d1ba59e62d79f41,31975735.5706303082,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x8fe4254f7d718df0f3dbd4a16615bf325c5566a0deda3c1d6442004d75c2354d,0x18cbafe5,2025/07/08 06:34:40,2025/07/07 22:34:40,0xda5eeef71ce9892b79b0215e771153f84930a653,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,6467536.0390097797,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xaf744e2526be8748b81cbff27d2be4692aebe42c6e97fb92259647ba21364c85,0x7ff36ab5,2025/07/08 06:35:53,2025/07/07 22:35:53,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,0xb7d9666844133b26e991ccd5fef74e576a21148f,368555794.3826090693,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xa194878c9ee81dbd98cc471a4ae6bd0d65f72baae825e0d14990c479ebad74dd,0x18cbafe5,2025/07/08 06:37:28,2025/07/07 22:37:28,0xc690a49aac9f39ccd97b4b7d89d3e81bcd1bf791,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,36062012.0252119005,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xc1813e963095a997477d7f0126a1ce0a4c2198553343747c7e215f11af2175c5,0x7ff36ab5,2025/07/08 06:38:49,2025/07/07 22:38:49,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,0xfea61866bf6a646427f28f6a2d4bb91d2b8d2d4c,88507850.4051723480,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x9b69280b2c22e2b9a2c7f93a7913f3c33a25c85022a57a4b1d8873133a863286,0x7ff36ab5,2025/07/08 06:40:02,2025/07/07 22:40:02,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,0xec9c81ad45a5508c25439eb60bd19ccb18665daf,283426507.0846964717,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xdec2b48920eba62cd887b6f40554cb45b91f4b6e2b57661dd409bca998d13205,0x7ff36ab5,2025/07/08 06:41:49,2025/07/07 22:41:49,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,0xee651ff193635f0a9b5300175d8e9ba9b207f6d9,91956054.3541468978,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x1961b32569f07cd631f4a5f928ef901eff9c7385b76099cfddbe0ff7da52fd43,0x7ff36ab5,2025/07/08 06:42:54,2025/07/07 22:42:54,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,0x41d91c20a61464c72b68f1b941d23ac39355609e,24172030.8020730503,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xb0fe3c5bd7b20452d25dbce4601e75a9925cb46838b74eede9dabbdccddba961,0x7ff36ab5,2025/07/08 06:44:14,2025/07/07 22:44:14,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,0xe49fbb8ef0728cd8ae3be5fea655ada3b8170c98,45305557.5081871673,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x57f9b588896fe54fe1ae51da45bab8e4a99d04573e77e57cb84ecad1cf4a6a8b,0x7ff36ab5,2025/07/08 06:46:01,2025/07/07 22:46:01,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,0xc4a32e4444da8bf4b356dee1af3468464c94fb4b,36968049.3224971667,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x1053a2f07ea4326e5cc9954701c0308f8b526e4c7af6e111188650e1ac72e43b,0xa9059cbb,2025/07/08 06:46:48,2025/07/07 22:46:48,0xa5e2103a61cd5b772d514ec81264203f71193e69,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,0.0000000100,SUCCESS,"transfer(address dst, uint256 amount)"
0xcd26155ce11cf169c28bc23cab15b6a2bac7f652d32a879029dfd6ce2061e816,0x18cbafe5,2025/07/08 06:50:05,2025/07/07 22:50:05,0xa5e2103a61cd5b772d514ec81264203f71193e69,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,1000000000000000.0000000000,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x268213579e323fc8b15bbc08272190efe969c46dd9fae4dc3f8b5867bee8a1dd,0x4729d25e,2025/07/08 06:50:06,2025/07/07 22:50:06,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,0xf9611e034fdcda4d398fd98c280a0dd824c2dba7,199400863108080.9687500000,SUCCESS,
0x268213579e323fc8b15bbc08272190efe969c46dd9fae4dc3f8b5867bee8a1dd,0x4729d25e,2025/07/08 06:50:06,2025/07/07 22:50:06,0xf9611e034fdcda4d398fd98c280a0dd824c2dba7,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,159960674216746.3750000000,SUCCESS,
0x1c818712ae65dabecf2bcbacbfa562eb922cff260da61961ef69cfdeed67d504,0xb6f9de95,2025/07/08 06:50:11,2025/07/07 22:50:11,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,0xb21a7d6b07ad608202c5c057031a034bf4166b38,40680428802261.6328125000,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x06285318f65cafe593348bb114dd926db4925e678ccdeb6021ee2824ecd59c8b,0x7ff36ab5,2025/07/08 06:51:48,2025/07/07 22:51:48,0x485ca0191f5640a65e9e8cde464c0b07a4c90bb7,0x29a4b61a493ca34ab367594594a730fddd131bfa,37370958010307.7343750000,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
