tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x405a6f6680f0943ff2f382ec4869604ed56a972395521caa65ad4e267cb1e12d,0x60806040,2025/07/08 04:45:15,2025/07/07 20:45:15,0x0000000000000000000000000000000000000000,0xd2372c5ecd2a12139fbdfd4aace865157165f6a3,1000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x2c8992ad467ff05cb38ff106ac3f8c30f26d693c792172be2cbf75f206e3c3c8,0xf305d719,2025/07/08 04:45:24,2025/07/07 20:45:24,0xd2372c5ecd2a12139fbdfd4aace865157165f6a3,0x6d284e844620f6ef7a583528b9d115b35b0165ee,1000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x66712702175e359a61a9ff27e34f02b1cb9803aabc7d46d12e07a134a3c04f21,0x088890dc,2025/07/08 04:46:09,2025/07/07 20:46:09,0x6d284e844620f6ef7a583528b9d115b35b0165ee,0x1f2d955cc70c8ae5f9e0656c51ce321d69a32873,1866.8209614206,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline, address referrer)"
0xb6c984f33e86ed4cf9859ec797499f61566ad1bd8d66561ac5fb44e7b1ac7171,0x38ed1739,2025/07/08 04:46:24,2025/07/07 20:46:24,0x6d284e844620f6ef7a583528b9d115b35b0165ee,0x1bad23f2831f4557837ac8032a2a84109142c375,26765.2170453327,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xa24f6fda0155901bdf8473f018e3aeae109c8b0f22001cea844dde6203c1b5d4,0x38ed1739,2025/07/08 04:46:38,2025/07/07 20:46:38,0x6d284e844620f6ef7a583528b9d115b35b0165ee,0xdf47a9d06f98b3caf309ea6677d187ac8b7b1953,4496.5086867384,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x42786798610beecbd5f08a7afd4b8ba12c9d2e36db6539c5ce36b9f8042fbe7c,0x38ed1739,2025/07/08 04:46:48,2025/07/07 20:46:48,0x6d284e844620f6ef7a583528b9d115b35b0165ee,0xd40a5731d0840af23f7f3c7eb34a46172d336878,12255.5741113321,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x7cf0a391b6e3c90b2c6a9133bef6358036ee2ef5370b56ed0aaa26c5ed135164,0xbaa2abde,2025/07/08 04:46:52,2025/07/07 20:46:52,0x6d284e844620f6ef7a583528b9d115b35b0165ee,0xd2372c5ecd2a12139fbdfd4aace865157165f6a3,954598.2762960353,SUCCESS,"removeLiquidity(address tokenA, address tokenB, uint256 liquidity, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)"
0x391f36db9bcd4ed321947d4c78734edbd11ad267da776455eefa211dea86ed78,0x38ed1739,2025/07/08 04:47:20,2025/07/07 20:47:20,0x1bad23f2831f4557837ac8032a2a84109142c375,0x6d284e844620f6ef7a583528b9d115b35b0165ee,8029.5651135998,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x06b612404ca2837c47d8df2914c737c7265d947e306e496b27146a3aad3f97f7,0xb6f9de95,2025/07/08 04:47:24,2025/07/07 20:47:24,0x6d284e844620f6ef7a583528b9d115b35b0165ee,0xb21a7d6b07ad608202c5c057031a034bf4166b38,7981.4599890042,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x6a48b33ddb110896805507f6d37023ccc8ecefe8b6d4c4bf35d02d3505ddd56f,0x7ff36ab5,2025/07/08 04:48:32,2025/07/07 20:48:32,0x6d284e844620f6ef7a583528b9d115b35b0165ee,0x29a4b61a493ca34ab367594594a730fddd131bfa,46.3666132192,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x42a5e1ed3eb04660cb08c1ffe7b9cf96dc62d0a4de853f83523fa94e8342ce6d,0x181a8b99,2025/07/08 04:48:56,2025/07/07 20:48:56,0x6d284e844620f6ef7a583528b9d115b35b0165ee,0x426603bac5e0ea73fd13aecad7a80c9f963f6eac,10.0811460261,SUCCESS,
0x915fff03b966aa5ba829f09d7f7f7710b085e8bcb52be04fc8f634d8c34b1db2,0xcce04763,2025/07/08 04:51:39,2025/07/07 20:51:39,0x6d284e844620f6ef7a583528b9d115b35b0165ee,0x18e31a59caeae97fa9a30a20df3f72a130147752,2.3331402697,SUCCESS,
