tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xb1dde38c3a81d4a05f79e28cc4dbd4a5308b290ad76edd6176652b95da736d63,0xa9059cbb,2025/07/08 09:48:07,2025/07/08 01:48:07,0xd184837be9ff878870c3a94d9f2427964d188213,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,1000000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x867490c03b3302e235d9dd9d3a816b6bb3709f70897a446597ab2304d68cf6d8,0xf305d719,2025/07/08 09:48:19,2025/07/08 01:48:19,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,0x52235c6afe65bf79b1c4f5e0c49c83fb043a8aaf,1000000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0xe5835cfa260fccb3a3a925777d7e7eddcbd3ccdd880fee1c47b335cd7d547922,0x7ff36ab5,2025/07/08 09:50:49,2025/07/08 01:50:49,0x52235c6afe65bf79b1c4f5e0c49c83fb043a8aaf,0xb2e01592574723c9b2d6542ea0a089459b1a0bdb,5620728.8302867999,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe2d55683763a016040d90eb4e1ffcb82320aa2f2ab8f47fe5a66801da0e6d6e3,0xe5e8894b,2025/07/08 09:51:50,2025/07/08 01:51:50,0x52235c6afe65bf79b1c4f5e0c49c83fb043a8aaf,0xb300000b72deaeb607a12d5f54773d1c19c7028d,190648.9318514100,SUCCESS,"proxySwapV2(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,uint256 minReturnAmt,bytes callData)"
0xe2d55683763a016040d90eb4e1ffcb82320aa2f2ab8f47fe5a66801da0e6d6e3,0xe5e8894b,2025/07/08 09:51:50,2025/07/08 01:51:50,0xb300000b72deaeb607a12d5f54773d1c19c7028d,0x8d25ce3a3c86fcd1635005373c807537d6e79f26,190648.9318514100,SUCCESS,"proxySwapV2(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,uint256 minReturnAmt,bytes callData)"
0x54d3213c459e963f215bb1f85c448ace7eac29dcd16d6339fd5804f02f43fd2a,0x7ff36ab5,2025/07/08 09:52:25,2025/07/08 01:52:25,0x52235c6afe65bf79b1c4f5e0c49c83fb043a8aaf,0xee651ff193635f0a9b5300175d8e9ba9b207f6d9,11049635.3830489907,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xcd25b563c41c499f9450dc1194d0b51d1d071512ee3367ae45ce05920cdc252f,0x7ff36ab5,2025/07/08 09:53:27,2025/07/08 01:53:27,0x52235c6afe65bf79b1c4f5e0c49c83fb043a8aaf,0xe7edc5d3f9416c296fc5bc8e8094830cfd3f19f8,1604219.6669755699,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xafb8b0f033305f168a8a0f4eb1c11b32f079a58e1269d68fe421a47210335b1c,0x7ff36ab5,2025/07/08 09:55:02,2025/07/08 01:55:02,0x52235c6afe65bf79b1c4f5e0c49c83fb043a8aaf,0xec9c81ad45a5508c25439eb60bd19ccb18665daf,60138628.6743487567,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe1c8bd6c5e1b8d053e3227aef8e5bb0977c5724588ade65ba4d360c8d03dd9c2,0x7ff36ab5,2025/07/08 09:56:13,2025/07/08 01:56:13,0x52235c6afe65bf79b1c4f5e0c49c83fb043a8aaf,0xc80f68042099aa38b561a3f0d064c4e1834f9345,389307.7869533700,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xb86558c65f65f235123e563beef548e26af87d3f90c6e66c1157d829ad3f9925,0x7ff36ab5,2025/07/08 09:56:44,2025/07/08 01:56:44,0x52235c6afe65bf79b1c4f5e0c49c83fb043a8aaf,0x1de4986946f0d8787340d9c97e34aff314ead72b,1239076.1932763001,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
