tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x8c8c66615bcfd7b479039cfb5eb15db856d5371e81f7913504bc6174ecaf35fe,0xbf93b9bf,2025/07/07 20:26:29,2025/07/07 12:26:29,0x0000000000000000000000000000000000000000,0xf1fd44fd4f4360c1c92f736f1472c1bbdd95460c,999999999999999983222784.0000000000,SUCCESS,
0x8c8c66615bcfd7b479039cfb5eb15db856d5371e81f7913504bc6174ecaf35fe,0xbf93b9bf,2025/07/07 20:26:29,2025/07/07 12:26:29,0xf1fd44fd4f4360c1c92f736f1472c1bbdd95460c,0xb44ea272f317e379567ce54acd94a2891597024e,10000000000000000000000.0000000000,SUCCESS,
0x8c8c66615bcfd7b479039cfb5eb15db856d5371e81f7913504bc6174ecaf35fe,0xbf93b9bf,2025/07/07 20:26:29,2025/07/07 12:26:29,0xf1fd44fd4f4360c1c92f736f1472c1bbdd95460c,0x0ee039ee575871dba2c3d4a78df7bd774b89b25d,990000000000000020971520.0000000000,SUCCESS,
0x1b937ece8bcbc41fea927d3ee7bc03cede5c0a48ca311d3de0cf367f5dbee910,0xa9059cbb,2025/07/07 20:27:29,2025/07/07 12:27:29,0x0ee039ee575871dba2c3d4a78df7bd774b89b25d,0x000000000000000000000000000000000000dead,789999999999999970639872.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0xf3aa391680ea5f903322029465f1638020fbb1348daa82545005dc9853e23373,0xf305d719,2025/07/07 20:49:40,2025/07/07 12:49:40,0x0ee039ee575871dba2c3d4a78df7bd774b89b25d,0x35b36622e44e5343718d5e9755fc972ac24955ee,199999999999999983222784.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0xc8039bb561f8a1fd4a07688202c852b3fb439c7cb5dfc7d85b1a65d59aafb252,0x3593564c,2025/07/07 20:50:53,2025/07/07 12:50:53,0x35b36622e44e5343718d5e9755fc972ac24955ee,0xb7a5402633e44eb7ac8b5939c91033712b6107a9,3911956468454336233472.0000000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xec57d5e396073091f1561f78647c6ed7db997316b9f29f7fa4425cb6161a6d45,0x3593564c,2025/07/07 20:51:36,2025/07/07 12:51:36,0x35b36622e44e5343718d5e9755fc972ac24955ee,0xd6e29f095969cce4d2ba913be2520977ef5a2b3a,2811937770939881619456.0000000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x163b4b58d9fb78f63a40dc6dc7279fc48f390d42e21092eaf4966f3050bdb0de,0x3593564c,2025/07/07 20:53:19,2025/07/07 12:53:19,0x35b36622e44e5343718d5e9755fc972ac24955ee,0x0e679c373a882de1d007330b344fe5648f54d22b,911026096158478958592.0000000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x47478f27b261e219000c8385451ef453ca1976a365b915e13e940a86f38634d5,0x3593564c,2025/07/07 21:17:02,2025/07/07 13:17:02,0x35b36622e44e5343718d5e9755fc972ac24955ee,0xe1a201af06858a94e8c1b962a2b18b1f166fd2cb,12911605576901463113728.0000000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x184e83f70d12bb751b8b3f461997edb3e4ccfd244ddae51c1304a2137df8f8e7,0x02751cec,2025/07/07 21:57:38,2025/07/07 13:57:38,0x35b36622e44e5343718d5e9755fc972ac24955ee,0x10ed43c718714eb63d5aa57b78b54704e256024e,179445866306055239106560.0000000000,SUCCESS,"removeLiquidityETH(address token, uint256 liquidity, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x184e83f70d12bb751b8b3f461997edb3e4ccfd244ddae51c1304a2137df8f8e7,0x02751cec,2025/07/07 21:57:38,2025/07/07 13:57:38,0x10ed43c718714eb63d5aa57b78b54704e256024e,0x0ee039ee575871dba2c3d4a78df7bd774b89b25d,179445866306055239106560.0000000000,SUCCESS,"removeLiquidityETH(address token, uint256 liquidity, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x225867ae518d99ce0ab3248a02942183c96441329cd7666452a69acdd6b81bac,0x181a8b99,2025/07/07 22:00:16,2025/07/07 14:00:16,0x35b36622e44e5343718d5e9755fc972ac24955ee,0x426603bac5e0ea73fd13aecad7a80c9f963f6eac,3799129930843769344.0000000000,SUCCESS,
0x5ca08af4be11341417433c92f2f42fcf65bacf36ae498926becb0e73b2a0b48b,0xcce04763,2025/07/07 22:08:06,2025/07/07 14:08:06,0x35b36622e44e5343718d5e9755fc972ac24955ee,0x18e31a59caeae97fa9a30a20df3f72a130147752,1629944911338049024.0000000000,SUCCESS,
0x70c0b039949d9d97945e29758ac22c6adb6359b210adcfad82f1dab0df2c07ae,0x2213bc0b,2025/07/08 07:02:54,2025/07/07 23:02:54,0x35b36622e44e5343718d5e9755fc972ac24955ee,0x779a74436eda060911b2c4f209d34ea155f3df09,2156235559915174656.0000000000,SUCCESS,
0x70c0b039949d9d97945e29758ac22c6adb6359b210adcfad82f1dab0df2c07ae,0x2213bc0b,2025/07/08 07:02:54,2025/07/07 23:02:54,0x779a74436eda060911b2c4f209d34ea155f3df09,0x0e679c373a882de1d007330b344fe5648f54d22b,2156235559915174656.0000000000,SUCCESS,
0xe716d84880be71760ea4fb3567ce0cfc1652823251833e096fbbcb24c8197bf9,0xcce04763,2025/07/08 07:04:33,2025/07/07 23:04:33,0x18e31a59caeae97fa9a30a20df3f72a130147752,0x35b36622e44e5343718d5e9755fc972ac24955ee,1385453174637341696.0000000000,SUCCESS,
0x3cff009e5b27cba570d9629c51056e8bf442edbaff542d507dd9a39b020ef924,0xb6f9de95,2025/07/08 07:04:39,2025/07/07 23:04:39,0x35b36622e44e5343718d5e9755fc972ac24955ee,0xb21a7d6b07ad608202c5c057031a034bf4166b38,928855580180178560.0000000000,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x9913f1bccc027cd594ede665fc7061704c336dba85d29d7e6598dcc18a060ee9,0x181a8b99,2025/07/08 07:08:00,2025/07/07 23:08:00,0x35b36622e44e5343718d5e9755fc972ac24955ee,0x426603bac5e0ea73fd13aecad7a80c9f963f6eac,68855342630556200.0000000000,SUCCESS,
