tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xe66203d37c050350b8ebfc381d60cd1347ea74ba6ce702b4eef451bcf9cd7c01,0x60806040,2025/07/08 18:24:42,2025/07/08 10:24:42,0x0000000000000000000000000000000000000000,0x1c85c7d987ca6c31a9f84d005b8a6686598a58bd,4700000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x06b65d99c7bce19f3b7c033300fbcda2723c098e4b076dbf05e599d14b46a77d,0xf305d719,2025/07/08 18:25:04,2025/07/08 10:25:04,0x1c85c7d987ca6c31a9f84d005b8a6686598a58bd,0x3870633047047a81ce50ce879047c852754a2437,4700000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x1e7b73be7f7c7823144ef57c4c6fb402025179348ea7c8f13899188d7161ca70,0x7ff36ab5,2025/07/08 18:25:27,2025/07/08 10:25:27,0x3870633047047a81ce50ce879047c852754a2437,0xfbc84d40a37e43fa7d002d5c0029a95b6c48f50c,27669540.9783263505,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xd776789980c92625730a22a1db878c1b3f600a918b232b021d971935e7ceb454,0x7ff36ab5,2025/07/08 18:26:55,2025/07/08 10:26:55,0x3870633047047a81ce50ce879047c852754a2437,0xc85e26a15afed3cd8d2e8f6e93cf90ad273c5b9a,57514493.2968249619,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xb2ae4d4a40efaca136bf81a38fb2d7723ee5cc2528a1be148322e25e466383ea,0x7ff36ab5,2025/07/08 18:27:55,2025/07/08 10:27:55,0x3870633047047a81ce50ce879047c852754a2437,0x155384f5c0c2dc50f064d8f0ce5c4e44a0d9c3a8,38918514.3234936893,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x6eacc154f4b68ca1e7e1e57af3fdadbcec4e2647014ece3f2d222c50dbe73a78,0x7ff36ab5,2025/07/08 18:37:13,2025/07/08 10:37:13,0x3870633047047a81ce50ce879047c852754a2437,0x11201a12d7697bed7e92948bf24c742cd099c87f,30433942.4069291838,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xff21cd1e97da87960613f12a3c67c0db4e47ec5633f629a4fb86e99f87d2557d,0x7ff36ab5,2025/07/08 18:38:20,2025/07/08 10:38:20,0x3870633047047a81ce50ce879047c852754a2437,0xfbc84d40a37e43fa7d002d5c0029a95b6c48f50c,36262535.4053910822,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x4fc2117d62d1b0dec1beb757a1cd18b705a09fa07f9a6d997eb4db4b298f1842,0x7ff36ab5,2025/07/08 18:39:26,2025/07/08 10:39:26,0x3870633047047a81ce50ce879047c852754a2437,0xc85e26a15afed3cd8d2e8f6e93cf90ad273c5b9a,44655262.6100637466,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x16d30ad2b2d1df3e9d9d0477b62cf295529efc809192867359491305404918b9,0x7ff36ab5,2025/07/08 18:40:39,2025/07/08 10:40:39,0x3870633047047a81ce50ce879047c852754a2437,0x155384f5c0c2dc50f064d8f0ce5c4e44a0d9c3a8,45611142.2912263796,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x3389a820c38ab98b6550491c80008e0b8a6bc4375a299c9c146fe59d2da04273,0x7ff36ab5,2025/07/08 18:41:50,2025/07/08 10:41:50,0x3870633047047a81ce50ce879047c852754a2437,0x990dfe4fcc74ef9da93eaf81345d5e28d5ef6b72,47719893.7433188260,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
