tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xa750e3709e5e4a43cb3e405d33004d583a5f72794607ff49d37880066266f724,0x0ba6324e,2025/07/07 00:22:55,2025/07/06 16:22:55,0x0000000000000000000000000000000000000000,0xe2ce6ab80874fa9fa2aae65d277dd6b8e65c9de0,1000000000.0000000000,SUCCESS,newTokenV2(tuple )
0x4c7f8be02101d8b6f747a6cc610ccb279e84c421ba4a6f1ff8877a38e1da53e9,0xef7ec2e7,2025/07/07 00:22:55,2025/07/06 16:22:55,0xe2ce6ab80874fa9fa2aae65d277dd6b8e65c9de0,0x00433b9f67b9955c4064eae291dea4c9e48aa40b,111111111.1111111045,SUCCESS,swapExactInput(tuple )
0x77b60f6cab90ce3746765d76697a89dae257dda790585378e6f0db0823fd7f5f,0xef7ec2e7,2025/07/07 00:22:55,2025/07/06 16:22:55,0xe2ce6ab80874fa9fa2aae65d277dd6b8e65c9de0,0x9e52935f9d5b36fe805465f48866e14e48809a93,70836099.9424181730,SUCCESS,swapExactInput(tuple )
0xa613657ab36c10073cfeac088fdf1c4aa9b1127f85493db1e64154e3778796ab,0xef7ec2e7,2025/07/07 00:22:55,2025/07/06 16:22:55,0xe2ce6ab80874fa9fa2aae65d277dd6b8e65c9de0,0x32ce0781d3f7024ac5b42f4f14bcc2d038264c9c,59052468.2688352317,SUCCESS,swapExactInput(tuple )
0xbe01043dc14774220c5a310dc963c7c41e8365af4554c2e9e88947d32172f21e,0xef7ec2e7,2025/07/07 00:22:55,2025/07/06 16:22:55,0xe2ce6ab80874fa9fa2aae65d277dd6b8e65c9de0,0x69e8214c40525973fa01be7102a872b09d8c9b1c,50330812.2462400123,SUCCESS,swapExactInput(tuple )
0xbe1ad1be3f6badcfe90d4bff4d90029cebaa14005f82c863d60401c91966e2dd,0xef7ec2e7,2025/07/07 00:22:55,2025/07/06 16:22:55,0xe2ce6ab80874fa9fa2aae65d277dd6b8e65c9de0,0x2f30152fbfb56bd0730cf54006da9eda4664c2f1,39860423.3287834451,SUCCESS,swapExactInput(tuple )
0x859d7f02742a010bc5a9e134af2a448aebb200cf5201e3920efbdea848066d0d,0xef7ec2e7,2025/07/07 00:22:55,2025/07/06 16:22:55,0xe2ce6ab80874fa9fa2aae65d277dd6b8e65c9de0,0x57c39031fb162938c32f74851f9ba0f45ac0b880,32091491.6404282823,SUCCESS,swapExactInput(tuple )
0x9fea5024bf74f0392a0491ee009d63506c83b372b7008bdc38b4d68e024e0539,0xef7ec2e7,2025/07/07 00:23:59,2025/07/06 16:23:59,0xe2ce6ab80874fa9fa2aae65d277dd6b8e65c9de0,0xeaf2364b1dcd90f377b8d81b50bbc9c9f65ddb41,36497406.5101798773,SUCCESS,swapExactInput(tuple )
0x8664cfd028427f3134ee1d52587e3f5b53e332ec2827b0b605ed8baaa6586aa3,0xef7ec2e7,2025/07/07 00:23:59,2025/07/06 16:23:59,0xe2ce6ab80874fa9fa2aae65d277dd6b8e65c9de0,0x3e131aafa6b02ad2864be0e7ceb859d98f1245a1,37392972.1627281085,SUCCESS,swapExactInput(tuple )
0x422f06f90e38046b170952b75a3f1b35c94b02673cbb225833b9ffdae014306e,0xef7ec2e7,2025/07/07 00:23:59,2025/07/06 16:23:59,0xe2ce6ab80874fa9fa2aae65d277dd6b8e65c9de0,0xa3f8136a4bac2ef55e581f3d303bb0a8a95d1a57,29894995.8969033584,SUCCESS,swapExactInput(tuple )
