tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x4dbe2443cd638d051331a5d0a33bd07781d1901d39bb332441e557dc501bee84,0x60806040,2025/07/08 19:51:08,2025/07/08 11:51:08,0x0000000000000000000000000000000000000000,0x076a9a913f6e4a695f882222ae9caf0e9e7b907c,1000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0xd5376813899487b4e65ca89d59a7343d10a0e7ddd3236707d7da78dadb5a2faf,0xf305d719,2025/07/08 19:51:14,2025/07/08 11:51:14,0x076a9a913f6e4a695f882222ae9caf0e9e7b907c,0x4517ec3397a8ac1fc4b593ef609dd1cc47af371c,1000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0xce5ae6ee8a82af466c49f4184138fee8efccba2564c1048c8e2e8c8822459e1c,0x38ed1739,2025/07/08 19:51:26,2025/07/08 11:51:26,0x4517ec3397a8ac1fc4b593ef609dd1cc47af371c,0x0271f43a69ab8a3c81f316b1201f0f6aa6dd8292,31073.1216413815,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x3a85c66151b20c25bf3e4c5e86d23ec5bd0814c9ab70d6437a332f7066a60eec,0x38ed1739,2025/07/08 19:51:44,2025/07/08 11:51:44,0x4517ec3397a8ac1fc4b593ef609dd1cc47af371c,0xaac0a7dfe1cdef71f3e4db255f42c1cbc6156c51,9171.0140417209,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x003c96ab735fd79bcb58a6694cd0fdca0641fbeb623248bc34355a754bd8bb23,0x088890dc,2025/07/08 19:51:57,2025/07/08 11:51:57,0x4517ec3397a8ac1fc4b593ef609dd1cc47af371c,0x1f2d955cc70c8ae5f9e0656c51ce321d69a32873,1719.5420596397,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline, address referrer)"
0xc830370788e36413f48d8d01a3772be75115476297da4c9f89ef11e836faeabf,0x38ed1739,2025/07/08 19:52:03,2025/07/08 11:52:03,0x4517ec3397a8ac1fc4b593ef609dd1cc47af371c,0xdf47a9d06f98b3caf309ea6677d187ac8b7b1953,5834.5206782121,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x49b5d0715fe5daba32b45a960c35362ef37a8724f430aab0ea9fd5c01d5d8674,0x38ed1739,2025/07/08 19:52:19,2025/07/08 11:52:19,0x4517ec3397a8ac1fc4b593ef609dd1cc47af371c,0xc4d05f8d65107e5689fba98c7df0de1cf7344554,7747.4403010259,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe1dc626a14bb3c7549a1be5f13435cd7b1492874bc5358fd3cc29859e838fdcf,0xbaa2abde,2025/07/08 19:52:24,2025/07/08 11:52:24,0x4517ec3397a8ac1fc4b593ef609dd1cc47af371c,0x076a9a913f6e4a695f882222ae9caf0e9e7b907c,944432.9430951633,SUCCESS,"removeLiquidity(address tokenA, address tokenB, uint256 liquidity, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)"
0xf0612a567c99da95e04a0ddc89f321cc4997abe2180f5f00045734fa88169bc6,0x38ed1739,2025/07/08 19:52:52,2025/07/08 11:52:52,0x0271f43a69ab8a3c81f316b1201f0f6aa6dd8292,0x4517ec3397a8ac1fc4b593ef609dd1cc47af371c,9321.9364924145,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x139c8d1cb70fc4eb8488d5c2a7465e8d2d7b611e99575d073c9d726bf00f3254,0xb6f9de95,2025/07/08 19:52:57,2025/07/08 11:52:57,0x4517ec3397a8ac1fc4b593ef609dd1cc47af371c,0xb21a7d6b07ad608202c5c057031a034bf4166b38,9266.0887708884,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x13c14178d83eb40cbcb5d631aa49469aef7533e14f1c2a0b2dae2aceab65f7eb,0xcce04763,2025/07/08 19:54:22,2025/07/08 11:54:22,0x4517ec3397a8ac1fc4b593ef609dd1cc47af371c,0x18e31a59caeae97fa9a30a20df3f72a130147752,33.0666026264,SUCCESS,
0x2387f84be92bca68bf7787bf76bea701b6e5f07338ef518bb536d30ca221a2bc,0x181a8b99,2025/07/08 19:54:40,2025/07/08 11:54:40,0x4517ec3397a8ac1fc4b593ef609dd1cc47af371c,0x426603bac5e0ea73fd13aecad7a80c9f963f6eac,29.6889614638,SUCCESS,
