tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x905e6219308827e94340a628a6ba931c2bdb56784b7c7ed02add656ec6111f45,0x60806040,2025/07/08 02:05:20,2025/07/07 18:05:20,0x0000000000000000000000000000000000000000,0x703304010672d379f49d53c0670e0715f94f8349,980000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x905e6219308827e94340a628a6ba931c2bdb56784b7c7ed02add656ec6111f45,0x60806040,2025/07/08 02:05:20,2025/07/07 18:05:20,0x0000000000000000000000000000000000000000,0x28816c4c4792467390c90e5b426f198570e29307,20000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x2e8f3f1fbbc9ff3e8883853f91ee5f0ebdb72de1d5e06a9eb786f9fb43ccb88f,0x8a8c523c,2025/07/08 02:05:21,2025/07/07 18:05:21,0x703304010672d379f49d53c0670e0715f94f8349,0xb8759d6f15985b121033b75a9261d4d76382ed2d,980000000.0000000000,SUCCESS,enableTrading()
0x3f6f909a2e5eae5ba3119459bc8c187f57f69ac2c8a7615e04aa1649f2aa57e0,0xb6f9de95,2025/07/08 02:05:23,2025/07/07 18:05:23,0xb8759d6f15985b121033b75a9261d4d76382ed2d,0x72cf73ed26d7acdbd0b260537e8a6d2d68d66636,15868400.9557692334,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xf4b909671fcac16262ef22d57b180aea2e4143bdb84e7498aaaba4a073076dfb,0xb6f9de95,2025/07/08 02:05:23,2025/07/07 18:05:23,0xb8759d6f15985b121033b75a9261d4d76382ed2d,0xa6180031c7c4f06cbf3487faba225817bceb4cbe,15362085.8100763783,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x9a32b76190d697c2bfbb3cd3f2808841dc7d60e11c0a24f30aaa087174200416,0xb6f9de95,2025/07/08 02:05:23,2025/07/07 18:05:23,0xb8759d6f15985b121033b75a9261d4d76382ed2d,0x815a1ce7e3b6ebfb5643738089faf28464853d8e,14879632.2160757985,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x2607a5f6ad706e6304a9ccb850262f7057628fe96c0fc7dd89548cf73f2f512d,0xb6f9de95,2025/07/08 02:05:23,2025/07/07 18:05:23,0xb8759d6f15985b121033b75a9261d4d76382ed2d,0xa9d07f1fafcf0f5994177e80c63eb390a7575f41,14419563.6831221655,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x894e2864ab471c325552a6f50d54b18477da1ac125467635e36084ebd4968fe6,0xb6f9de95,2025/07/08 02:05:23,2025/07/07 18:05:23,0xb8759d6f15985b121033b75a9261d4d76382ed2d,0x0a71326751dd04e98a303fb4984c8531ee835e89,14119564.9700437821,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe1419ab31083daee000fca4edc9bc814d6b4447cea9adbfc761c18436c34bf31,0xb6f9de95,2025/07/08 02:05:23,2025/07/07 18:05:23,0xb8759d6f15985b121033b75a9261d4d76382ed2d,0xcb755fa99ece208ced3e77150ed439450fc721d1,13557089.5455009155,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xb98eec912abbe9813d5d6d42a6a447c85015666ceb06922b872e673c7700f655,0xb6f9de95,2025/07/08 02:05:23,2025/07/07 18:05:23,0xb8759d6f15985b121033b75a9261d4d76382ed2d,0x75e0899d867c1f4808c612abd0286c9180a6fd2d,13287489.1319670361,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
