tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xf1bd44f83bb7d1343babe2cc9311ad3f7853545114cfad326102714dc6e1c9da,0x60806040,2025/07/08 09:36:45,2025/07/08 01:36:45,0x0000000000000000000000000000000000000000,0xb0c0094450e85b8c134c0ea96e585b5f1b306f5a,500000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0xf27f853d9c759d6a590bce0a7bec3710d96e75446f8dc23e0f1293c5d1dfbf3b,0xf305d719,2025/07/08 09:37:36,2025/07/08 01:37:36,0xb0c0094450e85b8c134c0ea96e585b5f1b306f5a,0x78cb91f6366bbd0d60d51b62082ec77a3afcf52d,495000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x3906c0ca46f50559bd02285553031573aeaf1b61a18dd756b40b66a35933d4da,0x7ff36ab5,2025/07/08 09:37:48,2025/07/08 01:37:48,0x78cb91f6366bbd0d60d51b62082ec77a3afcf52d,0x661c534b50177190a2247e57c479dc7d0d8ac933,24280725.0418056324,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x0b7d903e76425749c5df16fe8d29e96848c6c406fdc686d3774db06749cc1331,0x7ff36ab5,2025/07/08 09:37:55,2025/07/08 01:37:55,0x78cb91f6366bbd0d60d51b62082ec77a3afcf52d,0x2bac1e19a883a1bceb66e4c2a04bbd7141a770d3,23737705.6787521839,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x1b20714edd6b73a1121d772585bbf0020f7199fbc208100ddd19b104dc125d51,0x38ed1739,2025/07/08 09:38:00,2025/07/08 01:38:00,0x78cb91f6366bbd0d60d51b62082ec77a3afcf52d,0x7bd2ccf570afcc0ad7b301b5263a9c902bdce7f9,166457.8630041477,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xa757a2c9cf1b86291ebb6641df26440d6eb5721cb4673a598f6af700f71c4ae6,0x18cbafe5,2025/07/08 09:38:11,2025/07/08 01:38:11,0x661c534b50177190a2247e57c479dc7d0d8ac933,0x78cb91f6366bbd0d60d51b62082ec77a3afcf52d,8093575.0139352102,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x23747359fc59ab3e435e3de62f3c249677824581996c75e0079b37da3821a216,0xa3d4e927,2025/07/08 09:38:26,2025/07/08 01:38:26,0x78cb91f6366bbd0d60d51b62082ec77a3afcf52d,0xe1cadcaab195f95bf9a6653ffa31f09e42ec2b02,12058586.1310348921,SUCCESS,
0xa03c2e36039ead38218e405a77cf1b6d55111c8ed22623a6abee49a2d6d9f9c3,0x7ff36ab5,2025/07/08 09:38:36,2025/07/08 01:38:36,0x78cb91f6366bbd0d60d51b62082ec77a3afcf52d,0x2a2771c1db0ac45c22de0bc1002686f3aeb93d57,18819159.9258175865,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xdf268e8111b99e3651fd15271e455e0b2e08e762f707828931b233a839fae52b,0x7ff36ab5,2025/07/08 09:38:48,2025/07/08 01:38:48,0x78cb91f6366bbd0d60d51b62082ec77a3afcf52d,0x0405258ca6f8a23c1c7a795d6cfbfca8d06065df,10218746.6110847015,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xcd68289448813cf5a161a2d240ae06c6459b6f059c5d1eaa0996892ebed7b609,0x7ff36ab5,2025/07/08 09:38:56,2025/07/08 01:38:56,0x78cb91f6366bbd0d60d51b62082ec77a3afcf52d,0x661c534b50177190a2247e57c479dc7d0d8ac933,2656793.1926642414,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe50afcbcc59f90efe02bab33a54117694301225f549c1aedb5368b0c9ec5f5d7,0x7ff36ab5,2025/07/08 09:39:12,2025/07/08 01:39:12,0x78cb91f6366bbd0d60d51b62082ec77a3afcf52d,0x863e43f41a04965b6e857aefb19f53951c88e8f9,18019095.6854648516,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
