tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x83dc25f61e0d6ee77c6cfec1998acc52daeb3b58b0de7143eea647d5c6df7125,0x519ebb10,2025/07/08 10:08:25,2025/07/08 02:08:25,0x0000000000000000000000000000000000000000,0x757eba15a64468e6535532fcf093cef90e226f85,1000000000.0000000000,SUCCESS,"createToken(bytes code, bytes poolsCode)"
0x83dc25f61e0d6ee77c6cfec1998acc52daeb3b58b0de7143eea647d5c6df7125,0x519ebb10,2025/07/08 10:08:25,2025/07/08 02:08:25,0x757eba15a64468e6535532fcf093cef90e226f85,0x5c952063c7fc8610ffdb798152d69f0b9550762b,1000000000.0000000000,SUCCESS,"createToken(bytes code, bytes poolsCode)"
0x83dc25f61e0d6ee77c6cfec1998acc52daeb3b58b0de7143eea647d5c6df7125,0x519ebb10,2025/07/08 10:08:25,2025/07/08 02:08:25,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xf8970a2fa5f237c0a53d422a0171f0e09c95c486,115463917.5281777084,SUCCESS,"createToken(bytes code, bytes poolsCode)"
0x0c13f94db65b2ba2214512730b250f409c53121a3fd8edb96bbe2672de45e338,0x87f27655,2025/07/08 10:08:25,2025/07/08 02:08:25,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x6ead5f3cfb5e0144288788e215732f42bb4742d9,7863640.6046409998,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0xb49651b500ed3cb325e4c436a7f45da33fa342eaced620dde3bd78eef9b9b11e,0x87f27655,2025/07/08 10:08:27,2025/07/08 02:08:27,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xf89a9566125ab14c370cc48f72860785ed5443cb,1012583.7967616440,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0x17048f8e8d2e6856d18077bbe4f19e4f205bd83ff1a83c618a5f1eb32b493e0f,0x3e11741f,2025/07/08 10:08:36,2025/07/08 02:08:36,0x6ead5f3cfb5e0144288788e215732f42bb4742d9,0x5c952063c7fc8610ffdb798152d69f0b9550762b,2359092.1813922990,SUCCESS,"sellToken(address to_, uint256 amount, uint256 bonusAmount)"
0xb13ac0a268ad937d60bc135287d8ab852f5889f4235e743d76178e2d5c445273,0x3e11741f,2025/07/08 10:08:38,2025/07/08 02:08:38,0xf89a9566125ab14c370cc48f72860785ed5443cb,0x5c952063c7fc8610ffdb798152d69f0b9550762b,1012583.7967616440,SUCCESS,"sellToken(address to_, uint256 amount, uint256 bonusAmount)"
0x864f7cf5c8ff5c6466141fafe6f580681f841fd0679ee6a3d90656c23ae5139e,0xe5e8894b,2025/07/08 10:09:44,2025/07/08 02:09:44,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x32e9218165cc1a3c7c52aa0c19f7fe862000d91c,138425.1440626360,SUCCESS,"proxySwapV2(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,uint256 minReturnAmt,bytes callData)"
0x2a4db19f2762157b222f4439cb5bae4f1a7a58da7b6eb69e5da288b564d88bbc,0xe5e8894b,2025/07/08 10:10:20,2025/07/08 02:10:20,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xefc72977bf42505f3db91286ecfce7a74dfa6460,112637.5637918780,SUCCESS,"proxySwapV2(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,uint256 minReturnAmt,bytes callData)"
0xd7ca69923cd53b0e5c559a825db86ee149fb5050e3b3079f341822906544e80f,0x87f27655,2025/07/08 10:10:55,2025/07/08 02:10:55,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xf0aa572c99b6bcec4ee830059c5cbf2fa6ef97d2,3550294.9732839712,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0xd82b3f4662c025017aef78554fcdec936d8870e0103f0b547a06783be6cccd2e,0x3e11741f,2025/07/08 10:11:45,2025/07/08 02:11:45,0x6ead5f3cfb5e0144288788e215732f42bb4742d9,0x5c952063c7fc8610ffdb798152d69f0b9550762b,5504548.4232486999,SUCCESS,"sellToken(address to_, uint256 amount, uint256 bonusAmount)"
0x966e568f87b57399b36fbdd6eeef18be2840ea287e26ac84313fd43d520f6de7,0x3e11741f,2025/07/08 10:12:06,2025/07/08 02:12:06,0xf0aa572c99b6bcec4ee830059c5cbf2fa6ef97d2,0x5c952063c7fc8610ffdb798152d69f0b9550762b,3550294.9732839712,SUCCESS,"sellToken(address to_, uint256 amount, uint256 bonusAmount)"
0x00d4f54833d511ecb7a15dfbf35fc28d22f23960c8617cbc152b3fd5c2eef789,0x0da74935,2025/07/08 10:16:48,2025/07/08 02:16:48,0xf8970a2fa5f237c0a53d422a0171f0e09c95c486,0x5c952063c7fc8610ffdb798152d69f0b9550762b,115463917.5281769931,SUCCESS,"sellToken(uint256 origin,address token,uint256 amount,uint256 minFunds)"
0x0acf40e52ac3a5b80ba2cb895e0e5558b1a17ab3c8ef401b1daf9599e12c56e3,0xc0509680,2025/07/08 10:19:12,2025/07/08 02:19:12,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xe4eab320233147681a41a0a9b49a1e755105c2ba,45252733.2502675280,SUCCESS,
0x9be3d838b38cd8a38b93b4ea086d514571968f3735e1edcbbff9f2cde240b88c,0x7fc97d9b,2025/07/08 10:19:12,2025/07/08 02:19:12,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x037d3b1ebb1f1806b59f5f7afe27f2280210e198,34069474.1972781047,SUCCESS,
0xa3cf0ee91a2d2308dea72823a1dfea632e11407726c84470db2fbc5b57fa17b3,0x1777c743,2025/07/08 10:19:36,2025/07/08 02:19:36,0xe4eab320233147681a41a0a9b49a1e755105c2ba,0x5c952063c7fc8610ffdb798152d69f0b9550762b,45252733.2502675280,SUCCESS,
0xcefc325485d9fad11ad4e20ac762bd98871b359c04fd73452b074b0f23d30ee9,0x59c69bf4,2025/07/08 10:19:36,2025/07/08 02:19:36,0x037d3b1ebb1f1806b59f5f7afe27f2280210e198,0x5c952063c7fc8610ffdb798152d69f0b9550762b,34069474.1972781047,SUCCESS,
0xd2e51d806177dfe75d65af3c2820601319a539df8bd4b62278826746362fd62d,0xc0509680,2025/07/08 10:19:42,2025/07/08 02:19:42,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xe4eab320233147681a41a0a9b49a1e755105c2ba,45252733.2502675280,SUCCESS,
