tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x1319ee2dbb1b4e42ea4cbc68cca84fe5274c8ac59d9f4b0fe777cd7b129c254a,0x60806040,2025/07/08 20:08:19,2025/07/08 12:08:19,0x0000000000000000000000000000000000000000,0xcc1bf4cf410efd25729b873be65b98ae06570bf2,9600000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x0b8aa0f0805d6925caa5f313b7f648a123817d36321da41f3625fb08c62a8662,0xf305d719,2025/07/08 20:08:30,2025/07/08 12:08:30,0xcc1bf4cf410efd25729b873be65b98ae06570bf2,0x2566dd27002418c770c1c083b37946c2d64b5c71,9600000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x26360112ab42ebc7935673f9d72d4a3e9e1d05c078b0d6234a61fe46aaa99272,0x7ff36ab5,2025/07/08 20:08:52,2025/07/08 12:08:52,0x2566dd27002418c770c1c083b37946c2d64b5c71,0xc9049baec187abf55c0c84a8cc99ad359d140420,13404304.9014114905,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xead426abc1b1c48c8784d5a52c4c13de568bc22bbe562d580d65a5feba5a9a71,0x7ff36ab5,2025/07/08 20:09:57,2025/07/08 12:09:57,0x2566dd27002418c770c1c083b37946c2d64b5c71,0x5df23f40e5f8967a20ff6dae6bbc96cb5cfcaacb,9702559.0260535348,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe19baf76d8257ba8b23208cf7e32cc3fdecad11e36421186463d6592240af4e2,0x7ff36ab5,2025/07/08 20:11:08,2025/07/08 12:11:08,0x2566dd27002418c770c1c083b37946c2d64b5c71,0xa29820eb1e9caf7312a572414c76c86d70f9e5c3,12827071.6033716816,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xf8d131e14c3ab318cbc5f3d9dc752334deaa52860b1952be0bef2742650987b6,0x7ff36ab5,2025/07/08 20:12:00,2025/07/08 12:12:00,0x2566dd27002418c770c1c083b37946c2d64b5c71,0x71c85f7ed8bf6b319b98a208a218972b0d61c16f,10225539.2178579587,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x5981745ce1127553395a81b8fc841ecdb326facab9587620c5dc2cde0b246dba,0x7ff36ab5,2025/07/08 20:12:37,2025/07/08 12:12:37,0x2566dd27002418c770c1c083b37946c2d64b5c71,0x068245763deb42ab8bbb712f302c773d91af37d7,11914765.2498560473,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xbf536caa4ab84ff79d39d7b98325c32b773742551f8ada3aae3e61ab743411a4,0x7ff36ab5,2025/07/08 20:13:11,2025/07/08 12:13:11,0x2566dd27002418c770c1c083b37946c2d64b5c71,0x75a71a8bbbcc7a79000f484da08faba04a6cc533,12610971.5681752823,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xc6034052c31e792cacdfce0eaa8c8b4322129d3093b3e3a98a308d652c83908d,0x7ff36ab5,2025/07/08 20:14:24,2025/07/08 12:14:24,0x2566dd27002418c770c1c083b37946c2d64b5c71,0xc962a1153f5111137f4dd79433b4c3950c4a767c,11872439.3041318469,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x2d21284828982a82e6ddc1a284b4b5b80b53193daf8f1ed6e7e4f57786fe7e94,0x7ff36ab5,2025/07/08 20:14:54,2025/07/08 12:14:54,0x2566dd27002418c770c1c083b37946c2d64b5c71,0x53f71f807e3d98afb0d05c8b6155f52097e7875b,10257379.4991589300,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x3620a3a342d0b0d8863dddc302982aefa8c28fe4241ad4f597fb9a4474fcab26,0x7ff36ab5,2025/07/08 20:15:53,2025/07/08 12:15:53,0x2566dd27002418c770c1c083b37946c2d64b5c71,0x533e81ea68f85eacdd0ea1abe201ebe93aece92b,13043294.5205313731,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
