tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xab1d941802e85f76bd3e84cfd18ec5cc9af25c9f0e95a0fbfce48f42fe6d88af,0x60806040,2025/07/08 13:46:52,2025/07/08 05:46:52,0x0000000000000000000000000000000000000000,0xa05d68826f592417085dcf3a1f70374ed4038793,200000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0xd7ded053129fec60aaf40a277f762f3f6db84779997a990de131a1db0aac9eef,0xe8e33700,2025/07/08 15:24:54,2025/07/08 07:24:54,0xa05d68826f592417085dcf3a1f70374ed4038793,0xf6aacc5cd53ec02e220d023d745db487459ff0f6,100000.0000000000,SUCCESS,"addLiquidity(address tokenA, address tokenB, uint256 amountADesired, uint256 amountBDesired, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)"
0x166a06d0a366c1db13fe7daee317ebc7f0b2c3ff64b656cbd735fd93cbc69268,0x38ed1739,2025/07/08 15:27:59,2025/07/08 07:27:59,0xf6aacc5cd53ec02e220d023d745db487459ff0f6,0x4eba1697c444211d2d8083824a4234e63a32d8d9,594.6428464923,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe8442fe0dfd6a7308a3c272d7dc025b0ed6165216745a01f0f978e032edb7f7c,0x5c11d795,2025/07/08 15:28:51,2025/07/08 07:28:51,0x4eba1697c444211d2d8083824a4234e63a32d8d9,0x8138d0fd2d6fd26425961b1566083d8dbc35cc04,29.7321000000,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe8442fe0dfd6a7308a3c272d7dc025b0ed6165216745a01f0f978e032edb7f7c,0x5c11d795,2025/07/08 15:28:51,2025/07/08 07:28:51,0x4eba1697c444211d2d8083824a4234e63a32d8d9,0x000000000000000000000000000000000000dead,29.7321000000,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe8442fe0dfd6a7308a3c272d7dc025b0ed6165216745a01f0f978e032edb7f7c,0x5c11d795,2025/07/08 15:28:51,2025/07/08 07:28:51,0x4eba1697c444211d2d8083824a4234e63a32d8d9,0xf6aacc5cd53ec02e220d023d745db487459ff0f6,535.1778000000,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x0d623b6b9c0c4d83b3e23c111f5c43d3673cdf6248ba3005ec9e432710ba63a6,0x38ed1739,2025/07/08 15:31:46,2025/07/08 07:31:46,0xf6aacc5cd53ec02e220d023d745db487459ff0f6,0x477c3ce46a9d7392c8254df1532ee7a9f5d1252b,4911.4163458456,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x96f067e950247e59c17fdc0e418feed1c6ffb9a315522d14743c7fbe23e89918,0x5c11d795,2025/07/08 15:32:40,2025/07/08 07:32:40,0x477c3ce46a9d7392c8254df1532ee7a9f5d1252b,0x8138d0fd2d6fd26425961b1566083d8dbc35cc04,122.7850000000,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x96f067e950247e59c17fdc0e418feed1c6ffb9a315522d14743c7fbe23e89918,0x5c11d795,2025/07/08 15:32:40,2025/07/08 07:32:40,0x477c3ce46a9d7392c8254df1532ee7a9f5d1252b,0x000000000000000000000000000000000000dead,122.7850000000,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x96f067e950247e59c17fdc0e418feed1c6ffb9a315522d14743c7fbe23e89918,0x5c11d795,2025/07/08 15:32:40,2025/07/08 07:32:40,0x477c3ce46a9d7392c8254df1532ee7a9f5d1252b,0xf6aacc5cd53ec02e220d023d745db487459ff0f6,2210.1300000000,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x5184de0a53c952c35fc94b680178e504735f131d02c0c9d8046c89b6c46dbbae,0x8803dbee,2025/07/08 15:36:56,2025/07/08 07:36:56,0xf6aacc5cd53ec02e220d023d745db487459ff0f6,0x477c3ce46a9d7392c8254df1532ee7a9f5d1252b,1227.8500000000,SUCCESS,"swapTokensForExactTokens(uint256 amountOut, uint256 amountInMax, address[] path, address to, uint256 deadline)"
0x37dee2db90b083868d052b2a4a042897e42ff4ff4a84bc6e51f8f2f80431ffdc,0xbaa2abde,2025/07/08 15:39:18,2025/07/08 07:39:18,0xf6aacc5cd53ec02e220d023d745db487459ff0f6,0xa05d68826f592417085dcf3a1f70374ed4038793,3840.3637787446,SUCCESS,"removeLiquidity(address tokenA, address tokenB, uint256 liquidity, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)"
0xb3e1a3cea30ba5f3a9b2c004c05cd04b5554ebb2361506d19c880f7a9276af57,0x5c11d795,2025/07/08 15:49:17,2025/07/08 07:49:17,0x477c3ce46a9d7392c8254df1532ee7a9f5d1252b,0x8138d0fd2d6fd26425961b1566083d8dbc35cc04,92.0890000000,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xb3e1a3cea30ba5f3a9b2c004c05cd04b5554ebb2361506d19c880f7a9276af57,0x5c11d795,2025/07/08 15:49:17,2025/07/08 07:49:17,0x477c3ce46a9d7392c8254df1532ee7a9f5d1252b,0x000000000000000000000000000000000000dead,92.0890000000,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xb3e1a3cea30ba5f3a9b2c004c05cd04b5554ebb2361506d19c880f7a9276af57,0x5c11d795,2025/07/08 15:49:17,2025/07/08 07:49:17,0x477c3ce46a9d7392c8254df1532ee7a9f5d1252b,0xf6aacc5cd53ec02e220d023d745db487459ff0f6,1657.6020000000,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x9892e5414e9302caf15abbe5403b58ba616a70305b910eef4aa02bdb7450229b,0xbaa2abde,2025/07/08 16:13:51,2025/07/08 08:13:51,0xf6aacc5cd53ec02e220d023d745db487459ff0f6,0xa05d68826f592417085dcf3a1f70374ed4038793,93825.8768566505,SUCCESS,"removeLiquidity(address tokenA, address tokenB, uint256 liquidity, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)"
