tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x5344282c60a6dee68cc2b083be851e0538fe4581e3e5ff66b069b35f9d9edf3f,0xf305d719,2025/07/08 17:02:58,2025/07/08 09:02:58,0x62c6fadaf28e7f859badaa34233048591ce30837,0xc63e99c18e65d2971a1d8e37ab696901cf9de199,1709800000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0xb0ea43958cda7e1a2a53cc54dc898ed8e61628ed167aabc068a4ac22077cb3cb,0x3593564c,2025/07/08 17:03:18,2025/07/08 09:03:18,0xc63e99c18e65d2971a1d8e37ab696901cf9de199,0xb36b581ceaea9f7943806fffdfe3571d6e0f9418,8271183.7434841534,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x8ec23f7e7b4d5f270372dd70b8c16168d3ab75ed4070ee6aea54d6c10806f9b7,0x088890dc,2025/07/08 17:03:24,2025/07/08 09:03:24,0xc63e99c18e65d2971a1d8e37ab696901cf9de199,0x1f2d955cc70c8ae5f9e0656c51ce321d69a32873,16160285.6330132931,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline, address referrer)"
0xf33b7ac2a1f25764ddea3462c5196b1684b1fa30364fcf02c2370d197c5413b3,0x3593564c,2025/07/08 17:03:44,2025/07/08 09:03:44,0xc63e99c18e65d2971a1d8e37ab696901cf9de199,0xd6e29f095969cce4d2ba913be2520977ef5a2b3a,8036699.6638188530,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x78e6a1d83a7f5e758d3be97a5de7f636b3aa4a1e3a586df12d7b24647880e55c,0x3593564c,2025/07/08 17:04:58,2025/07/08 09:04:58,0xc63e99c18e65d2971a1d8e37ab696901cf9de199,0x48479b90d27eed5b920d19a9a7e47bc1fa82a30b,3988541.6716188109,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x80050959aff8ffb4ef2f7251ebe4c27a0a0a40fc76d80146f9ccb59daec68e06,0x3593564c,2025/07/08 17:09:09,2025/07/08 09:09:09,0xc63e99c18e65d2971a1d8e37ab696901cf9de199,0xb7a5402633e44eb7ac8b5939c91033712b6107a9,1051241.8442138785,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xd0d867e1269e23451e1e6ea8164f00d7f3da90fc8ca32595c668aafe2fde9842,0xbaa2abde,2025/07/08 17:20:09,2025/07/08 09:20:09,0xc63e99c18e65d2971a1d8e37ab696901cf9de199,0x62c6fadaf28e7f859badaa34233048591ce30837,1672277221.1700606346,SUCCESS,"removeLiquidity(address tokenA, address tokenB, uint256 liquidity, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)"
0xd17c0afdc5a33fd36c4467e51252d6fb0e1fa153deb3f21fd115763a95d3f660,0xcce04763,2025/07/08 17:21:46,2025/07/08 09:21:46,0xc63e99c18e65d2971a1d8e37ab696901cf9de199,0x18e31a59caeae97fa9a30a20df3f72a130147752,6345.0302921039,SUCCESS,
0x081266f433d7e429f6bd5f7697c2966806df4c36714634503cdb5e9f8321bd8d,0x7ff36ab5,2025/07/08 17:22:11,2025/07/08 09:22:11,0xc63e99c18e65d2971a1d8e37ab696901cf9de199,0x29a4b61a493ca34ab367594594a730fddd131bfa,6801.4914257225,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xa4e3287afff9105ce6b99df675adfc54c5efc8a3957b6f8aae43b85d51897600,0x181a8b99,2025/07/08 17:22:22,2025/07/08 09:22:22,0xc63e99c18e65d2971a1d8e37ab696901cf9de199,0x426603bac5e0ea73fd13aecad7a80c9f963f6eac,170.0862919743,SUCCESS,
