tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xf0a77184216d06247acf9a1b9103ac476c8fa509229388d85d90f9baf97e7daa,0x60806040,2025/07/07 16:18:29,2025/07/07 08:18:29,0x0000000000000000000000000000000000000000,0x0a1976032d9529287491453acf7c9d5a42d51185,1000000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0xb0d5d2c6049079f26dce1ec47b8de729e50ae0171429ed836da88bddde01077e,0xf305d719,2025/07/08 01:13:20,2025/07/07 17:13:20,0x0a1976032d9529287491453acf7c9d5a42d51185,0x05e4d061dbd63a9ba734f04a20caec1c33c89b9a,1000000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x64aa9918a8872e57bb3470d4aee9f5072a93fe1729317797c6cb4abf8e520098,0xb6f9de95,2025/07/08 01:13:33,2025/07/07 17:13:33,0x05e4d061dbd63a9ba734f04a20caec1c33c89b9a,0x9d64c93d790e26524ad86fbb25d4177825c1c4a8,20194136.8720890246,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x1010b8494a4560c1265f7521991e003f3c3f9cda8fe894f9bcbed0c8d454ba40,0xb6f9de95,2025/07/08 01:13:33,2025/07/07 17:13:33,0x05e4d061dbd63a9ba734f04a20caec1c33c89b9a,0x2fb417e59276555f32ee2c414e3eb326a0680c0e,19393712.8639376499,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x406f4660a5f6f33c3a35906a89ee763f22f19d29a954d1e5e551fac0c55d5c32,0xb6f9de95,2025/07/08 01:13:33,2025/07/07 17:13:33,0x05e4d061dbd63a9ba734f04a20caec1c33c89b9a,0x3b7e1ede7a17803fee2d374d42f044576833380f,18639971.3431740738,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xb7e1ef81ea178e4447509ee2ae2e191ee0c25b0aa6ce049c577bda7ee7cd5d04,0xb6f9de95,2025/07/08 01:13:33,2025/07/07 17:13:33,0x05e4d061dbd63a9ba734f04a20caec1c33c89b9a,0xa6b9ffa8fafb120e901a3c35906d4a8a37846ba9,17929350.6842196099,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x7248e1a797ae28e64ccaa3758b273a8d66fe0e3dae945f8bee3b78652a6b50fb,0xb6f9de95,2025/07/08 01:13:33,2025/07/07 17:13:33,0x05e4d061dbd63a9ba734f04a20caec1c33c89b9a,0xdd64f9641b57ef7942db6ec2508fd940c616dd59,17258622.6082265861,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xb4738e36370459a4948a8b06ef176f02ba481306c3e64a92c01391c1859d8ad6,0xb6f9de95,2025/07/08 01:13:33,2025/07/07 17:13:33,0x05e4d061dbd63a9ba734f04a20caec1c33c89b9a,0x4002669a706af67a06181f23ff6060f9e52c2b26,16624855.4291908462,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xbac90568662944efabe9339368333fc75b09ea87af124f765dc8ff3e16e209c6,0xb6f9de95,2025/07/08 01:13:33,2025/07/07 17:13:33,0x05e4d061dbd63a9ba734f04a20caec1c33c89b9a,0xbf63c34440f4ba764ee32aeb2bbb441cf7ea74dc,16025381.9427736774,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xad5534973e62290dc46e07e8726ca3cd0280892c416438354fde854e89b6951a,0xb6f9de95,2025/07/08 01:13:33,2025/07/07 17:13:33,0x05e4d061dbd63a9ba734f04a20caec1c33c89b9a,0xea677bcb461efef0b5d4ade034f447a5b4331fcf,15457771.2994463965,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xdcf6aa3d90091a0d62428177cc5d67218ab8071e91b506d35ac89bc77c62aafb,0xb6f9de95,2025/07/08 01:13:33,2025/07/07 17:13:33,0x05e4d061dbd63a9ba734f04a20caec1c33c89b9a,0x8751647c6fc745d39b896c66819ea1a411380d55,14919804.3067815173,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x3badefa154c1fca651f68c2319bacde435b0de066681acec6ee21e4883acf52f,0xb6f9de95,2025/07/08 01:13:33,2025/07/07 17:13:33,0x05e4d061dbd63a9ba734f04a20caec1c33c89b9a,0x6864badcf119e4a961c0472c6e38be49ca12ffa7,14409451.6912552305,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xbf374250c6c29a53cc3b146c79aa921020aaa8017877750b7bc6deeb3f7389f6,0xb6f9de95,2025/07/08 01:13:33,2025/07/07 17:13:33,0x05e4d061dbd63a9ba734f04a20caec1c33c89b9a,0x5df322f642389b9d4c8b1a137486030346ffb1e9,13924854.9210683592,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
