tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x02227ea87c729c663158a7805fa6836664ab682233bb1d07be2ee887842374c8,0xa9059cbb,2025/04/09 21:04:31,2025/04/09 13:04:31,0x12eacad984b0331c41d32acb4ecd6d13b18f0f52,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,100000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0xce4ad4af228092c0a61d64c0162c5930cd98a2d9fc02fd9f7a3a14ed877f069b,0xf305d719,2025/04/09 21:04:49,2025/04/09 13:04:49,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,0xe79a02b25fbccb6fe2dd5b793484ebe42a3a260b,100000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x752e70627b16c384ed283a166a613ffbf423a7668c3a02946408405c45274732,0x7ff36ab5,2025/04/09 21:08:25,2025/04/09 13:08:25,0xe79a02b25fbccb6fe2dd5b793484ebe42a3a260b,0xe7edc5d3f9416c296fc5bc8e8094830cfd3f19f8,79736.3703764300,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x20b1f06d73a88c2ac31b89491e20b2b2499c773f1d28abdd1a3709e0a474c336,0x7ff36ab5,2025/04/09 21:10:49,2025/04/09 13:10:49,0xe79a02b25fbccb6fe2dd5b793484ebe42a3a260b,0x0395f37fee3c6d9532d6a5935302bbd6d249e52e,159091.5573813900,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xb02d8fb10dde02d62632f63791c90c8485e75b6ef66fdf54d8b229ee41adb4b5,0x7ff36ab5,2025/04/09 21:15:22,2025/04/09 13:15:22,0xe79a02b25fbccb6fe2dd5b793484ebe42a3a260b,0xda5eeef71ce9892b79b0215e771153f84930a653,592105.8076551800,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x42eaa0146f11085493a2587a0a9029931f54542ab924f687c991e995cd5c486a,0x7ff36ab5,2025/04/09 21:16:13,2025/04/09 13:16:13,0xe79a02b25fbccb6fe2dd5b793484ebe42a3a260b,0xfea61866bf6a646427f28f6a2d4bb91d2b8d2d4c,273913.2906151300,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xb766af2e48238d810cee9355a99fb74669431acc4837d3aa5ed5d1b9a765389a,0x7ff36ab5,2025/04/09 21:16:40,2025/04/09 13:16:40,0xe79a02b25fbccb6fe2dd5b793484ebe42a3a260b,0xc80f68042099aa38b561a3f0d064c4e1834f9345,85774.2016281200,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xa9f6b8cf5c8ef863c9759bf942f7fd15ba2c8c614dd99c28901814ab8dd0593e,0x7ff36ab5,2025/04/09 21:19:13,2025/04/09 13:19:13,0xe79a02b25fbccb6fe2dd5b793484ebe42a3a260b,0xe49fbb8ef0728cd8ae3be5fea655ada3b8170c98,46723.1439361300,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xc8ad08cbcdb49f94ac7192a921091a4a012e283c9b3d8e3e066361f96f055fba,0x7ff36ab5,2025/04/09 21:25:07,2025/04/09 13:25:07,0xe79a02b25fbccb6fe2dd5b793484ebe42a3a260b,0xe948af1c4eb6f7c3b65d26a6c7b353cca5c7905a,2281117.1980164698,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x8e5fef5384a8e55a60fa9a907bab2ce201288f94eb4b05725220928cdc4b62ac,0x18cbafe5,2025/04/09 21:27:40,2025/04/09 13:27:40,0xda5eeef71ce9892b79b0215e771153f84930a653,0xe79a02b25fbccb6fe2dd5b793484ebe42a3a260b,592105.8076551800,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
