tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x72fc02a23db9a72f399216840a8bd6fcf7be447ac1dbe686c9db301c2196bbb6,0xa9059cbb,2025/04/09 21:39:01,2025/04/09 13:39:01,0xbfea9a5a24a44cce53055a1e2536d00c8342d95e,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,1000000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x1577fcddc8b1369d5c398e3c76359182d841a35ede53a3453c470ab233d2ec00,0xf305d719,2025/04/09 21:40:07,2025/04/09 13:40:07,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,0xf9ca55b869ece40b0dccab5467c7b21301dd50c6,1000000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0xcda69f61d1fa766915f9a9797043ed8e92de9597fdae81c4292156ecf990c2d4,0x7ff36ab5,2025/04/09 21:41:28,2025/04/09 13:41:28,0xf9ca55b869ece40b0dccab5467c7b21301dd50c6,0x24815d90f2426c875db55a265e500e4130b63d96,90702432.3709934056,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x571b0894a980ea77911963d71f7cdb7d2966a6db8c5b91278cc13def5d2b5302,0x7ff36ab5,2025/04/09 21:48:25,2025/04/09 13:48:25,0xf9ca55b869ece40b0dccab5467c7b21301dd50c6,0x0395f37fee3c6d9532d6a5935302bbd6d249e52e,16197586.0299108699,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xc3944e06533c9768c265c644b374798ae022e0213063ff324d091fa83b93931d,0x7ff36ab5,2025/04/09 21:49:37,2025/04/09 13:49:37,0xf9ca55b869ece40b0dccab5467c7b21301dd50c6,0x82e1eaac54e9207d5c0c437156c3c2f6a13ca3e6,50716736.2644302025,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x3e11f7c384d0dbb03e4749b5e84b503d2fe269f519d4cc666e212f10cbabc37e,0x7ff36ab5,2025/04/09 21:51:13,2025/04/09 13:51:13,0xf9ca55b869ece40b0dccab5467c7b21301dd50c6,0x764ad4f30a5d124fa53a7cbb33c82e687450939b,19355971.5039507113,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xc2589ad0a784419782008f8bb855688e48637d0616f109e49cd34a3ecdf037e1,0x7ff36ab5,2025/04/09 21:52:52,2025/04/09 13:52:52,0xf9ca55b869ece40b0dccab5467c7b21301dd50c6,0xc4a32e4444da8bf4b356dee1af3468464c94fb4b,8025315.4343570201,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x373049ccfd5a5a92365344004d2096cefa922ccd0b79867e9748d629a0579dec,0x18cbafe5,2025/04/09 21:54:31,2025/04/09 13:54:31,0x24815d90f2426c875db55a265e500e4130b63d96,0xf9ca55b869ece40b0dccab5467c7b21301dd50c6,90702432.3709934056,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x21c147b64b5381bfc3503cfc4bcdf4f2d69b00817c327b4a28be098ae1f7282c,0x7ff36ab5,2025/04/09 21:57:10,2025/04/09 13:57:10,0xf9ca55b869ece40b0dccab5467c7b21301dd50c6,0xb2e01592574723c9b2d6542ea0a089459b1a0bdb,8103236.2783945296,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x2a481b111143c5ebcb1748ecdec9264cd883d72350892af2e46cb927f921185d,0x7ff36ab5,2025/04/09 21:58:37,2025/04/09 13:58:37,0xf9ca55b869ece40b0dccab5467c7b21301dd50c6,0xe948af1c4eb6f7c3b65d26a6c7b353cca5c7905a,10162732.3639555201,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
