tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x997a52145185a93936b477c3215eaa5d88864457e6c86fecb933a777d5e91c23,0x60806040,2025/04/09 00:03:22,2025/04/08 16:03:22,0x0000000000000000000000000000000000000000,0xed75e3ce8673410593167a93d2798aa2d10f9cb4,4900000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x15f9594148d0f97a091b00b8c6efddffe5992930f852b2f79c16be35988eff7c,0xf305d719,2025/04/09 00:03:43,2025/04/08 16:03:43,0xed75e3ce8673410593167a93d2798aa2d10f9cb4,0x2ac46bc058dba8cc7bafa5438e0ccd4e12df0a84,4900000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x134c2c0a26842ea104cbabc02916cd107588cbc65f784206e3628e3cf3e2d85b,0x7ff36ab5,2025/04/09 00:04:07,2025/04/08 16:04:07,0x2ac46bc058dba8cc7bafa5438e0ccd4e12df0a84,0xfbc84d40a37e43fa7d002d5c0029a95b6c48f50c,184181747.0430039167,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x3d585284529e3835b7e5083d26729eeb9dc5d684ee9f50938938f11fd37e04ee,0x7ff36ab5,2025/04/09 00:04:55,2025/04/08 16:04:55,0x2ac46bc058dba8cc7bafa5438e0ccd4e12df0a84,0xc85e26a15afed3cd8d2e8f6e93cf90ad273c5b9a,140579129.5028325617,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x9e042ef05dbfa1aae4eadf45d48c1f150439b9faf19f1bce39c6fb9c82455470,0x7ff36ab5,2025/04/09 00:06:16,2025/04/08 16:06:16,0x2ac46bc058dba8cc7bafa5438e0ccd4e12df0a84,0x155384f5c0c2dc50f064d8f0ce5c4e44a0d9c3a8,162877423.0075546503,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x2aebfa9c1b300a9a260a64482637e8305e09ba85c054a072bd0da3e4aa278473,0xdad12b6c,2025/04/09 00:06:40,2025/04/08 16:06:40,0x2ac46bc058dba8cc7bafa5438e0ccd4e12df0a84,0xb300000b72deaeb607a12d5f54773d1c19c7028d,1177209.1404626505,SUCCESS,"proxySwap(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,bytes callData)"
0x2aebfa9c1b300a9a260a64482637e8305e09ba85c054a072bd0da3e4aa278473,0xdad12b6c,2025/04/09 00:06:40,2025/04/08 16:06:40,0xb300000b72deaeb607a12d5f54773d1c19c7028d,0x68285a363f4e2ef4dca8b7a4e08e3159590e6c68,1177209.1404626505,SUCCESS,"proxySwap(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,bytes callData)"
0x1cad5fae63405fb7b57c35e2255e47c5d7e182782d38a1af25a1cd3cefd9b97d,0x7ff36ab5,2025/04/09 00:07:16,2025/04/08 16:07:16,0x2ac46bc058dba8cc7bafa5438e0ccd4e12df0a84,0x990dfe4fcc74ef9da93eaf81345d5e28d5ef6b72,156962094.3887614012,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe1df9cee36c3ea853d4a6545bada0bc6813aa2bcc00d53ceb1880c095fcac892,0x7ff36ab5,2025/04/09 00:08:43,2025/04/08 16:08:43,0x2ac46bc058dba8cc7bafa5438e0ccd4e12df0a84,0x11201a12d7697bed7e92948bf24c742cd099c87f,120981079.4615362883,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x954cfdfad42d307946773ef131c5598a59d9b042248e0d0b4ebef8ea37ead503,0x7ff36ab5,2025/04/09 00:09:28,2025/04/08 16:09:28,0x2ac46bc058dba8cc7bafa5438e0ccd4e12df0a84,0xfbc84d40a37e43fa7d002d5c0029a95b6c48f50c,99953823.9361136258,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
