tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xf140f864d1d27b37aa5943aa18c953535a748df15eb36135c3eb6bbb678be98a,0x60806040,2025/04/08 22:15:46,2025/04/08 14:15:46,0x0000000000000000000000000000000000000000,0xc8def7732f8d2fc1cd3eb449d254f9a07e93146e,6600000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0xb1574a4c692069d9b753d6eea8237a9041ab72dffe2f6b5be7694a95e9640074,0xf305d719,2025/04/08 22:16:10,2025/04/08 14:16:10,0xc8def7732f8d2fc1cd3eb449d254f9a07e93146e,0x4946fdfe4767287e4058d3c54a10456f61f0d0a9,6600000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x72e4aec13b98037e3a4f16153d0646a4621b60f4ba224d531fb59f8887930e6c,0x7ff36ab5,2025/04/08 22:16:31,2025/04/08 14:16:31,0x4946fdfe4767287e4058d3c54a10456f61f0d0a9,0xfbc84d40a37e43fa7d002d5c0029a95b6c48f50c,158836173.0086216927,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x60465507541f8e93c62fac6772349976676821059ad030854be04539e864ac42,0x7ff36ab5,2025/04/08 22:17:46,2025/04/08 14:17:46,0x4946fdfe4767287e4058d3c54a10456f61f0d0a9,0xc85e26a15afed3cd8d2e8f6e93cf90ad273c5b9a,84356893.4604935497,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x59f660b8ffa26b25b7da9e09ed1f04862d8e4d4a07e2196724aa3d1d57a54cd3,0x7ff36ab5,2025/04/08 22:18:37,2025/04/08 14:18:37,0x4946fdfe4767287e4058d3c54a10456f61f0d0a9,0x155384f5c0c2dc50f064d8f0ce5c4e44a0d9c3a8,150792469.2794334888,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x3f08165d8793ce12222fb16ed9afa3659360ed9181c7920207fa1730ad5120f0,0x7ff36ab5,2025/04/08 22:19:34,2025/04/08 14:19:34,0x4946fdfe4767287e4058d3c54a10456f61f0d0a9,0x990dfe4fcc74ef9da93eaf81345d5e28d5ef6b72,213146011.1293182671,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xaf66471568e96939ce566ab071166fc42918f199917d8f721d50304e31b4591e,0x7ff36ab5,2025/04/08 22:21:07,2025/04/08 14:21:07,0x4946fdfe4767287e4058d3c54a10456f61f0d0a9,0x11201a12d7697bed7e92948bf24c742cd099c87f,60489670.1789748147,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x86f9c6b8ed7c343f5a17414b1be5a4fd5feff4a168be63b873cd3942517999e8,0x7ff36ab5,2025/04/08 22:22:13,2025/04/08 14:22:13,0x4946fdfe4767287e4058d3c54a10456f61f0d0a9,0xfbc84d40a37e43fa7d002d5c0029a95b6c48f50c,55553117.7456911132,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x1b237e1a770fbbda571c9836026853a89528d4e236b033500e0f7b59e58defdf,0x7ff36ab5,2025/04/08 22:23:28,2025/04/08 14:23:28,0x4946fdfe4767287e4058d3c54a10456f61f0d0a9,0xc85e26a15afed3cd8d2e8f6e93cf90ad273c5b9a,173254305.3512499630,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x67c52bf84f242eda4f90001c6474db0b63bf5c51072d90c6a43fa9958c423628,0x7ff36ab5,2025/04/08 22:24:40,2025/04/08 14:24:40,0x4946fdfe4767287e4058d3c54a10456f61f0d0a9,0x155384f5c0c2dc50f064d8f0ce5c4e44a0d9c3a8,97064994.5648775399,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xa0618c3d166eacbc8d1cd87d3ec7cf8a0f0605b03cba986971e05e36b536887f,0x7ff36ab5,2025/04/08 22:25:16,2025/04/08 14:25:16,0x4946fdfe4767287e4058d3c54a10456f61f0d0a9,0x990dfe4fcc74ef9da93eaf81345d5e28d5ef6b72,153902062.1710635424,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
