tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x104d534a855c27487efba0fc91e6caa20d7c24b4df80a46b5db63cf11270749c,0x5c44b8e8,2025/07/08 14:41:00,2025/07/08 06:41:00,0x0000000000000000000000000000000000000000,0x06a817b7d7025c6408484fbee28666211f0dc087,10000000000.0000000000,SUCCESS,"burn(string _name,string _symbol,uint8 _decimal,uint256 _totalSupply,address _to)"
0xc41bbd9d09fd05fc3904efadb9a5cbea10ea8c9305c81a1a7757dc99613b0f85,0xa9059cbb,2025/07/08 15:03:25,2025/07/08 07:03:25,0x06a817b7d7025c6408484fbee28666211f0dc087,0x7c4121020f783b548d6853da2e52b7df586a2b3a,5000000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x52d30dcc6ed124c4802a75f9b6aeffa74b9dd137c891e32a36d2d26a1a9d6866,0xe8e33700,2025/07/08 15:08:45,2025/07/08 07:08:45,0x7c4121020f783b548d6853da2e52b7df586a2b3a,0xb72c68c04f3ac59856402aa29f06419a679e0659,10000.0000000000,SUCCESS,"addLiquidity(address tokenA, address tokenB, uint256 amountADesired, uint256 amountBDesired, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)"
0x092a1b23d2968a6917a82ec2ad679fde41d63ee0a40235cec7dd47d2c1457d37,0xe8e33700,2025/07/08 15:12:33,2025/07/08 07:12:33,0x7c4121020f783b548d6853da2e52b7df586a2b3a,0xb72c68c04f3ac59856402aa29f06419a679e0659,1255219049.1229209900,SUCCESS,"addLiquidity(address tokenA, address tokenB, uint256 amountADesired, uint256 amountBDesired, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)"
0xbe7e18e609413124e7d57dad0be04ca1bf94761817f88bf75021516b440dae25,0x3593564c,2025/07/08 15:26:19,2025/07/08 07:26:19,0xb72c68c04f3ac59856402aa29f06419a679e0659,0x1543f36f4436f2d4360099e58eee06f84af73c5f,1203348.4088744384,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xab3d0816706df22eca07c64bbdd9018578cc6d7124fd76244d77eb3b8ba8c530,0x3593564c,2025/07/08 15:39:56,2025/07/08 07:39:56,0xb72c68c04f3ac59856402aa29f06419a679e0659,0x1543f36f4436f2d4360099e58eee06f84af73c5f,1521852.4699025759,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xca824a1e16a4e3940268ebfa68010703ef289f3e8066937feb8a4f12fea25f30,0xa9059cbb,2025/07/08 15:40:52,2025/07/08 07:40:52,0x06a817b7d7025c6408484fbee28666211f0dc087,0xcd0a5aa2a794221a4318b1266694cdbde7bb28b0,1000000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x86238b3deaf62edd3401086f6e3a68e1daebba9d31561bf719d9211c7d3b8e97,0xa9059cbb,2025/07/08 15:42:24,2025/07/08 07:42:24,0xcd0a5aa2a794221a4318b1266694cdbde7bb28b0,0x0bd3d95003d1a75594579046beb26887871f66ac,10000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x917bb08518a64b9eb133aafdb95c309f830eef893853b42a290c81fbf84a3cf3,0xa9059cbb,2025/07/08 15:55:28,2025/07/08 07:55:28,0xcd0a5aa2a794221a4318b1266694cdbde7bb28b0,0x0bd3d95003d1a75594579046beb26887871f66ac,90000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x389ce72d63ea335a900a91b7e125c6cb5c2ab0e10815676b565fc484359c1b11,0xa9059cbb,2025/07/08 16:46:31,2025/07/08 08:46:31,0x06a817b7d7025c6408484fbee28666211f0dc087,0x7c4121020f783b548d6853da2e52b7df586a2b3a,4000000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0xfd76f2a63f0aea1038e510562741583f471df0d460f9d60c7bdda44599c15d16,0xa9059cbb,2025/07/08 16:50:22,2025/07/08 08:50:22,0xcd0a5aa2a794221a4318b1266694cdbde7bb28b0,0x7c4121020f783b548d6853da2e52b7df586a2b3a,900000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x2dea433a80ae1f0bbcd48d07a2d0e0a21e9aed5275fb51d30fd7c43f8c20c709,0xa9059cbb,2025/07/08 18:15:49,2025/07/08 10:15:49,0xcd0a5aa2a794221a4318b1266694cdbde7bb28b0,0xbfb712e85a42c48c87e8fb011eb991cc66cbd56a,800000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
