tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xa9f49efafe30c25e3fbd38b8e3f0e298d10b9c16120aad7df20baa8a1b6f498b,0xa9059cbb,2025/04/08 22:26:07,2025/04/08 14:26:07,0xc881b5d9df5fdea50b9883e90791c6e3d6d2bbb4,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,100000000000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x7521b8f3696f6bd740a5e3dc0fceb8cb3004e2d9a79a60aceaa8b8e0722b2a6e,0xf305d719,2025/04/08 22:27:28,2025/04/08 14:27:28,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,0x0e24eb50cde80aefcf6e7c2926f38ffde64e6911,100000000000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x96d8b161c8b4e37b43595014512825226460124234690177beb73aed3d76d1ee,0x7ff36ab5,2025/04/08 22:30:16,2025/04/08 14:30:16,0x0e24eb50cde80aefcf6e7c2926f38ffde64e6911,0x072c4773ca110cd767c836063e762248ff6bfebb,331398101313.1338500977,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xaaad8b8a5e1e271654effbc8a9f73ed7a673551b341d4b0e42cd1a345eb2a3f7,0x7ff36ab5,2025/04/08 22:31:37,2025/04/08 14:31:37,0x0e24eb50cde80aefcf6e7c2926f38ffde64e6911,0xe948af1c4eb6f7c3b65d26a6c7b353cca5c7905a,1078189337371.1330566406,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xdf36f78982858375c9f0dd0cf2f256274510c11a450655953e4940104407a0e4,0x7ff36ab5,2025/04/08 22:32:25,2025/04/08 14:32:25,0x0e24eb50cde80aefcf6e7c2926f38ffde64e6911,0xe7edc5d3f9416c296fc5bc8e8094830cfd3f19f8,193527885240.3257751465,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe3cfcd9ea91993c16a08891ab2a896c2b27cc7c67b1fff3a422a133ca1853e9c,0x7ff36ab5,2025/04/08 22:34:28,2025/04/08 14:34:28,0x0e24eb50cde80aefcf6e7c2926f38ffde64e6911,0xc4a32e4444da8bf4b356dee1af3468464c94fb4b,766569285161.8466796875,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x95dfb44e74e08e991fd56108bcfcb2ef22db9f12c3c76960daaff2639b6ebe06,0x7ff36ab5,2025/04/08 22:38:52,2025/04/08 14:38:52,0x0e24eb50cde80aefcf6e7c2926f38ffde64e6911,0x764ad4f30a5d124fa53a7cbb33c82e687450939b,252870812799.6579589844,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xc20d409dae754bc03a85d5f3d75317d7550cbcf9acef04512af9ce242d9dcb97,0x7ff36ab5,2025/04/08 22:42:25,2025/04/08 14:42:25,0x0e24eb50cde80aefcf6e7c2926f38ffde64e6911,0xfea61866bf6a646427f28f6a2d4bb91d2b8d2d4c,576657464034.9901123047,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x86ee6fb7c3c17f9a39373148ae8150fe58f72e6db44dc9dce0e9dcea5ca3c8a0,0x7ff36ab5,2025/04/08 22:44:13,2025/04/08 14:44:13,0x0e24eb50cde80aefcf6e7c2926f38ffde64e6911,0x3cf8dabcaa1da7f24b20cc2dccadc8c16285953c,5853998917596.3935546875,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x44d45fbb9c6c0046a95e28f6c964fc4d4a3ddbb9e548bf3b680428c00e16ab4f,0xa9059cbb,2025/04/08 22:44:49,2025/04/08 14:44:49,0xc881b5d9df5fdea50b9883e90791c6e3d6d2bbb4,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,0.0000000100,SUCCESS,"transfer(address dst, uint256 amount)"
0x184ca8ca59f00c95cfe33865d53f4eeb8b4f2510fbab910910055788b39246db,0x0938b20b,2025/04/08 22:46:13,2025/04/08 14:46:13,0x0e24eb50cde80aefcf6e7c2926f38ffde64e6911,0x6263d4bc71b58c30a45fef7a36a14228580dbb95,19422883267.6894760132,SUCCESS,
0xc8a8afa834cfb7c1d3d593b69efe423d1de8add6676616eca40e01b3130cd0ac,0x18cbafe5,2025/04/08 22:48:28,2025/04/08 14:48:28,0xc881b5d9df5fdea50b9883e90791c6e3d6d2bbb4,0x0e24eb50cde80aefcf6e7c2926f38ffde64e6911,10000000000000000000.0000000000,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe0bd8bed9279ea8ca22b08c05ece883440d8ad40e1bf82cee3808b8135958e99,0xb6f9de95,2025/04/08 22:48:31,2025/04/08 14:48:31,0x0e24eb50cde80aefcf6e7c2926f38ffde64e6911,0xf809a4156b5abd7b74a94d8a99c93ccbdadb7d07,621947954205776768.0000000000,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
