tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x21d2a41c031891a00b21621afecb2f5d57ba416454613785d8b760aaa0d7dcbe,0xa9059cbb,2025/06/06 13:09:33,2025/06/06 05:09:33,0x1b3f0da058667388406f73c5f64700a759dfa193,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,1000000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x3a8b19f328e75516bdace3b6c34faf6244b0d7788a87b9f2dbbff170d0b6773b,0xf305d719,2025/06/06 13:10:31,2025/06/06 05:10:31,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,0x5c30d2923148bec4654bde008c85c551dc42167d,1000000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x18380b2f370c97d22d33d94277a5ec329a01968354dbc0c0b8876e96a552930f,0x7ff36ab5,2025/06/06 13:14:42,2025/06/06 05:14:42,0x5c30d2923148bec4654bde008c85c551dc42167d,0xec9c81ad45a5508c25439eb60bd19ccb18665daf,27171110.8733084910,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x8a570a953bcc594aa869a093784d29986cd15e311ded53dcf0ba6f81875f420b,0x7ff36ab5,2025/06/06 13:17:42,2025/06/06 05:17:42,0x5c30d2923148bec4654bde008c85c551dc42167d,0x764ad4f30a5d124fa53a7cbb33c82e687450939b,7493556.3767939499,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xc68483ff7d7ce74d290f6aaa27ea039c293c87d539a3b1f2c459ffd19c7dda6d,0x18cbafe5,2025/06/06 13:18:46,2025/06/06 05:18:46,0xec9c81ad45a5508c25439eb60bd19ccb18665daf,0x5c30d2923148bec4654bde008c85c551dc42167d,27171110.8733084910,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x7716881a535974b58a85b0a51ac2d1b18e9073374ec02975d92cda4ee8092798,0x7ff36ab5,2025/06/06 13:20:06,2025/06/06 05:20:06,0x5c30d2923148bec4654bde008c85c551dc42167d,0xe948af1c4eb6f7c3b65d26a6c7b353cca5c7905a,129802726.3834673762,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xa838db25d9cb3509e95468ab22601df0980159308c0e65090ff9e3c4e8df1910,0x7ff36ab5,2025/06/06 13:25:54,2025/06/06 05:25:54,0x5c30d2923148bec4654bde008c85c551dc42167d,0x424fca1b4fa56c9617193458f6b4394cadc6f0c2,21701169.0381138287,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xaa3bb587032fdc08c381059028b0b86e728251bc288611669d7c5b54e0cc6475,0x7ff36ab5,2025/06/06 13:38:30,2025/06/06 05:38:30,0x5c30d2923148bec4654bde008c85c551dc42167d,0xc7c2c571cf792d9eea1550732f6889187d4d773a,60226437.0103772506,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe403943fa91b972c62aa9cbb136bb9bf390b441e4cebd751c5924c21a1f7dc37,0x7ff36ab5,2025/06/06 13:42:42,2025/06/06 05:42:42,0x5c30d2923148bec4654bde008c85c551dc42167d,0x1de4986946f0d8787340d9c97e34aff314ead72b,23572032.3150390796,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe27c565112092720a709ce747d293d985676bd28caa01294be56161a69ffe544,0x7ff36ab5,2025/06/06 13:45:28,2025/06/06 05:45:28,0x5c30d2923148bec4654bde008c85c551dc42167d,0x2f4d3e17b82f4cacaf76b8868d1ba59e62d79f41,7916879.0266952002,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x50e8f13a6fcfbeb7fce12463fb3dbb8dc569bbb592d3f5aa51f80d5cf4df8870,0x18cbafe5,2025/06/06 13:47:07,2025/06/06 05:47:07,0xe948af1c4eb6f7c3b65d26a6c7b353cca5c7905a,0x5c30d2923148bec4654bde008c85c551dc42167d,129802726.3834673762,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xfb0ec4b51fa23f0034935a9215cc8a81618ddfc1cd73466e6a1e5d53a6ddbb6c,0x7ff36ab5,2025/06/06 13:48:51,2025/06/06 05:48:51,0x5c30d2923148bec4654bde008c85c551dc42167d,0x82e1eaac54e9207d5c0c437156c3c2f6a13ca3e6,1537196.9359974100,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
