tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x130613f338967bc6706b4191a71526a44a5cb48e5959a2ed5c2166b052ca5587,0x809b11b1,2024/04/08 16:29:14,2024/04/08 08:29:14,0x0000000000000000000000000000000000000000,0x0062777360215ba920b6b501cff00268586da644,1000000000.0000000000,SUCCESS,
0x1bfd56847d6d61191ba9805e566eb20837beaf86b10ad8979e308d433bf95f6d,0xa9059cbb,2024/04/08 16:49:17,2024/04/08 08:49:17,0x0062777360215ba920b6b501cff00268586da644,0x000000000000000000000000000000000000dead,700000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x2fc9490ff6c91f621b675e366baf84570f88d73b1d3f9d9a63941f15ff39361b,0xa9059cbb,2024/04/08 16:49:44,2024/04/08 08:49:44,0x0062777360215ba920b6b501cff00268586da644,0x9ad35ff3c1cb8e114a5a27c09ef9f738b1728082,40000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x6c22bc55fa2b5d62b8cdfbb53a64cd7a2e184fa10f972b490cf551d397f4d73e,0x07279357,2024/04/08 16:50:58,2024/04/08 08:50:58,0x0062777360215ba920b6b501cff00268586da644,0x407993575c91ce7643a4d4ccacc9a98c36ee1bbe,240000000.0000000000,SUCCESS,"lock(address owner, address token, bool isLpToken, uint256 amount, uint256 unlockDate, string description)"
0xe6c0b562057181ef48662541c3c21bdcac9bf32f2e58c394689343b5be28ddce,0xe8e33700,2024/04/08 17:19:12,2024/04/08 09:19:12,0x0062777360215ba920b6b501cff00268586da644,0xed704427efb384930be0d185b0180ed9d1a2f46d,20000000.0000000000,SUCCESS,"addLiquidity(address tokenA, address tokenB, uint256 amountADesired, uint256 amountBDesired, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)"
0x52f508283fe30ffc053262aa060899b19d6abcd34d55ccecd162a87842b35368,0x4da5ea01,2024/04/08 17:20:48,2024/04/08 09:20:48,0xed704427efb384930be0d185b0180ed9d1a2f46d,0x9ad35ff3c1cb8e114a5a27c09ef9f738b1728082,20.0000000000,SUCCESS,
0x52f508283fe30ffc053262aa060899b19d6abcd34d55ccecd162a87842b35368,0x4da5ea01,2024/04/08 17:20:48,2024/04/08 09:20:48,0x9ad35ff3c1cb8e114a5a27c09ef9f738b1728082,0xed704427efb384930be0d185b0180ed9d1a2f46d,20.0000000000,SUCCESS,
0x8eaf708f24156784d9141989cc597bbb266727974a1c8993023ff0ed5baaa47a,0xb6f9de95,2024/04/08 17:24:00,2024/04/08 09:24:00,0xed704427efb384930be0d185b0180ed9d1a2f46d,0xbd38c47348f7d107528b0a8a5837ab0913625478,15947.2899700250,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xc6db64f42b5c2662eabb19fb534a0678ad0d3f2acdde167aeaf8621ed74c620b,0xc2636142,2024/04/08 17:24:48,2024/04/08 09:24:48,0xbd38c47348f7d107528b0a8a5837ab0913625478,0x038d0155755af8273b5624310f96016760689666,41.6069657900,SUCCESS,"Ox7c025200(address[] receivers,uint256[] amounts)"
0xc6db64f42b5c2662eabb19fb534a0678ad0d3f2acdde167aeaf8621ed74c620b,0xc2636142,2024/04/08 17:24:48,2024/04/08 09:24:48,0xbd38c47348f7d107528b0a8a5837ab0913625478,0x7c680f4e9c6baf45c414cff555a3bac7e00bfc50,22.9467850550,SUCCESS,"Ox7c025200(address[] receivers,uint256[] amounts)"
0xc6db64f42b5c2662eabb19fb534a0678ad0d3f2acdde167aeaf8621ed74c620b,0xc2636142,2024/04/08 17:24:48,2024/04/08 09:24:48,0xbd38c47348f7d107528b0a8a5837ab0913625478,0xcd7d85172fe10fe9bed16096aaa35c1ef3be1cde,11.4028297770,SUCCESS,"Ox7c025200(address[] receivers,uint256[] amounts)"
0xc6db64f42b5c2662eabb19fb534a0678ad0d3f2acdde167aeaf8621ed74c620b,0xc2636142,2024/04/08 17:24:48,2024/04/08 09:24:48,0xbd38c47348f7d107528b0a8a5837ab0913625478,0xff73cd153b166b064f3f7aab2384686df3c38142,24.0944815790,SUCCESS,"Ox7c025200(address[] receivers,uint256[] amounts)"
0xc6db64f42b5c2662eabb19fb534a0678ad0d3f2acdde167aeaf8621ed74c620b,0xc2636142,2024/04/08 17:24:48,2024/04/08 09:24:48,0xbd38c47348f7d107528b0a8a5837ab0913625478,0xb953f561419bfa5878316f30af16212033d02d6d,27.3261555450,SUCCESS,"Ox7c025200(address[] receivers,uint256[] amounts)"
