tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xe091b31107bcd1144d8817b010d23536ba84fc55436ded54cd8d9c3fd6fde738,0x60806040,2025/07/08 20:25:49,2025/07/08 12:25:49,0x0000000000000000000000000000000000000000,0x171895b158382aefefd3171834a2dcd6b72974b1,1000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0xcedf12fe8ce8f6a56cf87b6d4c1a4c71dfc4ee0b77d1bbfe2f1c33e38ee808ec,0xf305d719,2025/07/08 20:25:56,2025/07/08 12:25:56,0x171895b158382aefefd3171834a2dcd6b72974b1,0xe23053986c264cd7cdc77496fc89d0b86f0dd9c3,1000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x3a30df1510897208ca8638eaa72cb300304fac177751393c2c03fc8d08b2bc0f,0x38ed1739,2025/07/08 20:26:08,2025/07/08 12:26:08,0xe23053986c264cd7cdc77496fc89d0b86f0dd9c3,0x874f112d6b1d68fb6a546104e7742d90d84252a7,13566.4514196736,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x796dab4b5a997968316d7d53c09c004043344b089b8f2cc18b7da5e726c87b64,0x38ed1739,2025/07/08 20:26:27,2025/07/08 12:26:27,0xe23053986c264cd7cdc77496fc89d0b86f0dd9c3,0xb4c19942f5a7fec3a2fd69cb48745c27a7ef5d29,5429.4933025022,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x4f118313b0e2ab27f8df5317f7a4d4c46be1c7f8261393fb5d9cb963a9ac831e,0x38ed1739,2025/07/08 20:26:47,2025/07/08 12:26:47,0xe23053986c264cd7cdc77496fc89d0b86f0dd9c3,0x1bad23f2831f4557837ac8032a2a84109142c375,26592.6908327751,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xf84a2b57feac06274374833b9829ba50384b9969f6eaca51d74689caf95a6606,0x38ed1739,2025/07/08 20:27:03,2025/07/08 12:27:03,0xe23053986c264cd7cdc77496fc89d0b86f0dd9c3,0xc4d05f8d65107e5689fba98c7df0de1cf7344554,9378.2399324699,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x096d4b66fee5e107739c272a752d3f1e57aa2147e3bac6e128e694f65e069bf3,0x5c11d795,2025/07/08 20:27:21,2025/07/08 12:27:21,0xb4c19942f5a7fec3a2fd69cb48745c27a7ef5d29,0xe23053986c264cd7cdc77496fc89d0b86f0dd9c3,3193.8195897072,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x954d75c56e790626eae38116aab4efc151cfb79287a1292e9e4cd22b3a64f079,0x5c11d795,2025/07/08 20:27:46,2025/07/08 12:27:46,0xc4d05f8d65107e5689fba98c7df0de1cf7344554,0xe23053986c264cd7cdc77496fc89d0b86f0dd9c3,5516.6117249823,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x1832af1d9631a2aa5bc826a81c8bfbfc8482b348c52ca69496a6a7f1d843b17f,0x38ed1739,2025/07/08 20:28:03,2025/07/08 12:28:03,0xe23053986c264cd7cdc77496fc89d0b86f0dd9c3,0x874f112d6b1d68fb6a546104e7742d90d84252a7,13802.2951967339,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xc862a9c277d0cbcdb0ab4ea36579830f7d645cee727b1493e2a2219d8a79225f,0x38ed1739,2025/07/08 20:28:17,2025/07/08 12:28:17,0xe23053986c264cd7cdc77496fc89d0b86f0dd9c3,0xd40a5731d0840af23f7f3c7eb34a46172d336878,9550.0727613155,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
