tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x0f9499f39406637d696fd70ff696128dd635c05fbc8ee58f0d6205c1f7c1641d,0x60806040,2025/04/09 00:10:37,2025/04/08 16:10:37,0x0000000000000000000000000000000000000000,0x78e6893fdc1ccb3595fad13f48c514a3cbae84f1,30000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x0f9499f39406637d696fd70ff696128dd635c05fbc8ee58f0d6205c1f7c1641d,0x60806040,2025/04/09 00:10:37,2025/04/08 16:10:37,0x0000000000000000000000000000000000000000,0xa694170258f1d5a90c2bb03437316ebc0f424444,970000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0xa3a4ee78e567aa223a35588e1939670ee091ecb9c82e45e3b0a4bb48cb578077,0xfb201b1d,2025/04/09 00:10:37,2025/04/08 16:10:37,0xa694170258f1d5a90c2bb03437316ebc0f424444,0x7f20555c13a284d9ccea7ceb62ad31b7d2422f53,970000000.0000000000,SUCCESS,openTrade()
0x05831e2a21069e7cf1561f12be76c3d0bd6b519c309345011a8e6bcfef2c2786,0xb6f9de95,2025/04/09 00:10:37,2025/04/08 16:10:37,0x7f20555c13a284d9ccea7ceb62ad31b7d2422f53,0xa694170258f1d5a90c2bb03437316ebc0f424444,5137869.3554236563,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x05831e2a21069e7cf1561f12be76c3d0bd6b519c309345011a8e6bcfef2c2786,0xb6f9de95,2025/04/09 00:10:37,2025/04/08 16:10:37,0x7f20555c13a284d9ccea7ceb62ad31b7d2422f53,0x19b91a21e238d6a12c65e47cdedab20ed417a0ae,46240824.1988129094,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x3ef2a139ab735bc683d9be9afd470bdb3ad2518d48ea1f3c3bb9883105919441,0xb6f9de95,2025/04/09 00:10:37,2025/04/08 16:10:37,0x7f20555c13a284d9ccea7ceb62ad31b7d2422f53,0xa694170258f1d5a90c2bb03437316ebc0f424444,4657020.9219660684,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x3ef2a139ab735bc683d9be9afd470bdb3ad2518d48ea1f3c3bb9883105919441,0xb6f9de95,2025/04/09 00:10:37,2025/04/08 16:10:37,0x7f20555c13a284d9ccea7ceb62ad31b7d2422f53,0x0b044a164c945886e88ecc2890052d8be7bae76f,41913188.2976946160,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xf967d8caa2609c8b419de5d776c8f04230b24d0148259a69df53496b4f549469,0xb6f9de95,2025/04/09 00:10:37,2025/04/08 16:10:37,0x7f20555c13a284d9ccea7ceb62ad31b7d2422f53,0xa694170258f1d5a90c2bb03437316ebc0f424444,4281395.8655094039,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xf967d8caa2609c8b419de5d776c8f04230b24d0148259a69df53496b4f549469,0xb6f9de95,2025/04/09 00:10:37,2025/04/08 16:10:37,0x7f20555c13a284d9ccea7ceb62ad31b7d2422f53,0x8253f32a72c62cfef210de3448091462975db860,38532562.7895846441,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xc72e1d5a33c216d1ebafe18648a16abaf0de622998fe2b9b4f962cf1a522566b,0xb6f9de95,2025/04/09 00:10:37,2025/04/08 16:10:37,0x7f20555c13a284d9ccea7ceb62ad31b7d2422f53,0xa694170258f1d5a90c2bb03437316ebc0f424444,5889512.1079290491,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
