tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x7b288f94f088d149f96025d33ec337894713ff6ccfe5f472b2a2565ce9e36e2c,0xa9059cbb,2025/07/07 23:39:45,2025/07/07 15:39:45,0x42199ee258e56c831da9fe5113a5dade3aebcf43,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,10000000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x93ad796e9ac35cb829fd429df0cafb70c04ac489d379e05c018acb5df857820a,0xf305d719,2025/07/07 23:40:02,2025/07/07 15:40:02,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,0xf89ce0ab64a022274d7aa6849e064465b6d9e78f,10000000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0xf5ae05cc063f9a3fadbb99f92b0d4993b5a3fbb882975308e27665ae29a5f94b,0xb80c2f09,2025/07/07 23:42:02,2025/07/07 15:42:02,0xf89ce0ab64a022274d7aa6849e064465b6d9e78f,0xf2fba2f1a078091bed5862cd21268aa0b7425325,650020.2757711600,SUCCESS,"smartSwapByOrderId(uint256 orderId,tuple baseRequest,uint256[] batchesAmount,tuple[][] batches,tuple[] extraData)"
0x7ede5620b831f318204b1dcb9ae5314cfbc60e62672abfa20420292fe13d5163,0x7e7c8b25,2025/07/07 23:43:26,2025/07/07 15:43:26,0xf89ce0ab64a022274d7aa6849e064465b6d9e78f,0x85cb24f5ea0475a1a00c98c6f7a93bdb407950a0,661545.1046482900,SUCCESS,
0x42402f20fe0888bc8aa3672462be672fda1dfb28f6a8b0f7968915ba4a2835d7,0x7ff36ab5,2025/07/07 23:44:12,2025/07/07 15:44:12,0xf89ce0ab64a022274d7aa6849e064465b6d9e78f,0x1de4986946f0d8787340d9c97e34aff314ead72b,46322173.4636301324,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xd2a75d58e717a8e5776571e87d6c3227f3e9c41ce3eb8fc15de276053e8c320d,0x088890dc,2025/07/07 23:45:13,2025/07/07 15:45:13,0xf89ce0ab64a022274d7aa6849e064465b6d9e78f,0x1f2d955cc70c8ae5f9e0656c51ce321d69a32873,987909.8320397401,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline, address referrer)"
0xf40f0e47ca5e401bef21984d30c3cd71e6ce975330893c4656260a6b0f47c16c,0x7ff36ab5,2025/07/07 23:45:53,2025/07/07 15:45:53,0xf89ce0ab64a022274d7aa6849e064465b6d9e78f,0xe49fbb8ef0728cd8ae3be5fea655ada3b8170c98,45232791.0405385196,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x9c0d967e95e56e14ac8aec18aa2b8adcb65faa5e8b625724c6a73acf3823f3a6,0xc0ea4b44,2025/07/07 23:47:01,2025/07/07 15:47:01,0xf89ce0ab64a022274d7aa6849e064465b6d9e78f,0x143d48f0f64526aae32ff7b5694ba9199df6f0b1,65059.8594700100,SUCCESS,
0x0dfcc509707fe97a8ced23e4fc2ae155d45329802280e4d780237151251028f6,0x7ff36ab5,2025/07/07 23:47:20,2025/07/07 15:47:20,0xf89ce0ab64a022274d7aa6849e064465b6d9e78f,0xee651ff193635f0a9b5300175d8e9ba9b207f6d9,13033867.5113597605,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x00b1c5a5ac70176748b450710d45e58bb9e78e867ff9c273303ee52e20574077,0x7ff36ab5,2025/07/07 23:50:25,2025/07/07 15:50:25,0xf89ce0ab64a022274d7aa6849e064465b6d9e78f,0xe948af1c4eb6f7c3b65d26a6c7b353cca5c7905a,36312911.6248680502,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xae00a29deec2d1c9611b7382fb8a2988ac2e52825b7bc8fada22b135c9f6303f,0x7ff36ab5,2025/07/07 23:51:26,2025/07/07 15:51:26,0xf89ce0ab64a022274d7aa6849e064465b6d9e78f,0x82e1eaac54e9207d5c0c437156c3c2f6a13ca3e6,28987145.9367236383,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
