tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x7f0d51cc6399cc19d6c37830fc9a63053a48b53088c561a7ccf85c15f3c7c4a6,0x60806040,2025/07/08 19:57:57,2025/07/08 11:57:57,0x0000000000000000000000000000000000000000,0x9d6bc0e25f3a60e55a7d7190eadb1f915a3d8313,1000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x819a3f17533cb0fb9c521343226f10ec7e914baa484114297f0b8379d800185d,0xf305d719,2025/07/08 19:58:03,2025/07/08 11:58:03,0x9d6bc0e25f3a60e55a7d7190eadb1f915a3d8313,0xfa2d89e13d20fcf317971d179f9811eca8ea437f,1000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0xcfbac605ad1ba207a0bb4b3c94f625c391f016066c961a3bd491a4f95570cfc9,0x38ed1739,2025/07/08 19:58:16,2025/07/08 11:58:16,0xfa2d89e13d20fcf317971d179f9811eca8ea437f,0x0271f43a69ab8a3c81f316b1201f0f6aa6dd8292,23118.5706319770,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xd75fd75df1aba7f5a63bb75869e1cb433e08b3b8dcbeefd60fd6fa4f8fee089b,0x38ed1739,2025/07/08 19:58:36,2025/07/08 11:58:36,0xfa2d89e13d20fcf317971d179f9811eca8ea437f,0xa8dd260a0326c7cca644eb7c345d19345d74ae6e,15053.5898537378,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x1e0d0aedcb35261d8db21e7e5931a48ff78ef44afb2b40562fe46dd334f1259a,0x38ed1739,2025/07/08 19:58:48,2025/07/08 11:58:48,0xfa2d89e13d20fcf317971d179f9811eca8ea437f,0x874f112d6b1d68fb6a546104e7742d90d84252a7,11036.6892142233,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x64664e2ed34418d9b8a302704b3b236a645b53a856a597f16abefef9b4a3f77d,0x38ed1739,2025/07/08 19:59:03,2025/07/08 11:59:03,0xfa2d89e13d20fcf317971d179f9811eca8ea437f,0xd40a5731d0840af23f7f3c7eb34a46172d336878,25351.3869689667,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe1306c2494e728771d9bb705bfd4082cca94168686ab0acd74113cdd18cc07e4,0x5c11d795,2025/07/08 19:59:20,2025/07/08 11:59:20,0xd40a5731d0840af23f7f3c7eb34a46172d336878,0xfa2d89e13d20fcf317971d179f9811eca8ea437f,14912.5805699804,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x8fb4bd6b099b0944de1c0d8b7a69f0aabb7f6efb54770e14b680f80f83fcf208,0x5c11d795,2025/07/08 19:59:37,2025/07/08 11:59:37,0x874f112d6b1d68fb6a546104e7742d90d84252a7,0xfa2d89e13d20fcf317971d179f9811eca8ea437f,6492.1701260137,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x9b7fe06aaa625e30a164ca69cfc98a57cf0feb125069a8957710f8bc934ca258,0x088890dc,2025/07/08 19:59:39,2025/07/08 11:59:39,0xfa2d89e13d20fcf317971d179f9811eca8ea437f,0x1f2d955cc70c8ae5f9e0656c51ce321d69a32873,1673.3823464221,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline, address referrer)"
0x5b59a2358af4be6c4799b413aa4f4306dca0400b541f0a895d77ca643f14c12a,0x38ed1739,2025/07/08 19:59:51,2025/07/08 11:59:51,0xfa2d89e13d20fcf317971d179f9811eca8ea437f,0x0271f43a69ab8a3c81f316b1201f0f6aa6dd8292,4576.9448044737,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x2a936fb782033bbcd879713389f1325db4a898879de0d786844014633e7f0368,0xbaa2abde,2025/07/08 19:59:56,2025/07/08 11:59:56,0xfa2d89e13d20fcf317971d179f9811eca8ea437f,0x9d6bc0e25f3a60e55a7d7190eadb1f915a3d8313,940554.2336421638,SUCCESS,"removeLiquidity(address tokenA, address tokenB, uint256 liquidity, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)"
0xefcb714048b08612c76edec21baf426a99b90b8bbed3d6b267384a9d6d50fa6b,0x38ed1739,2025/07/08 20:00:19,2025/07/08 12:00:19,0xd40a5731d0840af23f7f3c7eb34a46172d336878,0xfa2d89e13d20fcf317971d179f9811eca8ea437f,3131.6419196959,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
