tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xfd4db4c41055a8aa00e1cfe135290c3d73ddfe27da194fe292b96bdb9df57275,0xa9059cbb,2025/04/09 00:58:40,2025/04/08 16:58:40,0xb3c14cf5ab73180cbad480efb9dd7d5b26d0975e,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,100000000000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x05a8d2ea0a6b10d9f04b90cd4fc25ec9deea7be0b41875759cb53773eca47e7c,0xf305d719,2025/04/09 00:59:31,2025/04/08 16:59:31,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,0x3e981859a259adfcb08b0936af72845f4d1cf0b6,100000000000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0xf3ce622f724cb8a2e2b34c222a456ee8417a84ef2508405c3496a60caadf3ddb,0x7ff36ab5,2025/04/09 01:05:22,2025/04/08 17:05:22,0x3e981859a259adfcb08b0936af72845f4d1cf0b6,0xe7edc5d3f9416c296fc5bc8e8094830cfd3f19f8,660606963691.4519042969,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x5a5577247b78f1b2ba265ba6e49c84273b51b75f53501e7318ca6a79d9401dfb,0x7ff36ab5,2025/04/09 01:06:16,2025/04/08 17:06:16,0x3e981859a259adfcb08b0936af72845f4d1cf0b6,0xfea61866bf6a646427f28f6a2d4bb91d2b8d2d4c,1071108036909.8367919922,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x90067758f28dd4cf5c1f45bf5067fda693b6d1b6170ae20d0b4537158b7243e0,0x7ff36ab5,2025/04/09 01:07:55,2025/04/08 17:07:55,0x3e981859a259adfcb08b0936af72845f4d1cf0b6,0xec9c81ad45a5508c25439eb60bd19ccb18665daf,320024206161.9837646484,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xd6e867ab86d2adbc30b3858d79d830d0a458fcf339fc86c464693f3d3c0b4f4d,0x7ff36ab5,2025/04/09 01:09:25,2025/04/08 17:09:25,0x3e981859a259adfcb08b0936af72845f4d1cf0b6,0x2f4d3e17b82f4cacaf76b8868d1ba59e62d79f41,178303291741.2190246582,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x9a163fa70e1c4b7bc7c44995b107064c6349a011fbf61cf05996ff750497b912,0x7ff36ab5,2025/04/09 01:11:13,2025/04/08 17:11:13,0x3e981859a259adfcb08b0936af72845f4d1cf0b6,0x1de4986946f0d8787340d9c97e34aff314ead72b,392511772866.2631835938,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x2bfebd32dfcba5453048a55cdbe6cc22b28155dcd8ad6a581e7902877636a4c9,0x7ff36ab5,2025/04/09 01:13:40,2025/04/08 17:13:40,0x3e981859a259adfcb08b0936af72845f4d1cf0b6,0x072c4773ca110cd767c836063e762248ff6bfebb,533021526584.2835083008,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x678394925a2e0759381f71b875a6f416038152a6b12e0d4a56500aea26d2184d,0x7ff36ab5,2025/04/09 01:19:19,2025/04/08 17:19:19,0x3e981859a259adfcb08b0936af72845f4d1cf0b6,0x0395f37fee3c6d9532d6a5935302bbd6d249e52e,3020946388602.6064453125,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xdbe2e534feac24d4f76443c9238e78f1b90796fc4d032578e16b43050672dfe9,0xa9059cbb,2025/04/09 01:19:52,2025/04/08 17:19:52,0xb3c14cf5ab73180cbad480efb9dd7d5b26d0975e,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,0.0000000100,SUCCESS,"transfer(address dst, uint256 amount)"
