tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xb507959984d9ec58104a61c7068b5192673efac51069d066b124566b212186ff,0x60806040,2025/04/08 21:37:10,2025/04/08 13:37:10,0x0000000000000000000000000000000000000000,0x968fe68d08320d0e8be7155f907fa18b2d0a151a,1000000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x90a4d791f0e36094ffc60be2c1c4c0acc98c5a1e080e9172d4be993ec13f5935,0xf305d719,2025/04/08 21:37:46,2025/04/08 13:37:46,0x968fe68d08320d0e8be7155f907fa18b2d0a151a,0x0fc1caf2e208b8de593c795f6490a60bebb8730d,1000000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0xc0e9f689b88343712965ed9d6bd0ea4ceec0319a030afec91a640d7c6f53a1c6,0x1f6a1eb9,2025/04/08 21:38:28,2025/04/08 13:38:28,0x0fc1caf2e208b8de593c795f6490a60bebb8730d,0xc3401224f55ffccc415f0bd2493d6f8eeb2578b3,20390090.4620770961,SUCCESS,"execute(bytes _code, bytes _data)"
0x92048029239a1b768af46581e380221d5a715156a45bafe001491365993a75dd,0x1f6a1eb9,2025/04/08 21:38:28,2025/04/08 13:38:28,0x0fc1caf2e208b8de593c795f6490a60bebb8730d,0x6bc21e9738d1347dfc86a86cc54bcfe09d63a7f5,18008826.5256714709,SUCCESS,"execute(bytes _code, bytes _data)"
0xe4e470e3b942ae173fecfcd85e84efecd99a66a8ac891bb79e487e8a30101a60,0x1f6a1eb9,2025/04/08 21:38:28,2025/04/08 13:38:28,0x0fc1caf2e208b8de593c795f6490a60bebb8730d,0xadf11c6f10e19a67c61e957e18f901a93f31ab12,13876880.2491376027,SUCCESS,"execute(bytes _code, bytes _data)"
0x9ba7a2b2632636e8adfdcfa68acfe3bbb29bfafc11c984d93f67579011aa7510,0x1f6a1eb9,2025/04/08 21:38:28,2025/04/08 13:38:28,0x0fc1caf2e208b8de593c795f6490a60bebb8730d,0xc128c074c6b957430503a79d204b552481a2c7af,13655652.0425629299,SUCCESS,"execute(bytes _code, bytes _data)"
0x2f3ae8fe1dc885ddb66acbef23f7672c10af2b5702ca9e9fe2bba2ca82b5470c,0x1f6a1eb9,2025/04/08 21:38:28,2025/04/08 13:38:28,0x0fc1caf2e208b8de593c795f6490a60bebb8730d,0xe3713c978b97d836750db88003339480b78b78d9,14871108.3279221486,SUCCESS,"execute(bytes _code, bytes _data)"
0x912177d314108c8feacfc2eefa7f564f765d15af15110060cf92d41dc09bc9f9,0xc46b30bc,2025/04/08 21:39:13,2025/04/08 13:39:13,0x0fc1caf2e208b8de593c795f6490a60bebb8730d,0x198b7a5625d5fe31bdd5673f416583079b07afc1,22249778.1685027145,SUCCESS,"swap(bytes _encoded,bytes _signature)"
0x443c53669221ae2c5e102e6fd62323e64323fcce03dc960baff6963e91bedc87,0xc46b30bc,2025/04/08 21:39:13,2025/04/08 13:39:13,0x0fc1caf2e208b8de593c795f6490a60bebb8730d,0x815b3b7178ecbd2cf59a9dfa15d322cb52388a21,20691768.9134132005,SUCCESS,"swap(bytes _encoded,bytes _signature)"
0x2eb7f2cc316d22d52a61187b9c47b7da3b559c37b05123e792341769db36e498,0xc46b30bc,2025/04/08 21:39:13,2025/04/08 13:39:13,0x0fc1caf2e208b8de593c795f6490a60bebb8730d,0x1c94f1351c2ba514cae0dd183ccb65e8116b7c30,20973742.7321638353,SUCCESS,"swap(bytes _encoded,bytes _signature)"
0x23c97d6057212a7b12dc97db59a8cb50c8b2295530116e163d732bc50ec73612,0xc46b30bc,2025/04/08 21:39:13,2025/04/08 13:39:13,0x0fc1caf2e208b8de593c795f6490a60bebb8730d,0x7422ea8d93f8c1bbae03028b42b4ab6737809193,21283994.3830800243,SUCCESS,"swap(bytes _encoded,bytes _signature)"
0xb6242711a14fd56abba93d4c1005db8f91f99d8d8919d82985c9aa837d0203b1,0xc46b30bc,2025/04/08 21:39:13,2025/04/08 13:39:13,0x0fc1caf2e208b8de593c795f6490a60bebb8730d,0x641d81801dd4b157b64494c15e5d16ec03b43d49,14082407.5826349296,SUCCESS,"swap(bytes _encoded,bytes _signature)"
0xdc22bd5181893f6c2e51a3d1dada9d530970a5adda8d35ea53e38bf5462ff832,0xd54ed5d0,2025/04/08 21:39:34,2025/04/08 13:39:34,0x0fc1caf2e208b8de593c795f6490a60bebb8730d,0x9a6078e881e6e47e8278a88e14cd6d034724bec4,558162.2677361084,SUCCESS,
0xdc22bd5181893f6c2e51a3d1dada9d530970a5adda8d35ea53e38bf5462ff832,0xd54ed5d0,2025/04/08 21:39:34,2025/04/08 13:39:34,0x9a6078e881e6e47e8278a88e14cd6d034724bec4,0x0fc1caf2e208b8de593c795f6490a60bebb8730d,558162.2677361084,SUCCESS,
0x44318fa934d7516f2c5555ae1145367cc68b8bfe559e5e5bb06bc2474d4661eb,0x1f6a1eb9,2025/04/08 21:40:22,2025/04/08 13:40:22,0x815b3b7178ecbd2cf59a9dfa15d322cb52388a21,0x1a0a18ac4becddbd6389559687d1a73d8927e416,20691768.9134132005,SUCCESS,"execute(bytes _code, bytes _data)"
0x44318fa934d7516f2c5555ae1145367cc68b8bfe559e5e5bb06bc2474d4661eb,0x1f6a1eb9,2025/04/08 21:40:22,2025/04/08 13:40:22,0x1a0a18ac4becddbd6389559687d1a73d8927e416,0x0fc1caf2e208b8de593c795f6490a60bebb8730d,20691768.9134132005,SUCCESS,"execute(bytes _code, bytes _data)"
0xcd08d70df2b0b3a2fe5263caa3bbebbb4b941ae01c48d919c4aa6ee9d9d8f66e,0xc46b30bc,2025/04/08 21:40:22,2025/04/08 13:40:22,0x6bc21e9738d1347dfc86a86cc54bcfe09d63a7f5,0x1a0a18ac4becddbd6389559687d1a73d8927e416,18008826.5256714709,SUCCESS,"swap(bytes _encoded,bytes _signature)"
0xcd08d70df2b0b3a2fe5263caa3bbebbb4b941ae01c48d919c4aa6ee9d9d8f66e,0xc46b30bc,2025/04/08 21:40:22,2025/04/08 13:40:22,0x1a0a18ac4becddbd6389559687d1a73d8927e416,0x0fc1caf2e208b8de593c795f6490a60bebb8730d,18008826.5256714709,SUCCESS,"swap(bytes _encoded,bytes _signature)"
0xa9df4740d9245531da12f1574dfc3b12a3a5b068f2a7ff3295c552b191bd6c5a,0xd41fb08a,2025/04/08 21:40:22,2025/04/08 13:40:22,0xadf11c6f10e19a67c61e957e18f901a93f31ab12,0x1a0a18ac4becddbd6389559687d1a73d8927e416,13876880.2491376027,SUCCESS,"fillOrder(bytes command,bytes inputs)"
0xa9df4740d9245531da12f1574dfc3b12a3a5b068f2a7ff3295c552b191bd6c5a,0xd41fb08a,2025/04/08 21:40:22,2025/04/08 13:40:22,0x1a0a18ac4becddbd6389559687d1a73d8927e416,0x0fc1caf2e208b8de593c795f6490a60bebb8730d,13876880.2491376027,SUCCESS,"fillOrder(bytes command,bytes inputs)"
