tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x8484672cc98f70207310204cbee6914d029dafd594bd3b8480cff54bc8660019,0x60038054,2025/07/06 07:17:14,2025/07/05 23:17:14,0x0000000000000000000000000000000000000000,0x191fbc76841e8606d66b3ef33e8609e3a929fb10,68880000.0000000000,SUCCESS,
0xf59c5d9ee8a3419d7c822920942173afdeef6b6b8a02fc70b53602c8de4d5f72,0xe8e33700,2025/07/06 10:08:27,2025/07/06 02:08:27,0x191fbc76841e8606d66b3ef33e8609e3a929fb10,0x5a4f51c845b68ad6c051ebcf9ba6606b47dc38a8,100.0000000000,SUCCESS,"addLiquidity(address tokenA, address tokenB, uint256 amountADesired, uint256 amountBDesired, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)"
0x35ae57a36bf694a225927ce630ad42f9bd3cb9efd75dc437431d92476198c6f4,0xa9059cbb,2025/07/06 10:09:21,2025/07/06 02:09:21,0x191fbc76841e8606d66b3ef33e8609e3a929fb10,0x000000000000000000000000000000000000dead,100.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x70c5056bb5257668ab7a9d8bb409fd88b41c875ff038f83611b9c0cd4874df49,0xe8e33700,2025/07/06 10:14:06,2025/07/06 02:14:06,0x191fbc76841e8606d66b3ef33e8609e3a929fb10,0x5a4f51c845b68ad6c051ebcf9ba6606b47dc38a8,400.0000000000,SUCCESS,"addLiquidity(address tokenA, address tokenB, uint256 amountADesired, uint256 amountBDesired, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)"
0xd8a732df7eb681692b7cbd083464cea8974214438e1b489dd4ba353c38195520,0xe8e33700,2025/07/06 10:17:03,2025/07/06 02:17:03,0x191fbc76841e8606d66b3ef33e8609e3a929fb10,0x5a4f51c845b68ad6c051ebcf9ba6606b47dc38a8,500.0000000000,SUCCESS,"addLiquidity(address tokenA, address tokenB, uint256 amountADesired, uint256 amountBDesired, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)"
0x97ccf0693fb9f449f759c2848c9fc5ed7cfd427467d3e9db52cb4a3f7a948937,0xa9059cbb,2025/07/06 10:17:36,2025/07/06 02:17:36,0x191fbc76841e8606d66b3ef33e8609e3a929fb10,0x000000000000000000000000000000000000dead,900.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0xc8f4ed41f89ce8bfc5b11dce6f638de8006d97b31b5965533bf2ab08f965abc7,0x38ed1739,2025/07/06 10:18:33,2025/07/06 02:18:33,0x5a4f51c845b68ad6c051ebcf9ba6606b47dc38a8,0x191fbc76841e8606d66b3ef33e8609e3a929fb10,9.8764820911,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x284f81974a280e2ecffecbba2a67d6db4213f1ba83cf80bde59882fda833e996,0x40e61bc3,2025/07/06 10:19:18,2025/07/06 02:19:18,0x5a4f51c845b68ad6c051ebcf9ba6606b47dc38a8,0xadb0c08b333095f3601c5c51df87f653c9999999,0.0253329274,SUCCESS,swapMixedMultiHopExactIn(tuple params)
0x284f81974a280e2ecffecbba2a67d6db4213f1ba83cf80bde59882fda833e996,0x40e61bc3,2025/07/06 10:19:18,2025/07/06 02:19:18,0x5a4f51c845b68ad6c051ebcf9ba6606b47dc38a8,0x5a4f51c845b68ad6c051ebcf9ba6606b44f51aea,0.0001266646,SUCCESS,swapMixedMultiHopExactIn(tuple params)
0x284f81974a280e2ecffecbba2a67d6db4213f1ba83cf80bde59882fda833e996,0x40e61bc3,2025/07/06 10:19:18,2025/07/06 02:19:18,0x5a4f51c845b68ad6c051ebcf9ba6606b47dc38a8,0x2d27a8e422db456b6028f5e7cdd33035a27a8d75,0.0001266646,SUCCESS,swapMixedMultiHopExactIn(tuple params)
0x284f81974a280e2ecffecbba2a67d6db4213f1ba83cf80bde59882fda833e996,0x40e61bc3,2025/07/06 10:19:18,2025/07/06 02:19:18,0x5a4f51c845b68ad6c051ebcf9ba6606b47dc38a8,0x1693d472116da2b5b0147af3e6e9981ad13d46ba,0.0001266646,SUCCESS,swapMixedMultiHopExactIn(tuple params)
0x284f81974a280e2ecffecbba2a67d6db4213f1ba83cf80bde59882fda833e996,0x40e61bc3,2025/07/06 10:19:18,2025/07/06 02:19:18,0x5a4f51c845b68ad6c051ebcf9ba6606b47dc38a8,0x564c1a13d4991f0128db4f83134204632608a09b,1.2409334484,SUCCESS,swapMixedMultiHopExactIn(tuple params)
0x34a121a86913469e563af5c001cd3280889784a087772bc8799848cf5e31c04f,0x38ed1739,2025/07/06 10:19:24,2025/07/06 02:19:24,0x191fbc76841e8606d66b3ef33e8609e3a929fb10,0x5a4f51c845b68ad6c051ebcf9ba6606b47dc38a8,9.8760000000,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe5d098aafd87672bd165a53641e3ac6c78513da76e829e61a2c6ab7ddb37685d,0x38ed1739,2025/07/06 10:20:32,2025/07/06 02:20:32,0x5a4f51c845b68ad6c051ebcf9ba6606b47dc38a8,0x191fbc76841e8606d66b3ef33e8609e3a929fb10,9.8510715675,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x1fde15071a436b4ac5da05b31dfd4dab38fb68336bc979634a8573ded114e9c1,0x38ed1739,2025/07/06 10:21:01,2025/07/06 02:21:01,0x191fbc76841e8606d66b3ef33e8609e3a929fb10,0x5a4f51c845b68ad6c051ebcf9ba6606b47dc38a8,9.6580000000,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x077e9f4e84950dcee5b9ecaf340bbd61fcb558c3a72307233939a4bf4b8321dc,0x38ed1739,2025/07/06 10:21:45,2025/07/06 02:21:45,0x5a4f51c845b68ad6c051ebcf9ba6606b47dc38a8,0x191fbc76841e8606d66b3ef33e8609e3a929fb10,19.5013040140,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe99a538b2b1119241d9f487d9449c22234064a2c65f70647d2c959e7edfc2844,0x8803dbee,2025/07/06 10:22:07,2025/07/06 02:22:07,0x191fbc76841e8606d66b3ef33e8609e3a929fb10,0x5a4f51c845b68ad6c051ebcf9ba6606b47dc38a8,19.5991774062,SUCCESS,"swapTokensForExactTokens(uint256 amountOut, uint256 amountInMax, address[] path, address to, uint256 deadline)"
0x5c2628aa6bb6d906c970dabcda83b979784b31e0d79a40f8ed81dd6d32d3f54f,0x38ed1739,2025/07/06 10:22:45,2025/07/06 02:22:45,0x5a4f51c845b68ad6c051ebcf9ba6606b47dc38a8,0x191fbc76841e8606d66b3ef33e8609e3a929fb10,19.5032154639,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x7973e70c006902ecb278fa2ed132f9e60d73179ad96a80cffb7bebb204b44d9d,0x8803dbee,2025/07/06 10:22:59,2025/07/06 02:22:59,0x191fbc76841e8606d66b3ef33e8609e3a929fb10,0x5a4f51c845b68ad6c051ebcf9ba6606b47dc38a8,19.6010984493,SUCCESS,"swapTokensForExactTokens(uint256 amountOut, uint256 amountInMax, address[] path, address to, uint256 deadline)"
0x67989380b278a696d38c7fe03365a6351a539841d25869b9b5c69a3329158c1f,0x38ed1739,2025/07/06 10:23:46,2025/07/06 02:23:46,0x5a4f51c845b68ad6c051ebcf9ba6606b47dc38a8,0x191fbc76841e8606d66b3ef33e8609e3a929fb10,19.5051271011,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x00fc622dbe4b2d3349a5fc3846bb9c3d6383782d7fa4da4c2a65111e3d5008a1,0x38ed1739,2025/07/06 10:27:33,2025/07/06 02:27:33,0x191fbc76841e8606d66b3ef33e8609e3a929fb10,0x5a4f51c845b68ad6c051ebcf9ba6606b47dc38a8,19.5000000000,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x3ed34f27cb238de08fd374bc1d3e83c6a56d17a47963eec442ace793d59210c6,0x38ed1739,2025/07/06 10:33:53,2025/07/06 02:33:53,0x5a4f51c845b68ad6c051ebcf9ba6606b47dc38a8,0x191fbc76841e8606d66b3ef33e8609e3a929fb10,19.5030593410,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x80c6751aa11afbdf6ed1368c9dc46c92a25c5fa33d5070b231e46ac619408f4e,0x8803dbee,2025/07/06 10:34:13,2025/07/06 02:34:13,0x191fbc76841e8606d66b3ef33e8609e3a929fb10,0x5a4f51c845b68ad6c051ebcf9ba6606b47dc38a8,19.6009415429,SUCCESS,"swapTokensForExactTokens(uint256 amountOut, uint256 amountInMax, address[] path, address to, uint256 deadline)"
