tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x7ab55cef016431dcc93bc9bfe9dbfefc880c1532b0bf06b6c5dd4326008d3ad7,0x210f5dda,2025/07/07 21:51:36,2025/07/07 13:51:36,0x0000000000000000000000000000000000000000,0x3adef6a8a344611da9d7770d0b553a07b86e73ec,42515522.0000000000,SUCCESS,"createToken(string name, string symbol, uint8 decimals, uint256 totalSupply)"
0xb785565351e560c0249c04e033e37fde4983db6fca98a738aed5c548eeb784e2,0xac9650d8,2025/07/07 21:55:14,2025/07/07 13:55:14,0x3adef6a8a344611da9d7770d0b553a07b86e73ec,0xf435c8d5e83805108b2781359eacf1f3ad1966af,42300000.0000000000,SUCCESS,multicall(bytes[] data)
0x708eb1c5ce551e526291567ae1507c60090b071f1a1114bf46a9d0f7ab2347cb,0x3593564c,2025/07/07 21:56:32,2025/07/07 13:56:32,0xf435c8d5e83805108b2781359eacf1f3ad1966af,0x3adef6a8a344611da9d7770d0b553a07b86e73ec,1.4973147199,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x9d9040f78da31366f1d01cd149c16f0fcaf2566fa32bb917aefafe25f72e445f,0xb80c2f09,2025/07/07 21:58:03,2025/07/07 13:58:03,0xf435c8d5e83805108b2781359eacf1f3ad1966af,0x3adef6a8a344611da9d7770d0b553a07b86e73ec,1.7963852638,SUCCESS,"smartSwapByOrderId(uint256 orderId,tuple baseRequest,uint256[] batchesAmount,tuple[][] batches,tuple[] extraData)"
0x83bfc6c8ed7d155942512a5aefaafc94a1130c810caa7ee9eb6217b87bf06785,0xa9059cbb,2025/07/07 21:58:26,2025/07/07 13:58:26,0x3adef6a8a344611da9d7770d0b553a07b86e73ec,0x2f15577a1f452c30a9fda1cf0210ce554468102b,0.5000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0xa92f3867ff07ed7d0df3c42a2551e69804f0a68064c071e1224ac66377e529c5,0x3593564c,2025/07/07 22:07:48,2025/07/07 14:07:48,0xf435c8d5e83805108b2781359eacf1f3ad1966af,0x3adef6a8a344611da9d7770d0b553a07b86e73ec,5.9926441349,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xef3aa9c3d81b8b2eb56b130f6be8c3a966a2db456bf2efad213bc7b844b173af,0xa9059cbb,2025/07/07 22:08:24,2025/07/07 14:08:24,0x3adef6a8a344611da9d7770d0b553a07b86e73ec,0x2f15577a1f452c30a9fda1cf0210ce554468102b,0.6000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x1bdef87244015d8655513be1cd644e8a562fd583c6fb615e5e0707ca8cbd88e9,0xa9059cbb,2025/07/07 22:18:57,2025/07/07 14:18:57,0x3adef6a8a344611da9d7770d0b553a07b86e73ec,0xba7b6b928267eaed7cf6460580d9821f19e1a3e2,1.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x485681846821fe0e4c09886a292d9b38bc7c22c9736d1fe8f50709951fb1b36f,0xb80c2f09,2025/07/07 22:20:39,2025/07/07 14:20:39,0xf435c8d5e83805108b2781359eacf1f3ad1966af,0x3adef6a8a344611da9d7770d0b553a07b86e73ec,5.9807787492,SUCCESS,"smartSwapByOrderId(uint256 orderId,tuple baseRequest,uint256[] batchesAmount,tuple[][] batches,tuple[] extraData)"
0x310fe4f33585c015f9920df074d685491f7566c54d8b840224020549b7aa0f90,0xb80c2f09,2025/07/07 22:39:02,2025/07/07 14:39:02,0xf435c8d5e83805108b2781359eacf1f3ad1966af,0x3adef6a8a344611da9d7770d0b553a07b86e73ec,45.2412742539,SUCCESS,"smartSwapByOrderId(uint256 orderId,tuple baseRequest,uint256[] batchesAmount,tuple[][] batches,tuple[] extraData)"
0x6fe1633775d3a4d95be86ad286fc5c999bcdd6943deddf8ffc4e104f222fe688,0x3593564c,2025/07/07 22:47:08,2025/07/07 14:47:08,0xf435c8d5e83805108b2781359eacf1f3ad1966af,0x3adef6a8a344611da9d7770d0b553a07b86e73ec,45.2412733917,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xa53e1a8bf2b846010a6cd87fc422dd2c6987935c99a27dd71899566f2ba848e8,0xe5e8894b,2025/07/07 23:07:27,2025/07/07 15:07:27,0xf435c8d5e83805108b2781359eacf1f3ad1966af,0xb300000b72deaeb607a12d5f54773d1c19c7028d,28.5152460824,SUCCESS,"proxySwapV2(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,uint256 minReturnAmt,bytes callData)"
0xa53e1a8bf2b846010a6cd87fc422dd2c6987935c99a27dd71899566f2ba848e8,0xe5e8894b,2025/07/07 23:07:27,2025/07/07 15:07:27,0xb300000b72deaeb607a12d5f54773d1c19c7028d,0x88f227da84b65da17ea3a03939002ee73c4c2318,28.5152460824,SUCCESS,"proxySwapV2(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,uint256 minReturnAmt,bytes callData)"
0x5d51eee417cbaa58ea41a80e761351f277061ae59c05136e0fb87f0427f17baf,0xe5e8894b,2025/07/07 23:09:26,2025/07/07 15:09:26,0x88f227da84b65da17ea3a03939002ee73c4c2318,0xb300000b72deaeb607a12d5f54773d1c19c7028d,28.5152460824,SUCCESS,"proxySwapV2(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,uint256 minReturnAmt,bytes callData)"
0x5d51eee417cbaa58ea41a80e761351f277061ae59c05136e0fb87f0427f17baf,0xe5e8894b,2025/07/07 23:09:26,2025/07/07 15:09:26,0xb300000b72deaeb607a12d5f54773d1c19c7028d,0xf435c8d5e83805108b2781359eacf1f3ad1966af,28.5152460824,SUCCESS,"proxySwapV2(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,uint256 minReturnAmt,bytes callData)"
0x209702240527494570d93a7f414de007e13ac359c571289d65a5e8643ebab141,0xa9059cbb,2025/07/08 00:26:11,2025/07/07 16:26:11,0x3adef6a8a344611da9d7770d0b553a07b86e73ec,0xba7b6b928267eaed7cf6460580d9821f19e1a3e2,1.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
