tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xfbdfa718cb8b997337ccab317fe74553f515e451d251f7612a9d9588bef2c1f5,0x61016060,2025/07/06 21:56:35,2025/07/06 13:56:35,0x0000000000000000000000000000000000000000,0x997fabca4fd40d141912afcbd7b37262c480a76b,1000000000.0000000000,SUCCESS,
0xba70f4f4700c6e339861ceb37627d85f2d27b123dee990cb42dfe31573dfc900,0xf305d719,2025/07/06 21:57:00,2025/07/06 13:57:00,0x997fabca4fd40d141912afcbd7b37262c480a76b,0x7e9b388a5189d54e455a759fcfe79d0a116ca7c8,1000000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x7da781284cc81c4a810812eb84eb3ef5dfe77bef9d8c889c292961b894d0f365,0x3593564c,2025/07/06 21:57:33,2025/07/06 13:57:33,0x7e9b388a5189d54e455a759fcfe79d0a116ca7c8,0xe1a201af06858a94e8c1b962a2b18b1f166fd2cb,599399098.6479719877,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x201dd20bc403c9ffd8e50ce862a5e3ad14030327cde5c8889343ee04cc36a637,0x3593564c,2025/07/06 21:58:05,2025/07/06 13:58:05,0x7e9b388a5189d54e455a759fcfe79d0a116ca7c8,0xf8aa9e1b0aaa30e6cf9609382f1169f7e41942c4,29605437.9773030542,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x4193aa7439c2f06a8b994f4b1ce6e5d363cd0bc21af3ac190caa0bd0fda7363a,0xe5e8894b,2025/07/06 21:59:05,2025/07/06 13:59:05,0x7e9b388a5189d54e455a759fcfe79d0a116ca7c8,0xb300000b72deaeb607a12d5f54773d1c19c7028d,13217893.5517917015,SUCCESS,"proxySwapV2(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,uint256 minReturnAmt,bytes callData)"
0x4193aa7439c2f06a8b994f4b1ce6e5d363cd0bc21af3ac190caa0bd0fda7363a,0xe5e8894b,2025/07/06 21:59:05,2025/07/06 13:59:05,0xb300000b72deaeb607a12d5f54773d1c19c7028d,0xe1312ff97ada077b4be5a902bfb2afec84a881d4,13217893.5517917015,SUCCESS,"proxySwapV2(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,uint256 minReturnAmt,bytes callData)"
0x3eb8bc8b1a73d992d12e49df0421ce7c11de22c2110a46ab420e13670b570248,0x3593564c,2025/07/06 22:00:59,2025/07/06 14:00:59,0x7e9b388a5189d54e455a759fcfe79d0a116ca7c8,0xf8aa9e1b0aaa30e6cf9609382f1169f7e41942c4,34545434.4662459567,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x2236af37c37e4bf51722ade7a9547fb49b32e776bf5faa165eaa0116bff7f20f,0x3593564c,2025/07/06 22:03:57,2025/07/06 14:03:57,0x7e9b388a5189d54e455a759fcfe79d0a116ca7c8,0x5457c2fef09242e1f54e7abab4d052adec735119,19543813.0030789897,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x6d17dcf91ee2a48ae109d822c9fea1aba3cbb01b827a9059af32bc0897fdad0b,0x83d13e01,2025/07/06 22:04:19,2025/07/06 14:04:19,0x7e9b388a5189d54e455a759fcfe79d0a116ca7c8,0x6e4141d33021b52c91c28608403db4a0ffb50ec6,302101304.7514320612,SUCCESS,"execute(tuple input,tuple output,tuple swapDescription,tuple accountSignature,tuple protocolFeeSignature)"
0x6d17dcf91ee2a48ae109d822c9fea1aba3cbb01b827a9059af32bc0897fdad0b,0x83d13e01,2025/07/06 22:04:19,2025/07/06 14:04:19,0x6e4141d33021b52c91c28608403db4a0ffb50ec6,0xd7f1dd5d49206349cae8b585fcb0ce3d96f1696f,302101304.7514320612,SUCCESS,"execute(tuple input,tuple output,tuple swapDescription,tuple accountSignature,tuple protocolFeeSignature)"
0x6d17dcf91ee2a48ae109d822c9fea1aba3cbb01b827a9059af32bc0897fdad0b,0x83d13e01,2025/07/06 22:04:19,2025/07/06 14:04:19,0xd7f1dd5d49206349cae8b585fcb0ce3d96f1696f,0xbb8564921a1bec8187c74c12f108c4c88626117d,299703675.3486429453,SUCCESS,"execute(tuple input,tuple output,tuple swapDescription,tuple accountSignature,tuple protocolFeeSignature)"
0x6d17dcf91ee2a48ae109d822c9fea1aba3cbb01b827a9059af32bc0897fdad0b,0x83d13e01,2025/07/06 22:04:19,2025/07/06 14:04:19,0xd7f1dd5d49206349cae8b585fcb0ce3d96f1696f,0xcfd59c0f530db36eea8ccbfe744f01fe3556925e,2397629.4027891434,SUCCESS,"execute(tuple input,tuple output,tuple swapDescription,tuple accountSignature,tuple protocolFeeSignature)"
