tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xaeed29a65c8f7fa81568b7d4ad5a807f6c3dda379c4c3455e6090c6f156ed03f,0x60806040,2025/07/07 18:43:42,2025/07/07 10:43:42,0x0000000000000000000000000000000000000000,0xef8f96f1ab65b9855a5d166c264464887bb1496f,21000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0xf87010858e0a60741227c36e1e312d6b7e8532905a6bc613227122de94b7ef88,0xf305d719,2025/07/07 22:18:22,2025/07/07 14:18:22,0xef8f96f1ab65b9855a5d166c264464887bb1496f,0x6ce701bd4e558d7ee36835391fe8332a143ce31d,10000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0xf5ebc67f70d87dba19de1288e66e735995c9193e56f0f0544465bf182f500fbe,0x3593564c,2025/07/07 22:39:02,2025/07/07 14:39:02,0x6ce701bd4e558d7ee36835391fe8332a143ce31d,0xef8f96f1ab65b9855a5d166c264464887bb1496f,325.3416379190,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x2714f6ba11421c155b37e1d447d6a8bc9015aada7ba8d20815f5a7d0d43af764,0xa9059cbb,2025/07/07 22:44:42,2025/07/07 14:44:42,0xef8f96f1ab65b9855a5d166c264464887bb1496f,0x1d2ce93eba8e5e26a94726a7806fdfd02e64f78a,2100000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0xa6f6cb792c2fb45925bfdfb968f00552f838fa88aa35e0d94732fa9b23cdc36d,0xe9ae5c53,2025/07/07 22:54:24,2025/07/07 14:54:24,0xef8f96f1ab65b9855a5d166c264464887bb1496f,0x6ce701bd4e558d7ee36835391fe8332a143ce31d,300.0000000000,SUCCESS,"execute(bytes32 proposalId, bytes actions)"
0x0c99e082c742c883b265b4f75459dcf29dc11534314216c3a3ad59823c6aab6f,0x3593564c,2025/07/07 22:59:18,2025/07/07 14:59:18,0x6ce701bd4e558d7ee36835391fe8332a143ce31d,0x1d2ce93eba8e5e26a94726a7806fdfd02e64f78a,1149.4303856210,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x076c279fa07af8a43c5eacc1534abd6f5e6921ff82c520173b8b8cf1e5349b16,0x07279357,2025/07/07 23:08:31,2025/07/07 15:08:31,0x1d2ce93eba8e5e26a94726a7806fdfd02e64f78a,0x407993575c91ce7643a4d4ccacc9a98c36ee1bbe,3000.0000000000,SUCCESS,"lock(address owner, address token, bool isLpToken, uint256 amount, uint256 unlockDate, string description)"
0x646ca873e8e84e5e484da1a63f453e0e3010f4b266581107e49324edd72f6800,0xa9059cbb,2025/07/07 23:15:02,2025/07/07 15:15:02,0x1d2ce93eba8e5e26a94726a7806fdfd02e64f78a,0x704543e9eb78f9f32ca6a039e278e3fa87759bc3,200000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x5003134d731d453e6f08c8b681d0da8cc1973a53043e5bde837cae1b028129a1,0x3593564c,2025/07/07 23:28:37,2025/07/07 15:28:37,0x6ce701bd4e558d7ee36835391fe8332a143ce31d,0x1d2ce93eba8e5e26a94726a7806fdfd02e64f78a,247.0552178130,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xafa63f7c30150569b7a3857892bd8a2ae8de044c6879e38c6f803c5600dafba0,0xa9059cbb,2025/07/08 00:15:33,2025/07/07 16:15:33,0x1d2ce93eba8e5e26a94726a7806fdfd02e64f78a,0xb21228114ad690c2d6e3b4f540624a509cea805e,2000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x8f9ce7549d1a639defc9f0a9cb789db1f9dc8c8ff84747688eb065e1e247bbd4,0xa9059cbb,2025/07/08 00:17:51,2025/07/07 16:17:51,0x1d2ce93eba8e5e26a94726a7806fdfd02e64f78a,0x73e991a2bbf465d752037fd45e1e60ad9b2471fd,2000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0xc805bd70016bfeb5f418f2b93f7a14fe8904abb150de164c164599acd0867ac9,0xa9059cbb,2025/07/08 00:20:08,2025/07/07 16:20:08,0x1d2ce93eba8e5e26a94726a7806fdfd02e64f78a,0x618e5d74917bde83108c4b218ed632ed38f93478,2000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x32e68afd90b21d5be9e9d2a9c0908a232d49e3edcf169ef94995382aaf19d3c8,0x2213bc0b,2025/07/08 01:25:31,2025/07/07 17:25:31,0x6ce701bd4e558d7ee36835391fe8332a143ce31d,0x779a74436eda060911b2c4f209d34ea155f3df09,175.1790545830,SUCCESS,
0x32e68afd90b21d5be9e9d2a9c0908a232d49e3edcf169ef94995382aaf19d3c8,0x2213bc0b,2025/07/08 01:25:31,2025/07/07 17:25:31,0x779a74436eda060911b2c4f209d34ea155f3df09,0x704543e9eb78f9f32ca6a039e278e3fa87759bc3,175.1790545830,SUCCESS,
0xf2f38e22f897c41a57521c666302999e40363cc658671ef613c243ba6b070f3d,0xf305d719,2025/07/08 02:20:12,2025/07/07 18:20:12,0xef8f96f1ab65b9855a5d166c264464887bb1496f,0x6ce701bd4e558d7ee36835391fe8332a143ce31d,955.4774886200,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x3616622cc5e088a47f3e031537ae4c929db4c2060c8f30e2d4200c29ef4a87b2,0x2213bc0b,2025/07/08 02:47:24,2025/07/07 18:47:24,0x704543e9eb78f9f32ca6a039e278e3fa87759bc3,0x6ce701bd4e558d7ee36835391fe8332a143ce31d,10.0000000000,SUCCESS,
0xb3460d562302c07302c1523f6574e0b40dddaf3c5cbc09616b03a2eba70eea84,0xf305d719,2025/07/08 03:01:49,2025/07/07 19:01:49,0x1d2ce93eba8e5e26a94726a7806fdfd02e64f78a,0x6ce701bd4e558d7ee36835391fe8332a143ce31d,231.4740237680,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x96e56d6acbbeb9f44db3ad9e3d5fd6266d4138c1867391d83cccceb7729f6115,0x2213bc0b,2025/07/08 03:05:30,2025/07/07 19:05:30,0x6ce701bd4e558d7ee36835391fe8332a143ce31d,0x779a74436eda060911b2c4f209d34ea155f3df09,24.3699366030,SUCCESS,
