tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x2fed6157d2e97e96d48819876ca19e71c909cc75c9e991b9b38341fb4a7774b6,0xbf93b9bf,2025/07/08 17:55:58,2025/07/08 09:55:58,0x0000000000000000000000000000000000000000,0xf1fd44fd4f4360c1c92f736f1472c1bbdd95460c,99999999999999997748809823456034029568.0000000000,SUCCESS,
0x2fed6157d2e97e96d48819876ca19e71c909cc75c9e991b9b38341fb4a7774b6,0xbf93b9bf,2025/07/08 17:55:58,2025/07/08 09:55:58,0xf1fd44fd4f4360c1c92f736f1472c1bbdd95460c,0xb44ea272f317e379567ce54acd94a2891597024e,1000000000000000042420637374017961984.0000000000,SUCCESS,
0x2fed6157d2e97e96d48819876ca19e71c909cc75c9e991b9b38341fb4a7774b6,0xbf93b9bf,2025/07/08 17:55:58,2025/07/08 09:55:58,0xf1fd44fd4f4360c1c92f736f1472c1bbdd95460c,0x27bdf30c283da6459d9418804112db95126a1e50,98999999999999993426744560981400092672.0000000000,SUCCESS,
0x6bc90b48b8a14564ec546241cf37d27b2f8a7bb17a4fe352832a042cedf4e74a,0xf305d719,2025/07/08 18:30:34,2025/07/08 10:30:34,0x27bdf30c283da6459d9418804112db95126a1e50,0xad6612343fd9e25c3c19d7562261162bd9519c70,98999999997771314909655253123072.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0xd35b9ef597ab5179af8fda8a10e488fa69b9cac106a1b9c89eec0c3a2679bf46,0x262d6152,2025/07/08 18:43:23,2025/07/08 10:43:23,0xad6612343fd9e25c3c19d7562261162bd9519c70,0xb5cb0555f07fd97c42b6dd5a46f82df2bde40777,1936418451841303781441309507584.0000000000,SUCCESS,zap()
0x56de2e23bba5da0d2588b5890d1ef168b8d635a6d11fbe9edcb36840ed77097c,0x3593564c,2025/07/08 18:43:23,2025/07/08 10:43:23,0xad6612343fd9e25c3c19d7562261162bd9519c70,0x27bdf30c283da6459d9418804112db95126a1e50,1862030339767588775142403080192.0000000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xdc246c57dc3fa24d3a970722bdc729c3ae8c96b26c2231433a3de603f4809653,0x1249c58b,2025/07/08 18:43:23,2025/07/08 10:43:23,0xb5cb0555f07fd97c42b6dd5a46f82df2bde40777,0xad6612343fd9e25c3c19d7562261162bd9519c70,1936418451841303781441309507584.0000000000,SUCCESS,mint()
0x625b816c5cd4aaed5028ab616fe93d996be61755a4f2a3aadc092f8c2613482b,0x02751cec,2025/07/08 19:27:18,2025/07/08 11:27:18,0xad6612343fd9e25c3c19d7562261162bd9519c70,0x10ed43c718714eb63d5aa57b78b54704e256024e,97135686036993275835213825441792.0000000000,SUCCESS,"removeLiquidityETH(address token, uint256 liquidity, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x625b816c5cd4aaed5028ab616fe93d996be61755a4f2a3aadc092f8c2613482b,0x02751cec,2025/07/08 19:27:18,2025/07/08 11:27:18,0x10ed43c718714eb63d5aa57b78b54704e256024e,0x27bdf30c283da6459d9418804112db95126a1e50,97135686036993275835213825441792.0000000000,SUCCESS,"removeLiquidityETH(address token, uint256 liquidity, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x72e27ece56dd05f390cf6e6bda9b9bb90f5d622a201893bd1b1c12dbdae273dd,0x7ff36ab5,2025/07/08 19:28:45,2025/07/08 11:28:45,0xad6612343fd9e25c3c19d7562261162bd9519c70,0x29a4b61a493ca34ab367594594a730fddd131bfa,2038735554877274067805667328.0000000000,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x45ca9b9b6d657598865dc30f91439bdc9e13b90585048c71090858abb83093ea,0xcce04763,2025/07/08 19:29:13,2025/07/08 11:29:13,0xad6612343fd9e25c3c19d7562261162bd9519c70,0x18e31a59caeae97fa9a30a20df3f72a130147752,104800818851274226256576512.0000000000,SUCCESS,
0xe460ef5fc8256f3982921d0085dcacd39fde934134b9593d48bae702a4e1595e,0x181a8b99,2025/07/08 19:30:41,2025/07/08 11:30:41,0xad6612343fd9e25c3c19d7562261162bd9519c70,0x426603bac5e0ea73fd13aecad7a80c9f963f6eac,8052361685450659314270208.0000000000,SUCCESS,
0x3b53a2412c0be13f703a83c1a319967c9caeafd2f2e44d3bed0a97d2fe959fa2,0xe5e8894b,2025/07/08 19:32:24,2025/07/08 11:32:24,0xad6612343fd9e25c3c19d7562261162bd9519c70,0xb300000b72deaeb607a12d5f54773d1c19c7028d,109255679118792390392938496.0000000000,SUCCESS,"proxySwapV2(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,uint256 minReturnAmt,bytes callData)"
0x3b53a2412c0be13f703a83c1a319967c9caeafd2f2e44d3bed0a97d2fe959fa2,0xe5e8894b,2025/07/08 19:32:24,2025/07/08 11:32:24,0xb300000b72deaeb607a12d5f54773d1c19c7028d,0x611bb0cc2c7c2c3bc4377a92cc2ca38f280f5ab5,109255679118792390392938496.0000000000,SUCCESS,"proxySwapV2(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,uint256 minReturnAmt,bytes callData)"
