tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xc55dd09defaccaa0672a97a9b439be58df769bd4754ca11897efee01ab8fd01e,0x60a06040,2025/06/25 20:47:09,2025/06/25 12:47:09,0x0000000000000000000000000000000000000000,0x1b2f8f99fd1492a9fe2c7aa04c65da3c450199cc,10000000.0000000000,SUCCESS,
0xc4f2417892ff36984b123e42cc7f1b4c98e8e80f503d3f90a02bba27ae26a523,0xa9059cbb,2025/07/06 23:57:11,2025/07/06 15:57:11,0x1b2f8f99fd1492a9fe2c7aa04c65da3c450199cc,0xf9f9bf315fd416d75d7eaf193d5b07276f25114b,20000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0xd3899030958efc2fe16c6914f5c5eda19037dd67c98e053d90c98b0a733d5202,0xac9650d8,2025/07/07 00:10:11,2025/07/06 16:10:11,0xf9f9bf315fd416d75d7eaf193d5b07276f25114b,0x5a0210c49aaf5ccabfdbc3d8d6ee4ff3d33347c7,987.3613000000,SUCCESS,multicall(bytes[] data)
0x5ece849ba04117c2ddc66d7a6d36f791bac9f18008c579f0df6e9401db298633,0x3593564c,2025/07/07 00:54:46,2025/07/06 16:54:46,0xf9f9bf315fd416d75d7eaf193d5b07276f25114b,0x5a0210c49aaf5ccabfdbc3d8d6ee4ff3d33347c7,104.0555000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x3389d4fec81429875eb15738a883bf652a01f56bb98485fefd8a62e352b61659,0x2dd327c5,2025/07/07 00:55:12,2025/07/06 16:55:12,0x5a0210c49aaf5ccabfdbc3d8d6ee4ff3d33347c7,0x564c1a13d4991f0128db4f83134204632608a09b,1.3781000000,SUCCESS,swapV3MultiHopExactIn(tuple params)
0x169bd479af730031c6c85cbed15dcf856e11eb43bddd9ff1c0651046201d43fa,0x3593564c,2025/07/07 01:35:16,2025/07/06 17:35:16,0x5a0210c49aaf5ccabfdbc3d8d6ee4ff3d33347c7,0xf9f9bf315fd416d75d7eaf193d5b07276f25114b,51.7194000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xb2450aa84ad4539aa75bf499dcf2c29b0e85b584f903a04f49860af5be3d7f0e,0x219f5d17,2025/07/07 05:29:51,2025/07/06 21:29:51,0xf9f9bf315fd416d75d7eaf193d5b07276f25114b,0x5a0210c49aaf5ccabfdbc3d8d6ee4ff3d33347c7,2181.9093000000,SUCCESS,increaseLiquidity(tuple params)
0xb5860a8277df0ddc2827e2bf3c8bdc3e6a62366dca22be10a3502c19f2efafb8,0x219f5d17,2025/07/08 01:05:18,2025/07/07 17:05:18,0xf9f9bf315fd416d75d7eaf193d5b07276f25114b,0x5a0210c49aaf5ccabfdbc3d8d6ee4ff3d33347c7,3272.8639000000,SUCCESS,increaseLiquidity(tuple params)
0x550ac3db9a1d9890fb7cdd49e77c55561723c5f443f84bdec919e7686cab5b04,0xa9059cbb,2025/07/08 01:22:06,2025/07/07 17:22:06,0xf9f9bf315fd416d75d7eaf193d5b07276f25114b,0x7763f9b5cd1c70cd26aaf38ad037741b9910b76f,8000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x0e0d3a65ece433b0953281e5cbaad02d23930a52e3995aa3ff2b6ce019effc08,0x88316456,2025/07/08 02:22:43,2025/07/07 18:22:43,0xf9f9bf315fd416d75d7eaf193d5b07276f25114b,0x5a0210c49aaf5ccabfdbc3d8d6ee4ff3d33347c7,2286.3063000000,SUCCESS,mint(tuple params)
