tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xec21dd052d499a0e30c99160b69a3e95acae1221f8a1d60bde165443b2f22cfb,0x60806040,2025/06/06 18:24:37,2025/06/06 10:24:37,0x0000000000000000000000000000000000000000,0x27e47c051c2ca01e41c0f301fd45fb83c5aa7477,7400000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x6e67ee19e46809091ca5a80816e4042a02c27841e070b57cfdd6892640f32ac3,0xf305d719,2025/06/06 18:24:49,2025/06/06 10:24:49,0x27e47c051c2ca01e41c0f301fd45fb83c5aa7477,0x146efccb26b41ac4416642c5f98d4b7c346837e7,7400000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x819dc73e15803cf0b75f67c60386a4f99812c2ae261880c9f6b431f4eb870418,0x7ff36ab5,2025/06/06 18:25:07,2025/06/06 10:25:07,0x146efccb26b41ac4416642c5f98d4b7c346837e7,0xbd5ffb2d92bbddce34ae612adcbeab4c9bf28819,30996602.4696104564,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x79fee0098594d63725625ded30631f9a8e2248a83c629dbe86efd4b78112c693,0x38ed1739,2025/06/06 18:25:37,2025/06/06 10:25:37,0x146efccb26b41ac4416642c5f98d4b7c346837e7,0xdd2d48bb1ce7835768839f69fdcf712e3d3257fb,270684.1441430916,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xaeb7403eff184a5e169f4cf347368999a36c25cc03cc934fd8459bad02a3c328,0x7ff36ab5,2025/06/06 18:25:41,2025/06/06 10:25:41,0x146efccb26b41ac4416642c5f98d4b7c346837e7,0x496dc6bcc3e1e1ad16ef5fe1cf3a1c760b216608,12532079.6161760334,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xc5337a71602544943c30212a9fc6d6df9abd4b119c0851d4bbaa634ed0039795,0x7ff36ab5,2025/06/06 18:26:25,2025/06/06 10:26:25,0x146efccb26b41ac4416642c5f98d4b7c346837e7,0x6a4f97aed507c08e47b7bd241fdfef2db3571072,12307820.2283122279,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe9c18dc4210e1cb0de54c2608aab74b1633f1fcd752a4c0e9f268a8342cd8a16,0x7ff36ab5,2025/06/06 18:26:55,2025/06/06 10:26:55,0x146efccb26b41ac4416642c5f98d4b7c346837e7,0x3a3ba604b4ffda66ef4c59d1970e316957a95076,13816105.7666179612,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x306172b94dd900fb9a630481a56765be602b253e4ce4190832c465e79aacea9c,0x7ff36ab5,2025/06/06 18:27:34,2025/06/06 10:27:34,0x146efccb26b41ac4416642c5f98d4b7c346837e7,0x9a1a1023a39151e5e10fe8393df7f527e7d379c2,16683731.1266349424,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xd66a77b07089c7090ea351d273e5129ab65e4cb1d1716eb970cd7eb2e3f96580,0x7ff36ab5,2025/06/06 18:28:14,2025/06/06 10:28:14,0x146efccb26b41ac4416642c5f98d4b7c346837e7,0x18a3667052e79c559bbae9a8810bba4f50db2e73,29811353.1397317089,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xda78491404454b4301857842d7d576ad1d58d9bec68db69509f406cd1480caef,0x7ff36ab5,2025/06/06 18:28:40,2025/06/06 10:28:40,0x146efccb26b41ac4416642c5f98d4b7c346837e7,0x5169a503cde09f64c505b893034ca188cf60de48,6662252.0089631211,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe361601f61e1ad148b687deec937c8aa07dee9fb6b1f40dc9806c2e98cd6ef3b,0x7ff36ab5,2025/06/06 18:29:04,2025/06/06 10:29:04,0x146efccb26b41ac4416642c5f98d4b7c346837e7,0x0316faa8924db5fcbb397225b9533c681bd7d094,17344434.6104253531,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x2326f233000a419cb36aa5c823a67dbc2a7151a11d253ec654782f0be63c411b,0x7ff36ab5,2025/06/06 18:29:47,2025/06/06 10:29:47,0x146efccb26b41ac4416642c5f98d4b7c346837e7,0xa5f9a6f0f3625f3740387e04bf3ce8e4531b4ae8,18349909.1205152757,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xa1ec02b18cbd06b4f395d95b00ad5b0a80f6b7817d500c06e403c7f338b45e7c,0x7ff36ab5,2025/06/06 18:30:23,2025/06/06 10:30:23,0x146efccb26b41ac4416642c5f98d4b7c346837e7,0xa76b9520a10c21cfd04f9da9ca3e679300f6ad7c,15592421.2462227363,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x61e7073ea333a106812ce5c1dbb4329875e2697851a2aaa0bbb6e3a520eba42b,0x7ff36ab5,2025/06/06 18:30:44,2025/06/06 10:30:44,0x146efccb26b41ac4416642c5f98d4b7c346837e7,0xbd5ffb2d92bbddce34ae612adcbeab4c9bf28819,19025434.4947212972,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x268bf486ac673a0df891b7153888c439a0da49ef5eff4a6b399eb39107eb3126,0x7ff36ab5,2025/06/06 18:31:11,2025/06/06 10:31:11,0x146efccb26b41ac4416642c5f98d4b7c346837e7,0x496dc6bcc3e1e1ad16ef5fe1cf3a1c760b216608,3126195.2125036889,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x1dfb07cd668ea83c4f79ce9abfc9f984ab3fe35df0d6528d87e23f4a5c71c4cb,0x7ff36ab5,2025/06/06 18:31:40,2025/06/06 10:31:40,0x146efccb26b41ac4416642c5f98d4b7c346837e7,0x6a4f97aed507c08e47b7bd241fdfef2db3571072,992540.3308082228,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x5157b8899e1ff1509fadcdae2ffe7d035b2d78f00b914d41544bbdda4bae686b,0x7ff36ab5,2025/06/06 18:32:05,2025/06/06 10:32:05,0x146efccb26b41ac4416642c5f98d4b7c346837e7,0x3a3ba604b4ffda66ef4c59d1970e316957a95076,11255246.0669522639,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xde88cd9c5063c0297a34e53ee6de6075f951451200063c6a61be41a8480ebc26,0x7ff36ab5,2025/06/06 18:32:29,2025/06/06 10:32:29,0x146efccb26b41ac4416642c5f98d4b7c346837e7,0x9a1a1023a39151e5e10fe8393df7f527e7d379c2,20514573.1059054956,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x02024a979dbf2673f949385ad1d4f9ad0bf5ebba98e34f9b328136e205e0c28a,0x7ff36ab5,2025/06/06 18:32:59,2025/06/06 10:32:59,0x146efccb26b41ac4416642c5f98d4b7c346837e7,0x18a3667052e79c559bbae9a8810bba4f50db2e73,1094324.3054230243,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe535ffa4ec854512eadb7cda98037ffa8d92787a82ab1db78ecd485a3f04d9f4,0x7ff36ab5,2025/06/06 18:33:35,2025/06/06 10:33:35,0x146efccb26b41ac4416642c5f98d4b7c346837e7,0x5169a503cde09f64c505b893034ca188cf60de48,32839795.7275122367,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x1f03d2e2cabdb14e3176922164ab6bbb080961febd207e23e6e32f21e3ebf92d,0x7ff36ab5,2025/06/06 18:34:14,2025/06/06 10:34:14,0x146efccb26b41ac4416642c5f98d4b7c346837e7,0x0316faa8924db5fcbb397225b9533c681bd7d094,1735580.5985194286,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x27f66ce3bd1bd09cfcaaa8ba8ae033adb0424e7068f13bc7c8c71e11cabd193d,0x7ff36ab5,2025/06/06 18:34:35,2025/06/06 10:34:35,0x146efccb26b41ac4416642c5f98d4b7c346837e7,0xa5f9a6f0f3625f3740387e04bf3ce8e4531b4ae8,30804357.0259219296,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
