tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xd2a7e63df719d1994c41f2b6b381b9632aa92da33c8868612ff058eed525d282,0xa9059cbb,2025/06/07 01:58:28,2025/06/06 17:58:28,0xbcc79d72aeea827f440797a18b8dd25a08950bbb,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,10000000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0xd7070cd1c56f35e48001839f19a8fdf5b1f5e5dee4ff0c6f1eeff10f04e38cc4,0xf305d719,2025/06/07 01:59:25,2025/06/06 17:59:25,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,0xe52e3f53714fb7282c385bc065f3612a7d7424dd,10000000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x6654c2eb359c972a6cfcad9127451d6896ce80811d6fee62e45e324740d92e14,0x7ff36ab5,2025/06/07 02:00:37,2025/06/06 18:00:37,0xe52e3f53714fb7282c385bc065f3612a7d7424dd,0xb7d9666844133b26e991ccd5fef74e576a21148f,87016172.0418169349,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x3f8e7d528e3f4556a4bcb98650d9b6fd8689020e2e22ee4de5b8967d8ba697fe,0x7ff36ab5,2025/06/07 02:02:25,2025/06/06 18:02:25,0xe52e3f53714fb7282c385bc065f3612a7d7424dd,0x424fca1b4fa56c9617193458f6b4394cadc6f0c2,1175047958.0770032406,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x30941531f5cf9259c171809c2c6f0ae50047b72aad27ea6f69404d697e590794,0x7ff36ab5,2025/06/07 02:04:00,2025/06/06 18:04:00,0xe52e3f53714fb7282c385bc065f3612a7d7424dd,0x82e1eaac54e9207d5c0c437156c3c2f6a13ca3e6,2258347203.0590691566,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x0cd7b9af7b4e1dd574b9cdd32bf137167db90170ca00f035b4348bfb87cff9c7,0x18cbafe5,2025/06/07 02:04:49,2025/06/06 18:04:49,0x424fca1b4fa56c9617193458f6b4394cadc6f0c2,0xe52e3f53714fb7282c385bc065f3612a7d7424dd,1175047958.0770032406,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x10f3541c6c7be6d94fae1d986b1493f3b3106915e5ae1fa234bf25fe72480af0,0x7ff36ab5,2025/06/07 02:08:13,2025/06/06 18:08:13,0xe52e3f53714fb7282c385bc065f3612a7d7424dd,0x2f4d3e17b82f4cacaf76b8868d1ba59e62d79f41,92263341.1127749830,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x2524bc231f9f8cdf97832e6c79a8df240401921e5bbc5853b214b0833ebfb5f9,0x7ff36ab5,2025/06/07 02:10:49,2025/06/06 18:10:49,0xe52e3f53714fb7282c385bc065f3612a7d7424dd,0xec9c81ad45a5508c25439eb60bd19ccb18665daf,990175382.2440781593,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xde2b8e2721293b6f100823c7f2b3c1cbc93b707990ab2696c9ccbfbb0c7c2f2c,0x7ff36ab5,2025/06/07 02:12:24,2025/06/06 18:12:24,0xe52e3f53714fb7282c385bc065f3612a7d7424dd,0xc690a49aac9f39ccd97b4b7d89d3e81bcd1bf791,34230579.9899446592,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe537850a5892ee62ee7a15a53b9127ad085faec43cd73fc52dfa761665a9a67c,0x18cbafe5,2025/06/07 02:15:28,2025/06/06 18:15:28,0x82e1eaac54e9207d5c0c437156c3c2f6a13ca3e6,0xe52e3f53714fb7282c385bc065f3612a7d7424dd,2258347203.0590691566,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
