tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x255e5c58de180b6235b9fcd02771073caeac2fba90fc33da44df4c45d4dd8aec,0xa9059cbb,2025/04/09 17:28:22,2025/04/09 09:28:22,0xd88d5a6cd821819beb392a5c87e31b2bdd31b5c2,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,1000000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0xf3e3603835e51dbca54b78c7a0ecce030c0ab5cb6abcdda5470c0f8281db69cb,0xf305d719,2025/04/09 17:29:01,2025/04/09 09:29:01,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,0xbdab7e07ada0ffd91949b55f1ed18b088a3faf01,1000000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x632ff8b79164788c3a2d554732ddb9e05fb88d5caac74c8e6c829c0743215ede,0x7ff36ab5,2025/04/09 17:29:52,2025/04/09 09:29:52,0xbdab7e07ada0ffd91949b55f1ed18b088a3faf01,0x3cf8dabcaa1da7f24b20cc2dccadc8c16285953c,6606069.6369145103,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x623610360176bd48a39aadeee7df1f5488151d24c979aabbb40b28f79a6fcd00,0x7ff36ab5,2025/04/09 17:30:37,2025/04/09 09:30:37,0xbdab7e07ada0ffd91949b55f1ed18b088a3faf01,0xe7edc5d3f9416c296fc5bc8e8094830cfd3f19f8,19304390.3866196908,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x71f52ab318771a79fb95ce4989944d7cfdf27c8364ab11b079aa247df8ab8aba,0x7ff36ab5,2025/04/09 17:32:25,2025/04/09 09:32:25,0xbdab7e07ada0ffd91949b55f1ed18b088a3faf01,0xfea61866bf6a646427f28f6a2d4bb91d2b8d2d4c,10300495.4137638696,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xbc093f0d4a3be950c3d4a54aec2917e92b10c07a4c69e6a810593d208c951fc1,0x7ff36ab5,2025/04/09 17:33:25,2025/04/09 09:33:25,0xbdab7e07ada0ffd91949b55f1ed18b088a3faf01,0x1de4986946f0d8787340d9c97e34aff314ead72b,5527014.0564534804,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xafa1a8f5cf2c2490192236ad841171ff3fa21ab5223c038b256d04f0d77f6ff2,0x7ff36ab5,2025/04/09 17:34:04,2025/04/09 09:34:04,0xbdab7e07ada0ffd91949b55f1ed18b088a3faf01,0xec9c81ad45a5508c25439eb60bd19ccb18665daf,4194575.3923253603,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x8093073dadb8949c7615628bf6ea6e200329851a7247b4077ea8e37bf4822f1a,0x18cbafe5,2025/04/09 17:36:43,2025/04/09 09:36:43,0x3cf8dabcaa1da7f24b20cc2dccadc8c16285953c,0xbdab7e07ada0ffd91949b55f1ed18b088a3faf01,6606069.6369145103,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x16112eb077f8cb439c27ea8e9033d56690c34ca4ea133fba45669ba21dbd77c2,0x7ff36ab5,2025/04/09 17:38:16,2025/04/09 09:38:16,0xbdab7e07ada0ffd91949b55f1ed18b088a3faf01,0xc80f68042099aa38b561a3f0d064c4e1834f9345,1225717.8022476099,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xb2cdabbb487b50d4cbf6441a3cb7741ec53bc8ad99e0defe5fc8635e9a2af190,0x7ff36ab5,2025/04/09 17:39:04,2025/04/09 09:39:04,0xbdab7e07ada0ffd91949b55f1ed18b088a3faf01,0x24815d90f2426c875db55a265e500e4130b63d96,2442068.3810013901,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x72f5b574601fb1c6dd066e4362be482e41863599dc83d626068161937c809c1f,0x7ff36ab5,2025/04/09 17:40:28,2025/04/09 09:40:28,0xbdab7e07ada0ffd91949b55f1ed18b088a3faf01,0xb2e01592574723c9b2d6542ea0a089459b1a0bdb,7252135.3383482201,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xbda74b2108b0d6cf9cfc1c0d0df2bd331bdeb07e71cd8c5b67cc363aa2ab1153,0x18cbafe5,2025/04/09 17:41:52,2025/04/09 09:41:52,0xec9c81ad45a5508c25439eb60bd19ccb18665daf,0xbdab7e07ada0ffd91949b55f1ed18b088a3faf01,4194575.3923253603,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x946ead5b3d18dc582caf9208eeff34ad664a9ea5ecd8851bff6e99a364ac98da,0x7ff36ab5,2025/04/09 17:43:13,2025/04/09 09:43:13,0xbdab7e07ada0ffd91949b55f1ed18b088a3faf01,0xe49fbb8ef0728cd8ae3be5fea655ada3b8170c98,906721.6278215400,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xb0e770a40839e047c22a8bf039be23321d88cea5f2fdca0ad4ffad2b4b801a0d,0x7ff36ab5,2025/04/09 17:44:40,2025/04/09 09:44:40,0xbdab7e07ada0ffd91949b55f1ed18b088a3faf01,0x072c4773ca110cd767c836063e762248ff6bfebb,5523725.2875397699,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x4f3a103b3f435ac36c28103b6874d94d4695168cddeccd0cf2a9ed2037a23af4,0x7ff36ab5,2025/04/09 17:46:01,2025/04/09 09:46:01,0xbdab7e07ada0ffd91949b55f1ed18b088a3faf01,0x0395f37fee3c6d9532d6a5935302bbd6d249e52e,16135659.1446486097,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x2b938a1f64fabbb4dc43098788dc86bfd75191ee21953b6a8bb0b48ed15197f0,0x7ff36ab5,2025/04/09 17:47:25,2025/04/09 09:47:25,0xbdab7e07ada0ffd91949b55f1ed18b088a3faf01,0xda5eeef71ce9892b79b0215e771153f84930a653,9645871.7879311107,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
