tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xdb29c00410b233474014725f2e2b21a175b8517629d1b20e417a63018245f028,0x519ebb10,2025/06/05 20:14:49,2025/06/05 12:14:49,0x0000000000000000000000000000000000000000,0x757eba15a64468e6535532fcf093cef90e226f85,1000000000.0000000000,SUCCESS,"createToken(bytes code, bytes poolsCode)"
0xdb29c00410b233474014725f2e2b21a175b8517629d1b20e417a63018245f028,0x519ebb10,2025/06/05 20:14:49,2025/06/05 12:14:49,0x757eba15a64468e6535532fcf093cef90e226f85,0x5c952063c7fc8610ffdb798152d69f0b9550762b,1000000000.0000000000,SUCCESS,"createToken(bytes code, bytes poolsCode)"
0xdb29c00410b233474014725f2e2b21a175b8517629d1b20e417a63018245f028,0x519ebb10,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xcd3bb2530db2effe288ef2e2b88428e46d0f0ae9,2581239.9170916579,SUCCESS,"createToken(bytes code, bytes poolsCode)"
0xd66be17793390266a4787c7c8a0fb09a53a203ab4a5bcdc4de3399482e7a876c,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xcc0aabc133ea863edd085b1a775d3bbd0ab231ea,15230580.5370511133,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0xf15a338a654259e3c86ead96437863c013e8572317b417325533c0986d6f4544,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x07377dcf36d8aa3125a70c81928f020bb4ad7b46,36246977.2653526068,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0x667c654251395358e0c04fc1be44a916956e9148b8b39e65e01680188eb7c096,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x9e725f239d1cb85b2b907ce169acefbbcb43a473,55181960.0427184030,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0x71c54a67d3e1c175abe78eff56b696bff2b931f148634a159531423595b761a4,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x8d4dee6330a7125216ddfccf1e063807eeb948b4,54190835.6207078844,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0x1bcb6ac2c21e28feb571b445902b68ed830bd3f7c3c1f26d866cf69141312ff2,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xfd4baa5141c84067af5fd6dea565f56c7f089d40,56683334.0699297711,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0x637e9070030fe020d8e34de7562e0857b008cf98936e25da2f2d6017ed6a9781,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x77471d4465e4e24a643ba523415da4272eed2220,53646937.5005137697,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0x50729f4c937190fffe367cadf7f85de28955ebd68ae41878256e201ceaee5ccd,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x3b4966a60d474b3e73f20fcc1d304da1373d75e3,27733648.5113159195,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0x6bd14b2e091c7f8d7ce01f70eefd9c975c835f7673268cba23dbc86da5e7a330,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xb41924a0bf8c7d21b398d39f37556fd5c35ad444,25719322.3910643943,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0x3f5847442289938a09fcd3f2da49a8b1fc0d4e973db6c49135dbb332e1a84a65,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x57a8e78a6a35d73ef0e542a53f0c3a2327dec1fc,41358953.9644293860,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0xbac8f82048d4593ac4acb9a38def3860aa30175bfd920fd64118f1f3484d847e,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xc74dd24909025804b2c6008549552454c9e47583,39514097.5384933352,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0xa3a36368c6f89b2966a25e24846215cbff46cb510f0a132e62fd0714a78f9898,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xd623ab950ac3d6c344f4b0dc21bd7fa22691d5de,41941472.6004563868,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0x337b4497f247ab561cfd760c9eb06b19b2d536f0e1090366c590dd511128b2cf,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x982376f4cd71ce7c4e218817fa60ea57d476cf53,35032453.6223154813,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0xe1218f2e2459b4f766df29521d62f0ba56a739fc0563e02cfbaee86c8a31aae6,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xae84f9fff1eaa5fb296867efd74c6680d65a2f55,29558471.5466943309,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0xc6c162256fd13e3eecd244e72e31308c5167152e874d6972634cb66ed158857f,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xa155d8b64e574d3eba8f139669ab106179419100,33021820.3541041948,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0xe9918067672a331a9812e193af0d9485d3f61578b71ca0bc61d0a8aa2d346f2b,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x5c50f1a6ed8f66e3d8d63bef691a5d6da9ba201c,23736822.0784191526,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0x81ded486f7e20feaac88a7f407ce37071fd8f2d4701d05eb80bd82cf925ec3ee,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xaf562b2bf1dc60a0c3acada105616f08e59f6ad6,22981742.6801544949,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0xeb5cdba62fd01fc475d4f76aad3437e79879314a0b3a3f805e2f424c45ad0a41,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x52cb483c7106af3c07180df81d859a123e47db6b,21443299.8532621264,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0x23620e406e9d87105f0ae9e9abce76bf91a7f07479be5f52659fb2ae3c4e0300,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x69595e2fe5eef45048ad2a5f25b5fee076575e80,20254158.1217205003,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0xff6323598add27b7c940d4b28088c15fa2e4f1ca3d51f137904f6b956bd3dbe0,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x81147eb1df13034464fc9a7990bc30b9e596a8c0,30050579.7375726737,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0x734c43e1d9e2be89d68de082cb53b519b4e854c9fca7c577f78e1dcfc2f4e14c,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xf59eb78639d206b27950b957f5fd5466c94d5e86,15266471.3243177328,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0xef6445470ae739d1239df8c1742c2930c0bae1337dafa8664a36887c54965073,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xf96bbba93f1057aa177655990a3c5671d8639361,24325635.1300185286,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0x29959dda689ad9c13a84686f433c4612ebef5d0be161e0759948a1208da5c569,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xd448a8f743a479bb293b2eedf901b946995f23f8,14608817.8619692121,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0x8046d96197db7d951667abef7c0240ebb899fdb419faa5e67804dc408845fca2,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x343683b0d7d2011b2f95c67a0ff6d90a924abc37,10878226.4615232218,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0x9cdfb623a2c742bbffd71b162078a6fd7e1362c30909c804426fe09e50ca285d,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x64da464eb552dc0d2c612882451daa00df16e613,10848074.9151170235,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0x51852fe93e7ef587cb250ffae73f795fd573436e0eb368cad42ec6d130b9c447,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xfc102ff19a883ffdbdef5f5354b3cd8ce9a62c7a,6066344.6764755817,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0x0d295e3373f287cc9bea25fe1836ad3a4b785dab0c8b03c8fb13c625272e5c20,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x8786af964dad4628a63b3fab880b7f79b652d75e,6993208.0806373991,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0x88bd06a35275c5150ab762f17129a7475e6616edc1c5defbb1c47477a6c61ef9,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x90837b5f8b3628dbbefd4f7316684fb0935fa1db,6699364.1807536017,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0x3beaf498ad87b79daa7c9f48e1562f6d2893e6b4465670e2baa0b5c6992740dc,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x7d65ba83baf820e792a065cef7006bcb09a6f20f,6423659.4962193416,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0x6f11132d611d2fe437b63e43de9eb42e96a049a8da86e81d323bfc34e60444db,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xdbdb8d4c7fe66023d8b473db1ec9aa4f1ec6f8b5,8858344.0478713308,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0xcd57358d5dcfc985f367d7f4976e124c6a805c9d9d342c29b5c01b1be60e5baa,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x0766e1df9bf151f1801cab4f35610944ea15e84b,8172623.7858075006,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0xec11612f3a3f1525acf2eb7b4e94be15495fa0d3cd6fc9c720a3bdfb80c0b146,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xd05a40824c0d8c6af6b3f61b7d2558dcf40c2003,7291248.1051480621,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0xff8d287639920fe1edb39794dd5d06284ef0422d7a60be855ef187903ecbdf51,0x87f27655,2025/06/05 20:14:49,2025/06/05 12:14:49,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xaefcede0c20dc2dc56b3bcb497f663607ef4bfb5,6084286.2811145764,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0x79ecbab3d52abf39a2b8c7ce534f9fced192234a73b46b39be5c166266e8d1a0,0xc8136cac,2025/06/05 20:14:50,2025/06/05 12:14:50,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x1169cf0478fdb6130773e30ce61e2e572b4ad4ed,1374987.6996593031,SUCCESS,
0x5fea74b6f9f32990f3f961d32f9d4773434c5b64ac62c2b19afab4fd9ca935f1,0xe3412e3d,2025/06/05 20:15:13,2025/06/05 12:15:13,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x02554d86692d617e35f10547a07d52f04cfc6c0c,200000000.0000000000,SUCCESS,addLiquidity(address tokenAddress)
0x6ecddba26c90e87934121e12667102bb180ef4ed0beae8130b1ef6fa08d99297,0x7ff36ab5,2025/06/05 20:15:13,2025/06/05 12:15:13,0x02554d86692d617e35f10547a07d52f04cfc6c0c,0xd8c84a07acaeaff84e1fe671398fc9df03a84657,19172552.9771955945,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x9c99c8535e743bdb0eeb22883e5210ddf5ac42127564d1361ab877990b31b207,0x5c11d795,2025/06/05 20:15:13,2025/06/05 12:15:13,0x02554d86692d617e35f10547a07d52f04cfc6c0c,0xb6e8d502409b83372293553f97371dd3a13623a5,3400902.7274848972,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xfc042377501767c0deca2c0c1ef4af4d5d675361b3500f45599741ad6750ecd9,0x18cbafe5,2025/06/05 20:15:14,2025/06/05 12:15:14,0xd8c84a07acaeaff84e1fe671398fc9df03a84657,0x02554d86692d617e35f10547a07d52f04cfc6c0c,19172552.9771955945,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
