tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x984623922b2dbff34d7358a803cc3800697e59098987b22f054ca343a445bbd4,0x60c06040,2025/07/08 08:39:24,2025/07/08 00:39:24,0x0000000000000000000000000000000000000000,0xb5c30cf9c5dce5aa36ea5e82e14d76b98cc06b61,1000000000.0000000000,SUCCESS,
0x76885aed666af28c05f73a649ab8cfec0f5b6cf1d71e88052464e11cec8b058c,0x06b091f9,2025/07/08 08:41:06,2025/07/08 00:41:06,0xb5c30cf9c5dce5aa36ea5e82e14d76b98cc06b61,0xa3c7116c3684748f8d4019719e95d124b1449eed,100000000.0000000000,SUCCESS,"withdrawTokens(address tokenAddress, uint256 amount)"
0x18fb5d5e298d09caf480c8a4856a0f1aaee87d46602543eebf9bee746deca311,0x06b091f9,2025/07/08 08:41:29,2025/07/08 00:41:29,0xb5c30cf9c5dce5aa36ea5e82e14d76b98cc06b61,0xa3c7116c3684748f8d4019719e95d124b1449eed,100000000.0000000000,SUCCESS,"withdrawTokens(address tokenAddress, uint256 amount)"
0x4bacb6d251f047755b9b7d8cd5616aa2f267632f5cfb36f2b7bb039e82abf13c,0xf305d719,2025/07/08 16:04:03,2025/07/08 08:04:03,0xa3c7116c3684748f8d4019719e95d124b1449eed,0x81b659bb21c4938c3f95b4f0825355565c8e537c,1420.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x7a0cf1a34bb0392b2257409f73da7cefacf6d43e6d3c32361c79049e79983d20,0x088890dc,2025/07/08 16:05:16,2025/07/08 08:05:16,0x81b659bb21c4938c3f95b4f0825355565c8e537c,0x1f2d955cc70c8ae5f9e0656c51ce321d69a32873,728.4991661062,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline, address referrer)"
0xa60ff8a5e12e167dab17d730993984b2810c367f7d7b7e5e7f9dda262c0e0b5d,0xf305d719,2025/07/08 16:23:00,2025/07/08 08:23:00,0xa3c7116c3684748f8d4019719e95d124b1449eed,0x81b659bb21c4938c3f95b4f0825355565c8e537c,231.4086542441,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x269a89058653b613307db3491726a7a3867e8e83fa32cd3a18885f3f7058339b,0x3593564c,2025/07/08 16:38:48,2025/07/08 08:38:48,0x81b659bb21c4938c3f95b4f0825355565c8e537c,0xa3c7116c3684748f8d4019719e95d124b1449eed,100.1855363531,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x067664d1d113f7a60fff0648f10f91a3537ffa15576fd84d4afc5bb0703a5fa6,0xf305d719,2025/07/08 16:51:25,2025/07/08 08:51:25,0xa3c7116c3684748f8d4019719e95d124b1449eed,0x81b659bb21c4938c3f95b4f0825355565c8e537c,133.2137880936,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x238867f54f1cc996fdec834fd44a6e2e5a7171ad88a92b57cca6ef6b03d0a70a,0xf305d719,2025/07/08 16:54:36,2025/07/08 08:54:36,0xa3c7116c3684748f8d4019719e95d124b1449eed,0x81b659bb21c4938c3f95b4f0825355565c8e537c,97.5600620218,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x685c6b777506afd4315541966b90ea1feed05ae212a1477da21503999af116ed,0x5b9e9006,2025/07/08 17:04:47,2025/07/08 09:04:47,0x81b659bb21c4938c3f95b4f0825355565c8e537c,0xa3c7116c3684748f8d4019719e95d124b1449eed,672.1471388539,SUCCESS,"swapV2ExactIn(address token_in,address token_out,uint256 amount_in,uint256 amount_out_min,address pool_address)"
0x2fd19c548c9fd72430c96df4b8ab043c14b0e5dde6390b73bbdecc618e220c0c,0xe9ae5c53,2025/07/08 17:44:39,2025/07/08 09:44:39,0xa3c7116c3684748f8d4019719e95d124b1449eed,0x81b659bb21c4938c3f95b4f0825355565c8e537c,10.0000000000,SUCCESS,"execute(bytes32 proposalId, bytes actions)"
0xa815354dc724d70b60263a3cfed622a61ff80f6151ec622c469fca3f1a0dd0fb,0xe8abf379,2025/07/08 18:27:33,2025/07/08 10:27:33,0xb5c30cf9c5dce5aa36ea5e82e14d76b98cc06b61,0xc6959655fe6478ddf7d2108a24053b46a96a53fb,10000.0000000000,SUCCESS,multicall(tuple[] data)
0xa815354dc724d70b60263a3cfed622a61ff80f6151ec622c469fca3f1a0dd0fb,0xe8abf379,2025/07/08 18:27:33,2025/07/08 10:27:33,0xc6959655fe6478ddf7d2108a24053b46a96a53fb,0x81b659bb21c4938c3f95b4f0825355565c8e537c,10000.0000000000,SUCCESS,multicall(tuple[] data)
0x564634f87cde0d051306c8fb75a0d7abc2a736da908f0736ac7222ef2a6a394b,0xb6f9de95,2025/07/08 18:27:38,2025/07/08 10:27:38,0x81b659bb21c4938c3f95b4f0825355565c8e537c,0xb21a7d6b07ad608202c5c057031a034bf4166b38,178.6465793876,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
