tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xbda3c71b8a300434d94272ae9faf9aeaaa2ed033ac6a46bf951604836eac1c8c,0x60806040,2025/07/07 20:19:38,2025/07/07 12:19:38,0x0000000000000000000000000000000000000000,0x4a4fc5220c80650ef1f2fa13a842c655dfe2fb80,100000000000000005366162204393472.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0xe4a414d5baa80b788fb6f9063beafe455a587ffdfa8004a2f007985991007d03,0xf305d719,2025/07/07 20:23:43,2025/07/07 12:23:43,0x4a4fc5220c80650ef1f2fa13a842c655dfe2fb80,0xeffa7556811d84bec8abf2a347ecf5d36d1483b6,100000000000000005366162204393472.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0xd8f771b8a0ed1eb23b186a9829df4982f1f59bf09d841486a96d494df9bad6ac,0xac9650d8,2025/07/07 20:23:56,2025/07/07 12:23:56,0xeffa7556811d84bec8abf2a347ecf5d36d1483b6,0x8bc49c6da76c20351f474f1656ca3684666f4942,9045493852271236636586708828160.0000000000,SUCCESS,multicall(bytes[] data)
0x67418394b4b85c0d8c6ce05caa075acad0c381f614cf701ffc124568cbc884d2,0xac9650d8,2025/07/07 20:24:05,2025/07/07 12:24:05,0xeffa7556811d84bec8abf2a347ecf5d36d1483b6,0xa4db62da06478be5d3d05beb66a852821bc179da,7543249964419599758447056257024.0000000000,SUCCESS,multicall(bytes[] data)
0x4b8dcc67839d0e0819597c2a5e5a770aac72ff675fbffd45eccee29e4b456f1c,0xac9650d8,2025/07/07 20:24:14,2025/07/07 12:24:14,0xeffa7556811d84bec8abf2a347ecf5d36d1483b6,0x02fa0aba52fc68ac835b1f55275088ce86b3d6e4,6386655268799925092598943842304.0000000000,SUCCESS,multicall(bytes[] data)
0xdab5da493322a244e3ffd33ff5e0de48961b9154678bae75ab218299e53b4060,0xac9650d8,2025/07/07 20:24:24,2025/07/07 12:24:24,0xeffa7556811d84bec8abf2a347ecf5d36d1483b6,0x676744b6ced210df85cbbc77ad4d73cb9324813e,5477208695786427331887079882752.0000000000,SUCCESS,multicall(bytes[] data)
0x053a529f420bfa2b6b0afbf75b070a35ec77213058625a595ec0f0b2de60f3bd,0xac9650d8,2025/07/07 20:24:35,2025/07/07 12:24:35,0xeffa7556811d84bec8abf2a347ecf5d36d1483b6,0x4de7534ae60eaaf46b0d3ff9ffe7193bb3901731,4749166197110962918849767276544.0000000000,SUCCESS,multicall(bytes[] data)
0xe78d86ebc56751a4479fb39b521177599009b02668a1dd3bb0681b1a7133ec25,0x262d6152,2025/07/07 20:24:53,2025/07/07 12:24:53,0xeffa7556811d84bec8abf2a347ecf5d36d1483b6,0xb5cb0555f07fd97c42b6dd5a46f82df2bde40777,248317002215668879452985622528.0000000000,SUCCESS,zap()
0xbe5cde38ddd68f3961c6ce3d652997da48aca7b3334b67764aa17f9eda42bb84,0xac9650d8,2025/07/07 20:24:53,2025/07/07 12:24:53,0xeffa7556811d84bec8abf2a347ecf5d36d1483b6,0xf28774c5a53fa8d4aff5ffd24be750f5012cf222,4127350679642585581074669109248.0000000000,SUCCESS,multicall(bytes[] data)
0x5184d7df6e59b7fe91b67dbe43fa33cd1df21e1387a5ac6adffbf6380093d35e,0x1249c58b,2025/07/07 20:24:53,2025/07/07 12:24:53,0xb5cb0555f07fd97c42b6dd5a46f82df2bde40777,0xeffa7556811d84bec8abf2a347ecf5d36d1483b6,248317002215668879452985622528.0000000000,SUCCESS,mint()
0x1539d002a60f4dc262ec7819311a17a44f91001d2a07225ea7e2bc8ca8d8717a,0x262d6152,2025/07/07 20:25:08,2025/07/07 12:25:08,0xeffa7556811d84bec8abf2a347ecf5d36d1483b6,0xb5cb0555f07fd97c42b6dd5a46f82df2bde40777,233521105035521107196557393920.0000000000,SUCCESS,zap()
0x721c548a2517e8d96ec0bb6ed0fea45cb99d149b0be07ed6837bbee9d908282b,0xac9650d8,2025/07/07 20:25:08,2025/07/07 12:25:08,0xeffa7556811d84bec8abf2a347ecf5d36d1483b6,0x25f88f9cb20ba79effca2fe8b5536155f192e66c,3987726885182104146585642336256.0000000000,SUCCESS,multicall(bytes[] data)
0x8737d81290266b5d8adfb8dbc11270bcf6630bd0ba7cc22558ef01e5e1cc0f67,0x1249c58b,2025/07/07 20:25:08,2025/07/07 12:25:08,0xb5cb0555f07fd97c42b6dd5a46f82df2bde40777,0xeffa7556811d84bec8abf2a347ecf5d36d1483b6,233521105035521107196557393920.0000000000,SUCCESS,mint()
0xe5194b979c0aac361e40613e8c32161bccdd48dd7d0e455b8473a13e4082ba42,0xb6f9de95,2025/07/07 20:25:30,2025/07/07 12:25:30,0xeffa7556811d84bec8abf2a347ecf5d36d1483b6,0xac942b1355bcf8bc48c93aa4a4b876107515cfce,3241084037579341685355502895104.0000000000,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x65006047692df7f1228853f1b4ff2a561ada975dc5602f36b50e1c6b23430854,0xb80c2f09,2025/07/07 20:25:58,2025/07/07 12:25:58,0xeffa7556811d84bec8abf2a347ecf5d36d1483b6,0x21bb2af0de64ba7e72094e77a293a2df9ec46484,2873919630191225521309392830464.0000000000,SUCCESS,"smartSwapByOrderId(uint256 orderId,tuple baseRequest,uint256[] batchesAmount,tuple[][] batches,tuple[] extraData)"
0x683e01b54f43513b0ed6251bb74fc2265f4b90115354611575f3fd1ea923cd15,0xe5e8894b,2025/07/07 20:27:01,2025/07/07 12:27:01,0xeffa7556811d84bec8abf2a347ecf5d36d1483b6,0xb300000b72deaeb607a12d5f54773d1c19c7028d,812867034696050077605849726976.0000000000,SUCCESS,"proxySwapV2(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,uint256 minReturnAmt,bytes callData)"
0x683e01b54f43513b0ed6251bb74fc2265f4b90115354611575f3fd1ea923cd15,0xe5e8894b,2025/07/07 20:27:01,2025/07/07 12:27:01,0xb300000b72deaeb607a12d5f54773d1c19c7028d,0xfd4e3c4ec4b041af2b32dfe181c039acdbcf932c,812867034696050077605849726976.0000000000,SUCCESS,"proxySwapV2(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,uint256 minReturnAmt,bytes callData)"
