tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xfb9af9a0799162dc23fe292e75464f5ad2d3c9470316853adf94fabafac18b6a,0xa9059cbb,2025/07/08 03:58:06,2025/07/07 19:58:06,0x9b3846780c8e988a78f766e7c671d51dacc5b263,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,30000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0xc4f814ab679098db2e88a8b3e7b9e585ff894a90eb003f48167a9b9bfee62c25,0xf305d719,2025/07/08 03:59:01,2025/07/07 19:59:01,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,0x212deadc864f771f48a1f4fad140ba39ef275410,30000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x9c7a836da636d0908ef68d7e3558423b5935c028f0e9fd79fc34281fb8d55216,0x7ff36ab5,2025/07/08 03:59:43,2025/07/07 19:59:43,0x212deadc864f771f48a1f4fad140ba39ef275410,0x562e9ece3c2941ddc2934c445c31abf212810cfa,451937.6141909400,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xa8ebcb6ea42d2af7a8e3100310e6334fe9260b4c57610d69f5d569ecf190ef63,0x7ff36ab5,2025/07/08 04:02:01,2025/07/07 20:02:01,0x212deadc864f771f48a1f4fad140ba39ef275410,0xc4a32e4444da8bf4b356dee1af3468464c94fb4b,57944.3062069600,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x35f9ce18dfd7d3d691cfb9f8711253788f2974e195aa9e51dd6c852528a304dd,0x7ff36ab5,2025/07/08 04:03:51,2025/07/07 20:03:51,0x212deadc864f771f48a1f4fad140ba39ef275410,0x3cf8dabcaa1da7f24b20cc2dccadc8c16285953c,119033.7294648900,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xa3cf51012c8bae0ab12256a784893124425c69832e1472745c2c62df3ac3795a,0x18cbafe5,2025/07/08 04:08:05,2025/07/07 20:08:05,0x562e9ece3c2941ddc2934c445c31abf212810cfa,0x212deadc864f771f48a1f4fad140ba39ef275410,451937.6141909400,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x40f1b8e7b266b5915baa6e19089a10b5803cf72d7e2a7f14a22b52766150a37f,0x7ff36ab5,2025/07/08 04:11:49,2025/07/07 20:11:49,0x212deadc864f771f48a1f4fad140ba39ef275410,0xfea61866bf6a646427f28f6a2d4bb91d2b8d2d4c,98242.9285288100,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xbbba73be7eb0da03430b0c6b4f0e4e5ccb69dd12062c95f15bf6224e732df5ba,0x7ff36ab5,2025/07/08 04:12:50,2025/07/07 20:12:50,0x212deadc864f771f48a1f4fad140ba39ef275410,0xc80f68042099aa38b561a3f0d064c4e1834f9345,58635.2004799100,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x60ca3c731cc53dc669bb99fb4a4b587cd50ed5478757cb36e834ce416c02b4b1,0x7ff36ab5,2025/07/08 04:14:37,2025/07/07 20:14:37,0x212deadc864f771f48a1f4fad140ba39ef275410,0x24815d90f2426c875db55a265e500e4130b63d96,723174.4265434400,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe4ae61b1ce082505b647888b389b2dc7b0bb499ccfd29d40159fc0c1ca48b9e0,0x7ff36ab5,2025/07/08 04:16:26,2025/07/07 20:16:26,0x212deadc864f771f48a1f4fad140ba39ef275410,0x2f4d3e17b82f4cacaf76b8868d1ba59e62d79f41,169803.7612525300,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
