tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x843f0f6cfa57ecfeb24a5f614a915543d3bcc3ae8b788e3a2e2259712cb9f7f2,0x60806040,2025/07/08 13:24:54,2025/07/08 05:24:54,0x0000000000000000000000000000000000000000,0x204512fa93dd5c1381cd9ce7023c84347f72bb3c,4600000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0xc0fd759b2b7ed3c4efcc7c75f86b65f755dfacef520b3ad2ab629df8d84e197a,0xf305d719,2025/07/08 13:25:11,2025/07/08 05:25:11,0x204512fa93dd5c1381cd9ce7023c84347f72bb3c,0x08fbdd0695abcca916c766b34660db9d8ca21000,4600000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0xfc115602b6d8a2b229e06163898debd3ebd80c076c3e6aded4c7472cbdc63d1e,0x7ff36ab5,2025/07/08 13:25:30,2025/07/08 05:25:30,0x08fbdd0695abcca916c766b34660db9d8ca21000,0xfbc84d40a37e43fa7d002d5c0029a95b6c48f50c,57662700.8441341370,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x970bdd841617f8739d1737425305717734d0f577b16bd83940bb9008959d603f,0x7ff36ab5,2025/07/08 13:27:00,2025/07/08 05:27:00,0x08fbdd0695abcca916c766b34660db9d8ca21000,0xc85e26a15afed3cd8d2e8f6e93cf90ad273c5b9a,49055670.3761321381,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x74d06c47074907ae93b44499a48621ef186cd07c312f31512bcae320531b818e,0x7ff36ab5,2025/07/08 13:28:13,2025/07/08 05:28:13,0x08fbdd0695abcca916c766b34660db9d8ca21000,0x155384f5c0c2dc50f064d8f0ce5c4e44a0d9c3a8,26478559.3928804398,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xc61656a299ff82fe0a1845b83969d2363f3dc41dceedb76e3f495b3d5b45ed2a,0x7ff36ab5,2025/07/08 13:29:41,2025/07/08 05:29:41,0x08fbdd0695abcca916c766b34660db9d8ca21000,0x990dfe4fcc74ef9da93eaf81345d5e28d5ef6b72,43830554.5908702090,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x8b32402ddffb3692e14ddf640aad679891168011da2fba3e037c5942af1b6563,0x7ff36ab5,2025/07/08 13:30:09,2025/07/08 05:30:09,0x08fbdd0695abcca916c766b34660db9d8ca21000,0x11201a12d7697bed7e92948bf24c742cd099c87f,18319437.6705888286,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xd579ff9ce1c5bba0b0efd182e6d7caffffbfdcd89f0442a1f57a6bf5cd5dba6f,0x7ff36ab5,2025/07/08 13:30:36,2025/07/08 05:30:36,0x08fbdd0695abcca916c766b34660db9d8ca21000,0xfbc84d40a37e43fa7d002d5c0029a95b6c48f50c,37362661.5865565985,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x21d99f93be812078c7aa1d0cabab7565ef9deb88d0bef999013c24d676282317,0x7ff36ab5,2025/07/08 13:31:46,2025/07/08 05:31:46,0x08fbdd0695abcca916c766b34660db9d8ca21000,0xc85e26a15afed3cd8d2e8f6e93cf90ad273c5b9a,17861452.1218633428,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x491b828f2f63c9d0eca31e235e306b49f1669c0d5f50df2a93956918d8fd2234,0x7ff36ab5,2025/07/08 13:33:23,2025/07/08 05:33:23,0x08fbdd0695abcca916c766b34660db9d8ca21000,0x155384f5c0c2dc50f064d8f0ce5c4e44a0d9c3a8,42285228.3489143401,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
