tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x23955bc680f37d1d6420789a0c5fa33321d595e42a1d711b5a9b5738b964e6f6,0xa9059cbb,2025/04/09 00:38:46,2025/04/08 16:38:46,0x2ab26b47a2300f8dba5e256ec892071d6ab110a7,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,10000000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x467596770a0d21d9262c5454155a3b2df6b2ad5a707db5381df04fba607f414f,0xf305d719,2025/04/09 00:39:58,2025/04/08 16:39:58,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,0x794131dfff8fe915ae942947cd151700279a0862,10000000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x422bdc52fd2c1aac3a1c00c5131e147a9205549df2fcb80cb40d213229973bf1,0x7ff36ab5,2025/04/09 00:42:40,2025/04/08 16:42:40,0x794131dfff8fe915ae942947cd151700279a0862,0x2f4d3e17b82f4cacaf76b8868d1ba59e62d79f41,195597823.4227167964,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xa2260eda19447a7939e5631ed6a1c772e846a586bccf775465114564aa6703a3,0x7ff36ab5,2025/04/09 00:44:07,2025/04/08 16:44:07,0x794131dfff8fe915ae942947cd151700279a0862,0x3cf8dabcaa1da7f24b20cc2dccadc8c16285953c,427917042.1636796594,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x24467560173b62c94f97c1d53f6f411edc226e4f9cd06f08f1f07fba7a41e725,0x7ff36ab5,2025/04/09 00:46:01,2025/04/08 16:46:01,0x794131dfff8fe915ae942947cd151700279a0862,0xfea61866bf6a646427f28f6a2d4bb91d2b8d2d4c,69626932.9199245870,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x2ce0902071ce49ef2f85a5e6422f26f849f4fb7b748400e1eaf5a8b4ff6e99f0,0x7ff36ab5,2025/04/09 00:48:16,2025/04/08 16:48:16,0x794131dfff8fe915ae942947cd151700279a0862,0xda5eeef71ce9892b79b0215e771153f84930a653,96320681.6839776635,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x2aea7d14a73c977d5d89da9ea9c2b4f9cf7b55fb948989dc8fd5d1496370dcfd,0x7ff36ab5,2025/04/09 00:50:04,2025/04/08 16:50:04,0x794131dfff8fe915ae942947cd151700279a0862,0x41d91c20a61464c72b68f1b941d23ac39355609e,326425267.5414422750,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x7e9227c566ed722be332c7344100cd17c11db99c4938b7932f6397b0c1500c3b,0x7ff36ab5,2025/04/09 00:51:16,2025/04/08 16:51:16,0x794131dfff8fe915ae942947cd151700279a0862,0xc7c2c571cf792d9eea1550732f6889187d4d773a,65108621.8936781585,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xd91b92a78c0d656f9b7d75d97cd0ecb8f20f207e7b2b995e5e2bd07ee73d3d92,0x7ff36ab5,2025/04/09 00:52:52,2025/04/08 16:52:52,0x794131dfff8fe915ae942947cd151700279a0862,0x24815d90f2426c875db55a265e500e4130b63d96,517011.8961991400,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xfac83ac31c446416525a089c286f0fda2359f3d12813f28ad1460de5f8551b01,0xa9059cbb,2025/04/09 00:53:34,2025/04/08 16:53:34,0x2ab26b47a2300f8dba5e256ec892071d6ab110a7,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,0.0000000100,SUCCESS,"transfer(address dst, uint256 amount)"
0xe9edfd68c6f33e44730ad61c5ec3beb6ce6c3f04e753948262971905870e34a2,0x18cbafe5,2025/04/09 00:56:46,2025/04/08 16:56:46,0x2ab26b47a2300f8dba5e256ec892071d6ab110a7,0x794131dfff8fe915ae942947cd151700279a0862,1000000000000000.0000000000,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x525655d4d2c9db1a0256810a28310b5b7998b3c5018718b0726498ef30dc0652,0xb6f9de95,2025/04/09 00:56:49,2025/04/08 16:56:49,0x794131dfff8fe915ae942947cd151700279a0862,0xf809a4156b5abd7b74a94d8a99c93ccbdadb7d07,62190271376818.3281250000,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe50142a8e08ed7c70fa85a5d7c522ef54f479830f45b583abaf05b461ca49dd6,0x181a8b99,2025/04/09 00:57:13,2025/04/08 16:57:13,0x794131dfff8fe915ae942947cd151700279a0862,0x426603bac5e0ea73fd13aecad7a80c9f963f6eac,318440917082136.1250000000,SUCCESS,
0x2e066b9cf2dcd03e9c6ec1c60a707ffc105b53f4111a9d0960a71d6ad8e7a2dc,0x18cbafe5,2025/05/09 08:44:59,2025/05/09 00:44:59,0x2ab26b47a2300f8dba5e256ec892071d6ab110a7,0x794131dfff8fe915ae942947cd151700279a0862,6193776300276640.0000000000,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x8e837b151759f418a94b997826475f088d3e2aec4dbe2cc3f2f57b617347b669,0x181a8b99,2025/05/09 08:45:07,2025/05/09 00:45:07,0x794131dfff8fe915ae942947cd151700279a0862,0x426603bac5e0ea73fd13aecad7a80c9f963f6eac,2192115454209586.7500000000,SUCCESS,
