tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x01b5e4ade487399880689d22d730c4bcb5f88b518a09cd4b2c231bbc31ff41b5,0x60806040,2025/06/06 12:13:53,2025/06/06 04:13:53,0x0000000000000000000000000000000000000000,0xd38a3b0872a12ead03b7eac22ae5e4cd5075e7d8,54000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0xf7984d8539d4afcf01b5549d43b028e3a11ae04e70c01cb4c0fa3ce48fac188c,0xa9059cbb,2025/06/06 12:15:26,2025/06/06 04:15:26,0xd38a3b0872a12ead03b7eac22ae5e4cd5075e7d8,0x537278e4e5aa8da9475015923dd4c4921fc4f3e2,54000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x81be0e6f32251e06928edaf7bf4a99d09a4e10e2ad0ca83e1af27652693c1e7d,0xf305d719,2025/06/06 12:22:23,2025/06/06 04:22:23,0x537278e4e5aa8da9475015923dd4c4921fc4f3e2,0xe9f09b0352094871062e0a037ff88ec6501f16f4,54000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x17780cbbfa9caf57330e11e6b54d3078a4b52af4eb9cba8ff8c449ed28d0384b,0x3593564c,2025/06/06 12:23:22,2025/06/06 04:23:22,0xe9f09b0352094871062e0a037ff88ec6501f16f4,0x1f964b54bb5d6b6c87d345ccad81041fdf2a1200,56992.5270000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x51e13ee72f870266bd8a6024f28d0e04acaafa5f797f57b506f17c69b87e7b40,0x3593564c,2025/06/06 12:29:08,2025/06/06 04:29:08,0xe9f09b0352094871062e0a037ff88ec6501f16f4,0x1f964b54bb5d6b6c87d345ccad81041fdf2a1200,858726.3199999999,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x46a1b82709399c7f8afdd95acffbb3ac2f69eea434e518ecdf9f324871fe7834,0x3593564c,2025/06/06 12:29:56,2025/06/06 04:29:56,0xe9f09b0352094871062e0a037ff88ec6501f16f4,0x1f964b54bb5d6b6c87d345ccad81041fdf2a1200,831750.2650000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xee529b3b3d3d657ac24c9b4d2ad6c0f43e6c4f445e6a3f1d81d18f81eb8e2756,0x3593564c,2025/06/06 12:30:53,2025/06/06 04:30:53,0xe9f09b0352094871062e0a037ff88ec6501f16f4,0xb88b4bddb530a1a946b96c6000900e0316a192c4,1533381.3620000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x5bc088b28ad148d6d71f83a67bfcfdbe5c1957a5e499acc7da0f9e8dfefda349,0x3593564c,2025/06/06 12:31:13,2025/06/06 04:31:13,0xe9f09b0352094871062e0a037ff88ec6501f16f4,0xd359301ee9aed731dd5993d297836e73c38c2b82,345754.3650000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xcded6763172de292b68ba06c89494a12b041d8aa2c6065bb0cf80bf0172bd54b,0x3593564c,2025/06/06 12:31:34,2025/06/06 04:31:34,0xe9f09b0352094871062e0a037ff88ec6501f16f4,0xd359301ee9aed731dd5993d297836e73c38c2b82,509855.9650000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x431d2832ed755fdf1e0f47124942c1fa825a38b730c1b11000f321c3cf82acfd,0x3593564c,2025/06/06 12:32:04,2025/06/06 04:32:04,0xe9f09b0352094871062e0a037ff88ec6501f16f4,0x51437f377b7199d6395706760c4fa8b4a28eea0f,1307682.0530000001,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xfe389091e2dc2c4c18d0f689d3be984feb9629d2be2e85ef0f101b2007b479d7,0x3593564c,2025/06/06 12:32:37,2025/06/06 04:32:37,0xe9f09b0352094871062e0a037ff88ec6501f16f4,0x5c97be3213dbb65f84b10baeea259090c74f41c9,1294908.0819999999,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x05f38b0cd2a845f7f1bb9c76cccf207d4df38105d2bfe00aa4997aef183192bf,0x3593564c,2025/06/06 12:33:20,2025/06/06 04:33:20,0xe9f09b0352094871062e0a037ff88ec6501f16f4,0x716c7dbd1d646cf284849eff36d0983550d9c785,235181.0410000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xf91d42506dae8117d1b7fa45ef4115da293d032a275a33a6b69f9ad3b7ea416f,0x3593564c,2025/06/06 12:34:37,2025/06/06 04:34:37,0x716c7dbd1d646cf284849eff36d0983550d9c785,0xe9f09b0352094871062e0a037ff88ec6501f16f4,235181.0410000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x763cedb0f06458407354758fdbbfb06fad3beb1dcec234ae9e3c3afd0d7138b4,0x3593564c,2025/06/06 12:35:16,2025/06/06 04:35:16,0xe9f09b0352094871062e0a037ff88ec6501f16f4,0x2ff821045c400ea02f536fde932a702db84c57a0,347554.9800000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x3f67687966aefbad7f32f06a5af5f2920c98088a64251268ad68f8c4efd62866,0x3593564c,2025/06/06 12:35:55,2025/06/06 04:35:55,0xe9f09b0352094871062e0a037ff88ec6501f16f4,0x2ff821045c400ea02f536fde932a702db84c57a0,419790.6710000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xc4a09d3dbb78f9bc1ab5dab5652fc2d9a4b5322358f783dc712917db4487e16a,0x3593564c,2025/06/06 12:36:22,2025/06/06 04:36:22,0xe9f09b0352094871062e0a037ff88ec6501f16f4,0xf6bf81ef61594d8328eb677aecac03609b99af84,1089346.4800000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x2720ae9f268c006293bba66c76a26388513e2e273fcfdba9c748ead013e13aeb,0x3593564c,2025/06/06 12:36:50,2025/06/06 04:36:50,0xe9f09b0352094871062e0a037ff88ec6501f16f4,0x81d852c2e4ec61411b66c03ca9bda1054fc6542a,271163.0340000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x726a855abb64f96acaaa49ed7f437c221e7a601ecb541c98bab4f5eb65fb6eff,0x3593564c,2025/06/06 12:37:25,2025/06/06 04:37:25,0xe9f09b0352094871062e0a037ff88ec6501f16f4,0x81d852c2e4ec61411b66c03ca9bda1054fc6542a,202829.7380000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x59ff0fde398c1a8e244e3b82ceef38dd6b7ba31f5557dab3f26ec181ce4b7404,0x3593564c,2025/06/06 12:38:17,2025/06/06 04:38:17,0x81d852c2e4ec61411b66c03ca9bda1054fc6542a,0xe9f09b0352094871062e0a037ff88ec6501f16f4,473992.7720000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x38e0e03728ee3bc9468fa9d4cd39e4430378679cbf094306d00407b2969587a5,0x3593564c,2025/06/06 12:39:08,2025/06/06 04:39:08,0xe9f09b0352094871062e0a037ff88ec6501f16f4,0x4906ea9402246b758bd3dd0a54eff9b0d1245267,137031.4250000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x50cd29ec2a379b37f0b43d0260f80e19d4fdaf498364cf6fbaa35519a0d26edb,0x3593564c,2025/06/06 12:39:53,2025/06/06 04:39:53,0xe9f09b0352094871062e0a037ff88ec6501f16f4,0x4906ea9402246b758bd3dd0a54eff9b0d1245267,236114.6840000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xff9adc93e45ece89667c5cfe13ddeeb8a681bf93cc3c20e992520d1122e8698c,0x3593564c,2025/06/06 12:40:34,2025/06/06 04:40:34,0xe9f09b0352094871062e0a037ff88ec6501f16f4,0x4906ea9402246b758bd3dd0a54eff9b0d1245267,676062.8330000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x90f65e051eeb61a96fb93013a68bc6668ecc0852c100e16dbe25ff2115df9473,0x3593564c,2025/06/06 12:41:41,2025/06/06 04:41:41,0xe9f09b0352094871062e0a037ff88ec6501f16f4,0x2eeeb1ef62c5695a348cdfb6ea5005a45e8e9f8a,1108078.6930000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x395b77107bb3fc5361471b48da06a753cd76f993e9e1d703718f4a28e8f04c16,0x3593564c,2025/06/06 12:42:29,2025/06/06 04:42:29,0xe9f09b0352094871062e0a037ff88ec6501f16f4,0xac7bd278c024143f1ab86b56b841dd141280315c,993276.3510000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
