tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x3ed808d006f9d604043587417232a63db9610ae24cb1d426f925596b6400a8a2,0xa9059cbb,2025/06/06 19:50:02,2025/06/06 11:50:02,0x221c9f59f1928311b816cc2198b4477e214c5bba,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,1000000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x35c948aa43db51705ce67ef1117b8b8e332c9b5ee87458d31cc48fa2125ab042,0xf305d719,2025/06/06 19:50:45,2025/06/06 11:50:45,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,0x9a5ab15864394e82b5b626604e6ece16de204623,1000000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0xdeb7e7da4ff3955bad6ecf150e339b07c1a09aff4b98e0305d33066a9a5839fd,0x7ff36ab5,2025/06/06 19:52:09,2025/06/06 11:52:09,0x9a5ab15864394e82b5b626604e6ece16de204623,0x3cf8dabcaa1da7f24b20cc2dccadc8c16285953c,119454766.3913495243,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x8d9fff8e3c42b816ed49a77f7267755ea60404d63ade1c64215912ba2beea2fd,0x7ff36ab5,2025/06/06 19:56:21,2025/06/06 11:56:21,0x9a5ab15864394e82b5b626604e6ece16de204623,0x0395f37fee3c6d9532d6a5935302bbd6d249e52e,18173571.8162931614,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x3d1a6ffaef4da8c737d2d3dfc54e602e369d5235f54a84322c3b070508d0e767,0x7ff36ab5,2025/06/06 20:00:47,2025/06/06 12:00:47,0x9a5ab15864394e82b5b626604e6ece16de204623,0x424fca1b4fa56c9617193458f6b4394cadc6f0c2,126548838.9316478670,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe309e993c6d8be7324eb344ae0128298b37c6fbbcec1e4dc96b44235ea29154e,0x7ff36ab5,2025/06/06 20:02:35,2025/06/06 12:02:35,0x9a5ab15864394e82b5b626604e6ece16de204623,0x072c4773ca110cd767c836063e762248ff6bfebb,4292362.5538593102,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xc76be42ccdb214c7e8428bccd12f07b9b55e020c903afd9bad6465118bfc986e,0x7ff36ab5,2025/06/06 20:13:47,2025/06/06 12:13:47,0x9a5ab15864394e82b5b626604e6ece16de204623,0xc690a49aac9f39ccd97b4b7d89d3e81bcd1bf791,16679847.6291464195,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x22b7adb3481d1eb2a4991278386d0c13a4096aabb23bf9b3657f120d01dd47fd,0x7ff36ab5,2025/06/06 20:15:57,2025/06/06 12:15:57,0x9a5ab15864394e82b5b626604e6ece16de204623,0xb2e01592574723c9b2d6542ea0a089459b1a0bdb,12018430.3183450308,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xb495e9cc7f884e5807b84456f2f17dde7e970213fe9487f9fb462d1cd127bda2,0x18cbafe5,2025/06/06 20:18:05,2025/06/06 12:18:05,0x424fca1b4fa56c9617193458f6b4394cadc6f0c2,0x9a5ab15864394e82b5b626604e6ece16de204623,126548838.9316478670,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xf2843b96e63513f8932c360828c451e39befb4a7eed1ffbed3f55b49a6056768,0x7ff36ab5,2025/06/06 20:19:17,2025/06/06 12:19:17,0x9a5ab15864394e82b5b626604e6ece16de204623,0x24815d90f2426c875db55a265e500e4130b63d96,10822052.2706504799,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
