tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x6ca7da996b90f9aa0fd7e088c9a70e2f3cbd2bba113daba92b1cbbf391df21de,0x60806040,2025/07/08 00:54:32,2025/07/07 16:54:32,0x0000000000000000000000000000000000000000,0xe192dc4b84ffd73268fcba68ddb8dd7ed951faa2,4900000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x1e003f13b6082a157967b514806f789ff0b9931b4843f8ab7da67d0800e4dbc1,0xf305d719,2025/07/08 00:54:47,2025/07/07 16:54:47,0xe192dc4b84ffd73268fcba68ddb8dd7ed951faa2,0x5310a04d070bd697625f961a4ac4486f425c316a,4900000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x1e87e99ceebc648d2e1e4fddd170180036567ff35c0fe5bf0cd7d118652a13a5,0x7ff36ab5,2025/07/08 00:55:05,2025/07/07 16:55:05,0x5310a04d070bd697625f961a4ac4486f425c316a,0xc9049baec187abf55c0c84a8cc99ad359d140420,6793082.8678950043,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x26d6b82f5363c690afefbf2db215d9daf66f12ce1a0f3b7cdcd08b0d721ed14b,0x7ff36ab5,2025/07/08 00:55:50,2025/07/07 16:55:50,0x5310a04d070bd697625f961a4ac4486f425c316a,0x5df23f40e5f8967a20ff6dae6bbc96cb5cfcaacb,5409239.5536271324,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x81a668f8e6e26f4be446f6f6c1a3c42e7c71642eb22b6ef2f607e65526867ac7,0x7ff36ab5,2025/07/08 00:56:50,2025/07/07 16:56:50,0x5310a04d070bd697625f961a4ac4486f425c316a,0xa29820eb1e9caf7312a572414c76c86d70f9e5c3,4732969.8574383659,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x82e40195f338c662d0b2d378e111e4a992f432c7eed8dd22ef10fc10705082b5,0x7ff36ab5,2025/07/08 00:57:30,2025/07/07 16:57:30,0x5310a04d070bd697625f961a4ac4486f425c316a,0x71c85f7ed8bf6b319b98a208a218972b0d61c16f,5604565.3351108823,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x1321aeb802c33f92353bdf1e3ebd102dcd9e986a4a65d2d665dcd60989c10c32,0x7ff36ab5,2025/07/08 00:58:40,2025/07/07 16:58:40,0x5310a04d070bd697625f961a4ac4486f425c316a,0x068245763deb42ab8bbb712f302c773d91af37d7,6098521.7047074866,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xd6754b9197a7c06e2452fd6e2237cd885177a0f0df6b51e09bed30a54f0bb725,0x7ff36ab5,2025/07/08 00:59:25,2025/07/07 16:59:25,0x5310a04d070bd697625f961a4ac4486f425c316a,0x75a71a8bbbcc7a79000f484da08faba04a6cc533,6030313.0438049417,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x52554e2d6d14b9ccd78ff5ce9a55cfc751b753596ba472243dfcc0c18a8a6786,0x7ff36ab5,2025/07/08 01:00:06,2025/07/07 17:00:06,0x5310a04d070bd697625f961a4ac4486f425c316a,0xc962a1153f5111137f4dd79433b4c3950c4a767c,6495586.8668361204,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xb164add7c693c9f166cd4eac91026ce57966b7e8bec2696f519b8729d10633e8,0x7ff36ab5,2025/07/08 01:01:02,2025/07/07 17:01:02,0x5310a04d070bd697625f961a4ac4486f425c316a,0x53f71f807e3d98afb0d05c8b6155f52097e7875b,5668809.7006664611,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
