tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x95ada961941781f4ad2dc327685b543cccf76f396a0716baa3c958984edb3511,0x60806040,2025/06/05 03:09:07,2025/06/04 19:09:07,0x0000000000000000000000000000000000000000,0xedb10a97cb7e3d2fa474d5f9f230f40d4455d89d,1000000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x95ada961941781f4ad2dc327685b543cccf76f396a0716baa3c958984edb3511,0x60806040,2025/06/05 03:09:07,2025/06/04 19:09:07,0xedb10a97cb7e3d2fa474d5f9f230f40d4455d89d,0x94eff1e0a08b9e7571c308e71a307a9e6951143b,600000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x95ada961941781f4ad2dc327685b543cccf76f396a0716baa3c958984edb3511,0x60806040,2025/06/05 03:09:07,2025/06/04 19:09:07,0xedb10a97cb7e3d2fa474d5f9f230f40d4455d89d,0x72f076c78d07b169b74e5f8f9cdc5ae395bcf4b2,999400000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x710beb6bcf7c6a7094d0bc61353e791eb85e364f08b0f676a82e1728808ef021,0xe8e33700,2025/06/05 03:12:01,2025/06/04 19:12:01,0x72f076c78d07b169b74e5f8f9cdc5ae395bcf4b2,0x94eff1e0a08b9e7571c308e71a307a9e6951143b,1200000.0000000000,SUCCESS,"addLiquidity(address tokenA, address tokenB, uint256 amountADesired, uint256 amountBDesired, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)"
0x991154e7325d648a91397714a33e08097d3584b307f56cd4cfd177a36b4c4d0e,0x3593564c,2025/06/05 03:12:23,2025/06/04 19:12:23,0x94eff1e0a08b9e7571c308e71a307a9e6951143b,0x72f076c78d07b169b74e5f8f9cdc5ae395bcf4b2,39034.7301483776,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xc00d28da53e807af39a3df99d9c7cd54a508f007a207863ae37f11cb97942f6a,0x3593564c,2025/06/05 03:15:07,2025/06/04 19:15:07,0x94eff1e0a08b9e7571c308e71a307a9e6951143b,0x9b9ff2400f64ec2cd4a7e35f47d2e5feb2654c6b,114.5509951343,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xece5d6f4d6b90deedfb30ab85016feef00920e12bc7480abaf95002da979ce35,0x3593564c,2025/06/05 06:44:50,2025/06/04 22:44:50,0x94eff1e0a08b9e7571c308e71a307a9e6951143b,0xfe589cbf958c002c3c30f1ddeba28f54a260eab7,190.8851796723,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xca2982c5e76f730b34458b2689fae2e756c7cafe8e0e2875f709d2ad6c5534fc,0x3593564c,2025/06/06 04:35:35,2025/06/05 20:35:35,0x94eff1e0a08b9e7571c308e71a307a9e6951143b,0x72f076c78d07b169b74e5f8f9cdc5ae395bcf4b2,650104.8247612895,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x5d314806e9d3472a669e6dbb6fa6c76b53e41c55ad8f83cf796d8c3d99a68425,0x3593564c,2025/06/06 18:29:07,2025/06/06 10:29:07,0x94eff1e0a08b9e7571c308e71a307a9e6951143b,0x72f076c78d07b169b74e5f8f9cdc5ae395bcf4b2,274236.5692271909,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x9e240ba03ae9d49b212a5688f15450d7c89624d19c0fc64102fcedc41d4e61ae,0x3593564c,2025/06/06 19:14:41,2025/06/06 11:14:41,0x94eff1e0a08b9e7571c308e71a307a9e6951143b,0xc3051bbc437616290b249c15a434d66aa4493b71,261.6622417270,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
